Am Höfgen 3, Alsdorf (Westerwald),"Fachwerk-Quereinhaus, 18. Jahrhundert, wohl um 1900 erweitert"
Geishardtstraße 13/15, Alsdorf (Westerwald),"Fachwerk-Quereinhaus, teilweise massiv, teilweise verschiefert, im Kern wohl aus dem 17. Jahrhundert"
Hauptstraße 53, Alsdorf (Westerwald),"Schule, Klinker- bzw. Putzbau, teilweise expressionistische Motive, um 1920/30"
Hauptstraße 75/77, Alsdorf (Westerwald),"ehemalige Schule, ein- bzw. zweigeschossiger Bruchsteinbau, bezeichnet 1866"
Hauptstraße 92, Alsdorf (Westerwald),"Fachwerkhaus, teilweise verschiefert, Krüppelwalmdach, wohl aus dem 18. Jahrhundert"
Hölzerne Ecke 2, Alsdorf (Westerwald),"Fachwerkhaus, verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Hölzerne Ecke 9/11, Alsdorf (Westerwald),"stattliches Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Hölzerne Ecke 16, Alsdorf (Westerwald),"Fachwerkhaus, verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Hölzerne Ecke 17, Alsdorf (Westerwald),"Fachwerk-Quereinhaus, teilweise massiv, verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Lindenstraße 6/8, Alsdorf (Westerwald),"Fachwerkhaus, teilweise verkleidet bzw. verschiefert, wohl aus dem 17. Jahrhundert"
Schützenstraße 5, Alsdorf (Westerwald),"Fachwerkhaus, verkleidet, wohl 17./18. Jahrhundert, Fachwerkscheune"
Schützenstraße 7, Alsdorf (Westerwald),"das sogenannte „Hüttenschulzenhaus“, Fachwerkbau mit Laube und Niederlass, um 1680, Fachwerkscheune 18. oder 19. Jahrhundert"
Schützenstraße 8/10, Alsdorf (Westerwald),"Fachwerkhaus, teilweise verschiefert, 17./18. Jahrhundert, teilweise im 19. Jahrhundert erneuert"
nördlich der Ortslage im Wald, Alsdorf (Westerwald),Kriegerdenkmal 1866 und 1870/71; Obelisk
