"Denkmalzone Kirchplatz (Kirchplatz 1, 2, 3, 5, 6, 7, 8, 9, Kirchhofgasse 4, Denkmalstraße 7-17 (ungerade Nummern), 10, 12 und Mittelstraße 24)", Daaden,"Bauten der West- und Südseite überwiegend aus dem 17. und 18. Jahrhundert, nach Süden anschließende Häuser und Kleingehöfte mit überwiegend historischer Substanz, die exemplarisch die frühere Bauweise im Ortsteil um die Kirche dokumentieren"
Austraße 2, Daaden,"Fachwerkhaus, um 1700"
Bahnhofstraße 11, Daaden,"Bahnhofsgebäude der Daadetalbahn; Typenbau, gegen 1886"
Betzdorfer Straße 31, Daaden,"Fachwerkhaus, 19. Jahrhundert, Umbau zum Hotel um 1900, Saalanbau 1908"
Betzdorfer Straße 76, Daaden,"Wohnhaus, Zierfachwerk, 1910er Jahre"
Denkmalstraße 11, Daaden,"Fachwerk-Quereinhaus mit Niederlass, 18. und 19. Jahrhundert"
Denkmalstraße 17, Daaden,"Fachwerkhaus, teilweise verschiefert, 18. Jahrhundert"
(bei) Hachenburger Straße, Daaden,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts"
Hachenburger Straße 3, Daaden,"Luisenschule; Mansarddachbau, Reformarchitektur, 1912"
Im Schützenhof 10, Daaden,"ehemaliges von Schütz’sches Haus, langgestreckter Bau, Rundturm, 1671, Architekt N. W. Sinolt"
Kirchplatz 2, Daaden,Fachwerkneubau mit zwei nach dem alten Vorbild kopierten Fassaden
Kirchplatz 5, Daaden,"Fachwerk-Quereinhaus, teilweise massiv, 17. Jahrhundert"
Kirchplatz 10, Daaden,"Evangelische Kirche, romanischer Westturm, 1136, einschiffige kreuzförmige Anlage, 1722–24, Architekt Julius Ludwig Rothweil"
Kronenburgerweg 1, Daaden,"Hofanlage, 18. Jahrhundert; Fachwerkhaus, teilweise massiv oder verschiefert, Fachwerkscheune"
Kronenburgerweg 8, Daaden,"ehemaliges Quereinhaus; Fachwerkbau, teilweise verschiefert, 18. Jahrhundert"
Kronenburgerweg 9, Daaden,"Wohnhaus, teilweise Fachwerk, teilweise verkleidet, 18. Jahrhundert"
Kronenburgerweg 16, Daaden,"Hofanlage, 19. Jahrhundert; Fachwerkhaus mit Niederlass, verkleidet, Scheune"
Lamprechtstraße 17a, Daaden,"ehemalige Schule, unverputzter Backsteinbau, 1883"
Lamprechtstraße 35, Daaden,"Fachwerkhaus, teilweise massiv, verkleidet, 17. oder 18. Jahrhundert"
Lamprechtstraße 38, Daaden,"Fachwerkhaus, teilweise verputzt oder verschiefert, 18. Jahrhundert"
Lamprechtstraße 39/41, Daaden,"ehemalige Zehntscheune (?); Fachwerkbau, teilweise verschiefert, teilweise Stroh-Lehm-Behang, 18. Jahrhundert"
Lamprechtstraße 43, Daaden,"fünfachsiger Putzfachwerkbau, teilweise massiv, um 1850"
Lamprechtstraße 48/50, Daaden,"ehemaliges Quereinhaus; Fachwerkbau, verkleidet, 17. oder 18. Jahrhundert"
Lamprechtstraße 54, Daaden,"wohl ehemaliges Quereinhaus; Fachwerkbau, teilweise massiv, im Kern aus der zweiten Hälfte des 17. Jahrhunderts, Umbau 1939"
Lamprechtstraße 56, Daaden,"stattliches Fachwerkhaus, 18. Jahrhundert"
Lamprechtstraße 58, Daaden,"Mansarddachbau, Fachwerk, wohl um 1800"
Mittelstraße 4, Daaden,"Gasthaus Koch; Fachwerkbau, teilweise verschiefert, angeblich von 1600, eher wohl um 1700"
Mittelstraße 20, Daaden,"Krüppelwalmdachbau, teilweise verschiefert, teilweise Fachwerk, erste Hälfte des 19. Jahrhunderts"
Mühlhofsweg 2, Daaden,"Fachwerkhaus, verschiefert, 18. oder 19. Jahrhundert"
Mühlhofsweg 11, Daaden,"Hofanlage; Fachwerkhaus, verkleidet, 17. oder 18. Jahrhundert, im 19. oder 20. Jahrhundert erhöht, Fachwerkscheune 18. Jahrhundert"
Saynische Straße 6, Daaden,"Fachwerkhaus, wohl aus dem 17. Jahrhundert"
an der Straße zwischen Daaden und Emmerzhausen, Daaden,"Steinches-Mühle; Fachwerkhaus mit Niederlass, 17./18. Jh."
"auf der Hohen Ley, südlich oberhalb der Stadt", Daaden,"Kriegerdenkmal; Terrassenanlage, Entwurf Richard Merkel, 1924, Inschrifttafeln nach 1945"
"Denkmalzone Ortskern (Oberer Mühlhof 1-31 (ungerade Nummern), 2, 4 und 10, Werrbachstraße 3-15 (ungerade Nummern) und 10-20 (gerade Nummern), Im Krain 1 und 2)", Daaden,"für die Region typisches Ortsbild mit dicht gedrängten Wohnhäusern und kleinen Gehöften, häufig mit Fachwerkfassaden, Gärten tlw. mit schmiedeeiserner Einfriedung"
"Denkmalzone Unterer Mühlhof (Unterer Mühlhof 13, 15, 17 und 21)", Daaden,vier straßenbildprägende Häuser bzw. Gehöfte des 18. Jahrhunderts
Am Füsseberg ohne Nummer, Daaden,"ehemaliger Bahnhof, Stationsgebäude mit Güterschuppen; Typenbau, gegen 1886"
Am Glaskopf 2, Daaden,"Wohnstallhaus mit Niederlass, Fachwerk, teilweise verschiefert, 18. Jahrhundert"
Betzdorfer Straße, Daaden,"Stollenmundlöcher der ehemaligen Eisenerzgrube Füsseberg, bezeichnet 1861 und 1919"
Betzdorfer Straße 83, Daaden,"Villa, Zierfachwerk, um 1910"
Betzdorfer Straße 85, Daaden,"Villa, Zierfachwerk, teilweise verschiefert, um 1910"
Betzdorfer Straße 91, Daaden,"Biersdorfer Hütte, stattlicher Fachwerkbau, Nebengebäude, 1910er Jahre"
Betzdorfer Straße 137, Daaden,"Fachwerk-Quereinhaus, teilweise verschiefert, Mitte des 19. Jahrhunderts"
Betzdorfer Straße 142, Daaden,"Villa Felseneck, Landhausstil, vor 1910"
Betzdorfer Straße 144, Daaden,"Fachwerkhaus, teilweise verschiefert, 18. Jahrhundert"
Oberer Mühlhof 2, Daaden,"stattliches Fachwerkhaus, teilweise verschiefert, um 1800"
Oberer Mühlhof 10, Daaden,"Fachwerkhaus, teilweise verschiefert, 18. Jahrhundert"
Oberer Mühlhof 19, Daaden,"Fachwerkhaus, teilweise massiv, teilweise verkleidet oder verschiefert, 18. und 19. Jahrhundert"
Unterer Mühlhof 15, Daaden,"ehemaliges Fachwerk-Quereinhaus mit Niederlass, teilweise massiv oder verkleidet, 18. und 19. Jahrhundert"
Unterer Mühlhof 17, Daaden,"Fachwerk-Quereinhaus mit Kniestock, 18. oder frühes 19. Jh."
Unterer Mühlhof 19, Daaden,"ehemalige Mühle; dreigeschossiger Bau, 1935, 1955 zweigeschossig erweitert"
(neben) Unterer Mühlhof 21, Daaden,"Fachwerkhaus, 18. Jahrhundert"
Werrbachstraße 10/12, Daaden,"Fachwerk-Quereinhaus, teilweise verschiefert, 18. Jahrhundert"
Werrbachstraße 16, Daaden,"Fachwerkhaus, teilweise verschiefert, 18. Jahrhundert"
