"Denkmalzone Ortskern (Schloss (Schloßstraße), Schloßstraße 1, Im Flecken 1-6, 8, 9-23 (ungerade Nummern), Borngasse 2, Am Untertor 1–4)", Friedewald (Westerwald),"In seinen Strukturen und in großen Teilen seiner Bebauung erhaltener historischer Ortskern mit Schloss, Resten der Stadtbefestigung sowie der ursprünglich ummauerten Siedlung mit ehemaligen Schule und den regellos beidseitig der Straße angeordneten Wohnhäusern und Quereinhäusern/Streckhöfen."
Im Flecken 3, Friedewald (Westerwald),"Fachwerkhaus, verkleidet und verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Im Flecken 4, Friedewald (Westerwald),"Fachwerkhaus, teilweise massiv und verschiefert, 17. Jahrhundert"
Im Flecken 5, Friedewald (Westerwald),"Fachwerkhaus, teilweise verkleidet, 18. Jahrhundert"
Im Flecken 15, Friedewald (Westerwald),"Wohnhaus eines Streckhofs: Fachwerkbau, verkleidet und verschiefert, wohl aus dem 17. oder 18. Jahrhundert; Gesamtanlage mit Fachwerkscheune, teilweise massiv, verkleidet"
In den Steinen 12, Friedewald (Westerwald),"stattliches Fachwerk-Quereinhaus, teilweise massiv, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
In der Borngasse 2, Friedewald (Westerwald),"stattliches Fachwerk-Quereinhaus, teilweise massiv, 19. Jahrhundert"
Kaiser-Ludwig-Straße 2, Friedewald (Westerwald),"ehemalige Schule; Krüppelwalmdachbau, teilweise verschiefert, wohl um 1925"
Kaiser-Ludwig-Straße 6, Friedewald (Westerwald),"Wohnhaus, teilweise Zierfachwerk, teilweise verschiefert, bezeichnet 1912"
Schloßstraße 1, Friedewald (Westerwald),"ehemalige Schule; Krüppelwalmdachbau, Fachwerk, teilweise verschiefert, 1819 ff."
Schloßstraße 2, Friedewald (Westerwald),"ehemaliges Schloss, um 1320 gegründete Burg der Grafen von Sayn, Hauptgebäude bezeichnet 1580 und 1582, Erweiterungsbauten 1609"
"Schloßstraße, Ecke Kaiser-Ludwig-Straße", Friedewald (Westerwald),"Denkmal für Kaiser Ludwig den Bayern, Entwurf A. Quirbach, Betzdorf, um 1900"
östlich der Ortslage am Berghang, Friedewald (Westerwald),"Grablege der Friedewalder Schloßherren; Gesamtanlage mit Wegeführung, Eingangstor, Gruft mit Engel, zwei Grabdenkmäler, um 1900"
