"Denkmalzone Ortskern (Hauptstraße 14–31, Klosterstraße 1, 2, 4, Strahlenbachstraße 1–4 und 6)", Friesenhagen,zahlreiche gut erhaltene Fachwerkhäuser des 18. Jahrhunderts südlich und östlich der Pfarrkirche und des ehemaligen Franziskanerklosters
Denkmalzone Schloss Crottorf, Friesenhagen,"im Kern mittelalterliche Wasserburg, Renaissance-Ausbau in der Mitte des 16. Jahrhunderts, bauliche Veränderungen in der zweiten Hälfte des 17. Jahrhunderts und um 1730; Fachwerkhäuser (ehemalige Mühle), Mühlgraben, Pavillon; Kapelle zum Heiligen Kreuz (1701) mit Mausoleum (1895), Balkenkreuz bezeichnet 1620; sieben Kreuzwegstationen"
Hauptstraße 26, Friesenhagen,"stattliches Fachwerkhaus, Krüppelwalmdach, wohl aus der zweiten Hälfte des 18. Jahrhunderts"
Klosterstraße 1, Friesenhagen,"Katholische Pfarrkirche St. Sebastian; Triumphbogen und Turm, 1751 erhöht, der spätromanischen Basilika, spätgotischer Chor"
Klosterstraße 2, Friesenhagen,"Fachwerkhaus, bezeichnet 1736"
Klosterstraße 4, Friesenhagen,"ehemaliges Franziskanerkloster; langgestreckter Walmdachbau, Bruchstein, 1742–44"
Wintert, Friesenhagen,"Kreuzwegstation, Fußfallstation"
nördlich oberhalb von Friesenhagen, Friesenhagen,"St.-Anna-Kapelle, sogenannte Rote Kapelle; Putzbau, angeblich aus dem 17. Jahrhundert"
nordöstlich oberhalb von Friesenhagen, Friesenhagen,"Kapelle zur Schmerzhaften Muttergottes; Putzbau, 18. Jahrhundert, Barockaltar"
nordwestlich der Ortslage im Wald, Friesenhagen,"Forsthaus Mohrenbach; stattliches Wohnhaus, teilweise verschiefert, teilweise Fachwerk, Datierung unklar"
südwestlich von Steeg, Friesenhagen,Wassermühle
westlich der Wildenburg, Friesenhagen,"Rochuskapelle; kleiner Massivbau, angeblich aus dem 17. Jahrhundert, barocke Haube"
