Bergstraße 13, Hamm (Sieg),"Wohnstallhaus; eingeschossiger Fachwerkbau, teilweise massiv, 18. Jahrhundert"
Friedhofstraße, Hamm (Sieg),"Kriegerdenkmal 1870/71; Sockel, Obelisk und Eisernes Kreuz, 1872"
Friedrich-Ebert-Straße 7, Hamm (Sieg),"Fachwerkhaus, verkleidet, wohl aus dem 18. oder 19. Jahrhundert"
Kirchplatz 1, Hamm (Sieg),"Evangelische Pfarrkirche St. Severin; Saalbau, 1831, Moller-Einfluss, Portal 1590"
Kirchweg 2, Hamm (Sieg),"Katholische Pfarrkirche St. Joseph; neugotische Halle, um 1900"
Lindenallee 3, Hamm (Sieg),"Wohnhaus, angeblich von 1753 (oder 1783?), Fachwerk 18. oder frühes 19. Jahrhundert"
Raiffeisenstraße 3, Hamm (Sieg),"Fachwerkhaus, verputzt und verkleidet, wohl aus dem 18. Jahrhundert"
Raiffeisenstraße 6/8, Hamm (Sieg),"stattliches Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
Scheidter Hof 2, Hamm (Sieg),"Fachwerkhaus mit Niederlass, teilweise verschiefert, wohl aus dem 18. Jahrhundert"
Scheidter Straße 2, Hamm (Sieg),"stattliches Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Scheidter Straße 36/38, Hamm (Sieg),"stattliches Fachwerkhaus, teilweise verkleidet, 18. Jahrhundert"
Siegstraße 9, Hamm (Sieg),"Wohn- und Geschäftshaus; Mansarddachbau, bezeichnet 1914–15"
