Bahnhofsweg 1, Herdorf,"Stationsgebäude der Siegtalbahn; Klinkerbau, eingeschossiger Seitenbau, gegen 1861"
Bahnhofsweg 5, Herdorf,"Fachwerkhaus, verkleidet und verschiefert, wohl aus dem 17 oder 18. Jahrhundert"
Glockenfeld, Herdorf,"Evangelische Pfarrkirche; Saalbau, 1795, Turm 1896/97"
Glockenfeld 14, Herdorf,"Fachwerkhaus, verkleidet, wohl aus dem 17 oder 18. Jahrhundert"
Glockenfeld 19, Herdorf,"Quereinhaus mit Niederlass, teilweise Fachwerk und verschiefert, 18. Jahrhundert"
Hauptstraße, Herdorf,"Katholische Pfarrkirche St. Aloysius; neugotische Bruchsteinbasilika, 1884/85; Gesamtanlage mit Pfarrhaus (Hauptstraße 24): Bruchsteinbau, bezeichnet 1885"
Hauptstraße 30, Herdorf,"Wohnhaus, verschiefert, spätes 19. Jahrhundert"
Hermannsplatz 5, Herdorf,"Fachwerkhaus, teilweise massiv und verschiefert, bezeichnet 1668"
Königsmauer 20, Herdorf,"Wohnhaus der Herdorfer Mühle; verschieferter Fachwerkbau, Mitte des 19. Jahrhunderts"
Körnerstraße 13, Herdorf,"Fachwerkhaus, 18. Jahrhundert"
Zur Knappschaft 12, Herdorf,"Fachwerkhaus, teilweise verschiefert, Krüppelwalmdach, 18. Jahrhundert"
südlich der Stadt am Waldrand, Herdorf,"ehemaliges Kriegerdenkmal 1914/18 (?); Rundturm, Basalt"
nördlich oberhalb der Stadt, Herdorf,"Missionskreuz; neugotisches Sockelkreuz, bezeichnet 1905"
Dorfwiese 4/6, Herdorf,"stattliches Fachwerkhaus, teilweise verschiefert, 18. Jahrhundert"
Kirchstraße 15, Herdorf,"Katholische Kirche St. Josef; neugotische Hallenkirche, Ende des 19. Jahrhunderts"
Rolandstraße 31, Herdorf,"Fachwerkhaus, teilweise massiv und verschiefert, 18. Jahrhundert, Fachwerkstall, 18. oder 19. Jahrhundert"
Hellertalstraße 37, Herdorf,"Fachwerkhaus, frühes 18. Jahrhundert, im 19. Jahrhundert überformt; ortsbildprägend"
