Am Buschhof 8, Kirchen (Sieg),"Buschhof; barockisierender Mansarddachbau mit Mittelrisalit, 1910er Jahre, Architekt Paul Schultze-Naumburg"
Am Riegel 1, Kirchen (Sieg),"Walmdachvilla, wohl gegen 1920"
An der Siegbrücke 4, Kirchen (Sieg),"Wohn- und Geschäftshaus; Putzbau, barockisierende Stuckfassade, 1908"
Bahnhofstraße 14, Kirchen (Sieg),"Walmdachvilla, 1910er Jahre"
Bahnhofstraße 17/19, Kirchen (Sieg),"Bahnhof; Empfangsgebäude, gegen 1861"
Bahnhofstraße 36, Kirchen (Sieg),"barockisierende Mansarddachvilla, um 1900"
Bahnhofstraße 40, Kirchen (Sieg),"Villa, ehemaliger Sitz der Reichsbank; Landhausstil, um 1900"
Bahnstraße, Kirchen (Sieg),"Industrie- und Verwaltungsbauten, spätes 19. und frühes 20. Jahrhundert"
Börnchenstraße 3/5, Kirchen (Sieg),"ehemalige Schule; achtachsiger Backsteinbau, Fachwerkgiebel, bezeichnet 1903"
Grindeler Straße 25a, Kirchen (Sieg),"Fachwerkhaus, 18. Jahrhundert"
Hauptstraße, Kirchen (Sieg),"Laufbrunnen, zweite Hälfte des 19. Jahrhunderts"
Hauptstraße 14/16, Kirchen (Sieg),"stattliches Fachwerkhaus, teilweise verschiefert, Querbau mit Laubenerdgeschoss, angeblich von 1670"
Hauptstraße 21, Kirchen (Sieg),"sogenannte Villa Stein; asymmetrischer Putzbau, Neurenaissance, 1881/82"
Hauptstraße 25, Kirchen (Sieg),"Villa, Neurenaissance, 1881/82"
Hauptstraße 38, Kirchen (Sieg),"fünfachsiger Mansarddachbau, verschiefert, spätes 18. Jahrhundert oder um 1800"
Hauptstraße 45, Kirchen (Sieg),"ehemalige Bürgermeisterei; klassizistisch gegliederter Putzbau, Mittelrisalit mit Standerker, 1864"
Hauptstraße 48, Kirchen (Sieg),"spätbarockes Fachwerkhaus, teilweise verschiefert, angeblich von 1742"
Hauptstraße 49, Kirchen (Sieg),"stattliches Fachwerkhaus, verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Johannesstraße 14, Kirchen (Sieg),"ehemaliges evangelisches Krankenhaus; repräsentativer eingeschossiger Mansarddachbau, Reformarchitektur, 1910"
Jungenthaler Straße 43, Kirchen (Sieg),"Gasthof; Fachwerkbau, verschiefert, wohl aus dem 18. Jahrhundert"
"Jungenthaler Straße 87/89, Gartenstraße 1 /3 und 2/4", Kirchen (Sieg),"Kleinsiedlung aus vier Einzel- und Doppelhäusern; Betonsteinbauten mit Backsteineinfassungen, Anfang des 20. Jahrhunderts"
Kirchplatz 6, Kirchen (Sieg),"Evangelische Martin-Luther-Kirche; frühklassizistischer Saalbau, 1770–72, romanischer Westturm, 1889 erhöht"
Kirchstraße 1, Kirchen (Sieg),"Katholisches Pfarrhaus; villenartiger Bruchsteinbau, wohl um 1890; Gesamtanlage mit Garten mit Einfriedung"
Kirchstraße 2, Kirchen (Sieg),"Katholische Pfarrkirche St. Michael; neugotische Bruchsteinhalle, 1887–92, Architekt Caspar Clemens Pickel, Düsseldorf; neugotisches Missionskreuz, bezeichnet wohl 1906; Gesamtanlage mit Gemeindehaus (Kirchstraße 4) und Pfarrhaus (Kirchstraße 1); auf dem Friedhof Gräberfeld mit repräsentativen Grabdenkmälern, Mitte des 19. Jahrhunderts bis 1918, und Gräberfeld mit 10 Grabdenkmälern, 1870–1918"
Lindenstraße 1, Kirchen (Sieg),"Ehemalige evangelische Volksschule, jetzt Rathaus; repräsentativer Klinkerbau, Neurenaissance, 1906; Roland-Skulptur, 1930 von Carl Burger, Mayen"
Lindenstraße 7, Kirchen (Sieg),"repräsentative Villa, Neurenaissance, 1875"
Lindenstraße 11, Kirchen (Sieg),"villenartiges Wohnhaus, Seitenrisalite, 1860, um 1890 Umbau zur Nutzung als Apotheke"
Mittelstraße 2, Kirchen (Sieg),"ehemalige Werks- oder Direktorenvilla (?); Mansarddachbau in Park, 1910er Jahre"
Schulstraße 7, Kirchen (Sieg),"Wohn- und Geschäftshaus; Mansarddachbau, Reformarchitektur, Anfang des 20. Jahrhunderts"
nördlich von Brühlhof im Wald, Kirchen (Sieg),"Villa Schneider; Walmdachvilla, 1910er Jahre"
westlich des Ortsteils Grindel beim Friedhof, Kirchen (Sieg),Kriegerdenkmal 1914/18; Reichsadler auf achteckigem Sockel
Denkmalzone Burg Freusburg, Kirchen (Sieg),"umfangreiche, unregelmäßige Anlage, erstmals im 12. Jahrhundert erwähnt, im 18. Jahrhundert verfallen, 1923 wiederhergestellt; Südbau bezeichnet 1540, Nordostbau aus dem 16. Jahrhundert, Zwischenbau 1926; ehemals doppelte Ringmauer zur Ortsbefestigung"
Denkmalzone Ortskern, Kirchen (Sieg),"östlich unterhalb der Burg liegende historische Ortslage mit zahlreichen Fachwerkhäusern des 17. bis 19. Jahrhunderts, zugehörig auch Burg Freisburg einschließlich der ehemaligen Vorburg"
Bogenstraße 6, Kirchen (Sieg),"Fachwerkhaus, verkleidet und verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
"Burgstraße 16, Wasenweg 2", Kirchen (Sieg),"ehemaliges Fachwerk-Quereinhaus, teilweise verschiefert, 18. Jahrhundert"
Burgstraße 17, Kirchen (Sieg),"langgestreckter Krüppelwalmdachbau, Fachwerk, um 1800"
Burgstraße 30, Kirchen (Sieg),"linke Hälfte eines Fachwerkhauses, 17. Jahrhundert; verschieferte Fachwerkscheune"
Burgstraße 34, Kirchen (Sieg),"Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
Burgstraße 36, Kirchen (Sieg),"Fachwerkhaus, verputzt und verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
Burgstraße 40, Kirchen (Sieg),"Fachwerk-Quereinhaus, wohl noch aus dem 17. Jahrhundert, Straßenseite im 19. Jahrhundert erneuert"
Burgstraße 42, Kirchen (Sieg),"Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
Burgstraße 46, Kirchen (Sieg),"ehemaliges Bergamtliches Haus; stattlicher Mansarddachbau, teilweise Fachwerk, um 1770"
Kapellenweg 2, Kirchen (Sieg),"Fachwerkwohnhaus, teilweise massiv und verschiefert, 19. Jahrhundert"
Kapellenweg 10, Kirchen (Sieg),"Evangelische Pfarrkirche; Saalbau, 1755"
Wehbachstraße 1, Kirchen (Sieg),"Fachwerk-Quereinhaus, teilweise verschiefert, 18. Jahrhundert"
Druidenstraße 1, Kirchen (Sieg),"Katholische Heilig-Kreuz-Kirche; Zentralbau mit Kegeldach, Bruchstein, bezeichnet 1957"
Dorfstraße 6, Kirchen (Sieg),"Tagelöhnerhaus; eingeschossiger Fachwerkbau, zweite Hälfte des 19. Jahrhunderts"
Jägerstraße 1, Kirchen (Sieg),"Fachwerkhaus mit Niederlass, verkleidet und verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Jägerstraße 9, Kirchen (Sieg),"Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Dorfstraße 51, Kirchen (Sieg),"Fachwerkhaus mit Niederlass, teilweise verschiefert, 18. Jahrhundert"
Weiherstraße 1, Kirchen (Sieg),"ehemaliges Hirtenhaus; Fachwerkbau, 17. oder 18. Jahrhundert"
Sonnenhang 28, Kirchen (Sieg),"Fachwerkhaus, 18. Jahrhundert"
Bachstraße 13, Kirchen (Sieg),"ehemalige Schule, jetzt Bürgerhaus; stattlicher Putzbau, teilweise Fachwerk, um 1905"
Hof Niederasdorf 15, Kirchen (Sieg),"Fachwerkhaus, teilweise massiv, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
Koblenz-Olper-Straße 1/3, Kirchen (Sieg),"Hofanlage; Fachwerkhaus, teilweise massiv, Fachwerkscheune, 18. Jahrhundert"
Wingendorfer Straße 1, Kirchen (Sieg),"Katholische Kirche St. Petrus; Putzbau mit turmartig erhöhtem Westwerk, 1932"
Junkernthal 1, Kirchen (Sieg),"Schloss Junkernthal; große Villa, Mitte des 19. Jahrhunderts (?), Nebengebäude, Park, Familienfriedhof, Brücke, barocke Gartenpavillons; Gesamtanlage"
