"Denkmalzone Ortskern (Denkmalstraße 2, 4, 8/10, 9, 11/13 und gegenüberliegende Scheune, 12/14, 17, 15, 20, 22, Hauptstraße 67, Ringstraße 2, Brunnenstraße 1/3, 6 und 8)", Niederdreisbach,in seinen Strukturen und großen Teilen seiner historischen Bebauung ohne wesentliche Störungen erhaltener Ortskern
Bahnhofstraße 1, Niederdreisbach,"Bahnhof, Stationsgebäude mit Güterschuppen der Daadetalbahn; Typenbau, gegen 1886"
Brunnenstraße, Niederdreisbach,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts"
Denkmalstraße 2, Niederdreisbach,"Fachwerk-Quereinhaus, teilweise massiv, 18. und 19. Jahrhundert"
Denkmalstraße 9, Niederdreisbach,"stattliches Fachwerk-Quereinhaus mit Niederlass, teilweise verschiefert, 18. Jahrhundert"
Denkmalstraße 12/14, Niederdreisbach,"Fachwerkhaus, teilweise massiv und verschiefert, 18. Jahrhundert"
Denkmalstraße 17, Niederdreisbach,"Fachwerk-Quereinhaus, teilweise massiv, 18. und 19. Jahrhundert"
Denkmalstraße 20, Niederdreisbach,"stattliches Fachwerk-Quereinhaus, 18. Jahrhundert"
Hauptstraße, Niederdreisbach,"zweibogige Straßenbrücke, Bruchstein, 19. Jahrhundert"
Hauptstraße 65, Niederdreisbach,"Fachwerk-Quereinhaus, teilweise massiv, verkleidet, wohl aus dem 18. Jahrhundert"
