Bohnenkamp 10, Scheuerfeld,"Fachwerkhaus, teilweise massiv, wohl aus dem späten 17. Jahrhundert"
Friedhofstraße, Scheuerfeld,"Kriegerdenkmal 1914/18, Stufenanlage mit Kruzifix"
Hauptstraße 49, Scheuerfeld,"ehemaliges Rathaus; Fachwerkbau, teilweise massiv und verschiefert, um 1910"
Hauptstraße 51, Scheuerfeld,"Fachwerk-Quereinhaus, 18. Jahrhundert"
Hauptstraße 59, Scheuerfeld,"Fachwerk-Streckhof, teilweise massiv und verkleidet, 19. Jh."
Im Seifen, Scheuerfeld,"Fachwerkscheune, 18. Jahrhundert"
Kirchstraße 4, Scheuerfeld,"Fachwerkhaus, frühes 18. Jahrhundert"
Kirchstraße 17a, Scheuerfeld,"Katholische Kirche St. Franziskus; Bruchsteinsaalbau, 1928"
"Waldstraße 2, Josef-Wagner-Straße 1", Scheuerfeld,"Fachwerkhaus, 18. Jahrhundert"
Waldstraße 3, Scheuerfeld,"Fachwerkhaus, teilweise massiv und verschiefert, 18. Jahrhundert"
