(an) Dahner Straße 7,Daleiden,"barockes Oberlichtportal, bezeichnet 1782",50.068846,6.181864
Hauptstraße,Daleiden,"Willibrorduskapelle; kleiner Putzbau, 1683, Werksteineinfassungen wohl aus der zweiten Hälfte des 18. Jahrhunderts",50.06688,6.1857
(an) Hauptstraße 12,Daleiden,"Nischenkreuz auf kannelierter Säule, bezeichnet 1623",50.070378,6.186455
(bei) Hauptstraße 22,Daleiden,"Vollnischenkreuz auf kannelierter Säule, bezeichnet 1623",50.070026,6.185592
Hauptstraße 25,Daleiden,"Quereinhaus, wohl um die oder kurz nach der Mitte des 18. Jahrhunderts (bezeichnet 1787, wohl verfälscht)",50.070534,6.184443
Schulstraße 4,Daleiden,"Katholische Pfarrkirche St. Matthäus; malerischer Komplex; Saalbau, 1933, Architekten Ludwig Becker und Anton Falkowski, Mainz, unter Verwendung älterer Teile, spätestgotischer Chor, 1613 (oder 1634?), im Kern wohl romanischer Turm, oberstes Geschoss und Spitzhelm frühes 17. Jahrhundert; teilweise Ausstattung; auf dem Kirchhof: Schiefer-Grabkreuz, um 1790; Vollnischenkreuz auf kannelierter Säule, bezeichnet 1623; Kreuzigungsbildstock, bezeichnet 1782; Schiefer-Grabplatte, um 1797",50.069997,6.182197
(an) Unterstraße 1,Daleiden,"Aloysiuskapelle; historisierender Saalbau mit Dachreiter, um 1900; in der Rückwand Priestergrabstein, bezeichnet 1763",50.067678,6.184029
(an) Unterstraße 1,Daleiden,"Oberlichtportal, bezeichnet 1717",50.067678,6.184029
(zu) Weiherstraße 9,Daleiden,"ehemalige Schule; neunachsiger Walmdachbau auf hohem Bruchsteinsockel, expressionistische Motive, 1929",50.070459,6.181954
auf einer Anhöhe oberhalb des Ortes,Daleiden,Ehrenfriedhof; 1954–59 um offene Pfeilerrotunde mit expressionistischer Pietà und vorgelagerter Halle ring- beziehungsweise viertelkreisförmig angelegte Reihen mit Einzel- und Sammelgräbern der 3224 im Zweiten Weltkrieg im Eifel-Ardennen-Raum Gefallenen,50.070286,6.183634
