Denkmalzone Ortskern (Hauptstraße),Waxweiler,"kleinstädtisches Straßenbild entlang der Hauptstraße um die katholische Pfarrkirche, traufständige Wohn- und Geschäftshäuser meist aus der ersten Hälfte des 19. Jahrhunderts",50.091928,6.363755
(an) Gerberweg 2,Waxweiler,"zweiflügelige Holztür, Oberlicht, Mitte des 19. Jahrhunderts",50.092587,6.362363
Hauptstraße,Waxweiler,"Katholische Pfarrkirche St. Johannes Baptist; Saalbau, 1770, Architekt Johannes Seiz, Trier, Turm in den unteren Geschossen eventuell noch mittelalterlich, Erweiterung durch Querbau 1922/23, Architekten Peter Marx und Peter Gracher, Trier; Ausstattung; sogenanntes Culneruskreuz, reliefierter Kreuzigungsbildstock, sogenannter Schönecker Typ, bezeichnet 1615; Kriegerdenkmal 1870/71, aufgesockelter Obelisk, bezeichnet 1788",50.092425,6.363135
Hauptstraße 2,Waxweiler,"dreigeschossiges Wohn- und Geschäftshaus mit streng gegliederter Fassade, neugotische Maßwerkversprossung, 1867, Architekt Philipp Schneider, Bitburg",50.091576,6.364169
Hauptstraße 4,Waxweiler,"Quereinhaus, bezeichnet 1790",50.091576,6.364169
Hauptstraße 18,Waxweiler,"vierachsiges Wohnhaus, bezeichnet 1826",50.09209,6.363603
Hauptstraße 28,Waxweiler,"dreigeschossiges Wohnhaus auf hohem Kellergeschoss, Neurenaissancemotive, spätes 19. Jahrhundert, im Kern wohl älter",50.09235,6.363126
(an) Hauptstraße 31,Waxweiler,"werksteingefasste Fenster, wohl aus dem 17. Jahrhundert",50.092587,6.363082
Hauptstraße 51,Waxweiler,"ehemaliges Pfarrhaus, dreiachsiges Wohnhaus, bezeichnet 1611",50.093078,6.36195
Lünebacher Straße,Waxweiler,"Schaftkreuz, bezeichnet 1808",50.095413,6.355626
Schmelzberg,Waxweiler,"ehemalige Lohgerberei Grimbach; langgestrecktes Gerbereigebäude auf hohem Kellergeschoss, um 1900",50.090668,6.364133
Am Eichelsberg,Waxweiler,"Grenzstein (sogenannter Römerstein); rechteckiger Stein mit Einritzungen, bezeichnet 16(??) und 1833",50.093211,6.368319
"nördlich des Ortes, an der Straße nach Pintesfeld bei der Kreuzwegkapelle",Waxweiler,Kreuzigungsbildstock; bezeichnet 1709 (unvollständig),49.37529,8.256542
"nordöstlich des Ortes, an der Straße nach Pintesfeld",Waxweiler,"Kreuzweg; 14 Stationen, Station XI und XIV in Kapellenrückwand vermauert, Station X bezeichnet 1779","",""
"östlich des Ortes, an einem Weg Richtung Lascheid",Waxweiler,"Wegekreuz; Nischenkreuz, bezeichnet 1634",48.730297,8.295717
Am Kanal 2,Waxweiler,"stattliches Wohnhaus mit vierachsigem Wohnteil und zweiachsigem Backhaus mit Altenteil, bezeichnet 1793",50.091974,6.364375
Dorfstraße,Waxweiler,"barockes Schaftkreuz, um 1770/80",48.167591,11.462189
"südlich des Ortes, an der Straße nach Waxweiler, gegenüber der Abzweigung zur Heilhausermühle",Waxweiler,"Wegekreuz; Schaftkreuz, bezeichnet 1861",51.9335,12.225388
