Hauptstraße 93, Becherbach (Pfalz),"Evangelische Kirche; klassizistischer Saalbau, 1791–93, Architekt Friedrich Gerhard Wahl"
Oberdorf 104, Becherbach (Pfalz),"L-förmige Hofanlage; Einfirsthaus, erste Hälfte des 19. Jahrhunderts"
Brögt 277, Becherbach (Pfalz),"Hofanlage; Einfirsthaus, Krüppelwalmdachbau, teilweise Fachwerk, Anfang des 19. Jahrhunderts"
Roßbergstraße, Becherbach (Pfalz),"ehemalige Schule; spätklassizistischer Sandsteinquaderbau, Mitte des 19. Jahrhunderts"
Roßbergstraße 220, Becherbach (Pfalz),"Hofanlage; Einfirsthaus, teilweise Fachwerk, Anfang des 19. Jahrhunderts"
Roßbergstraße 235, Becherbach (Pfalz),"Hofanlage; spätbarockes Einfirsthaus, Krüppelwalmdachbau, teilweise Fachwerk, wohl zweite Hälfte des 18. Jahrhunderts"
Roßbergstraße 295, Becherbach (Pfalz),"evangelische Pfarrkirche; klassizistischer Saalbau, 1832–35"
Schulgasse 325, Becherbach (Pfalz),"Hofanlage; Einfirsthaus, Bruchstein, im Kern wohl aus dem 16. oder 17. Jahrhundert, im 19. Jahrhundert überformt, Scheune bezeichnet 1921"
Schulgasse 326, Becherbach (Pfalz),"Dreiseithof, 19. oder 20. Jahrhundert; zweiteiliges Fachwerkhaus, im Kern wohl barock, 18. Jahrhundert"
Vordergasse 305, Becherbach (Pfalz),"gründerzeitlich-spätklassizistisches Wohnhaus, bezeichnet 1910, im Kern wohl aus dem 19. Jahrhundert"
