Denkmalzone Jüdischer Friedhof[1], Becherbach bei Kirn,Areal mit 21 Grabsteinen von 1881 bis 1938
Hauptstraße 23, Becherbach bei Kirn,"Fachwerkhaus, im Kern wohl aus dem 18. Jahrhundert"
Im Winkel 1, Becherbach bei Kirn,"ehemaliges evangelisches Pfarrhaus; barocker Fachwerkbau, bezeichnet 1749"
Im Winkel 2, Becherbach bei Kirn,"ehemalige Schule; teilweise Fachwerk, bezeichnet 1755, im Kern wohl aus dem 16. Jahrhundert"
Kirchstraße, Becherbach bei Kirn,"Evangelische Pfarrkirche; frühklassizistischer Saalbau, 1783–86, Landbauinspektor Lindemann, Westturm im Kern romanisch, 1837 erhöht"
Neue Straße, Becherbach bei Kirn,"Katholische Kirche; neugotischer Saalbau, Ziegelmauerwerk, 1893"
Oberdorfstraße 1, Becherbach bei Kirn,"ehemalige Schmiede; Fachwerkkniestock, zweite Hälfte des 19. Jahrhunderts"
Oberdorfstraße 5, Becherbach bei Kirn,"ehemalige Schule; einfirsthausartiger Fachwerkbau, 1820"
Oberdorfstraße 13, Becherbach bei Kirn,"Fachwerkhaus, teilweise verschiefert, 18. oder Anfang des 19. Jahrhunderts"
Oberdorfstraße 14, Becherbach bei Kirn,"Wohnhaus, Renaissancebau, Schweifknickgiebel, bezeichnet 1597"
(gegenüber) Sachsenhausen 13, Becherbach bei Kirn,"Wasserbehälter; aus roten Backsteinen mit Sandsteinabschluss, Eisentür bezeichnet „1899 C. Hiller“"
Schulstraße, Becherbach bei Kirn,"ehemalige Schule; Walmdachbau, teilweise verschiefertes Fachwerk, Heimatstil, 1911"
an der L 182, Becherbach bei Kirn,"Denkmal; Findling, wohl aus den 1920er/30er Jahre"
