Lindenstraße 2, Bockenau,"barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Mainzer Straße, Bockenau,"ehemaliges Backhaus; klassizierender Bossenquaderbau, 1923"
"Waldböckelheimer Straße, auf dem Friedhof", Bockenau,"Arkadenhalle mit Soldatenfigur, 1923"
Waldböckelheimer Straße 9, Bockenau,"katholische Kirche St. Laurentius; romanisierender Saalbau, 1905; an der Kirche Sandstein-Kruzifix, bezeichnet 1892"
(an) Winterburger Straße 3, Bockenau,"Spolie, ehemaliger Schlussstein, 18. Jahrhundert"
Winterburger Straße 12, Bockenau,"sogenanntes Haus Hay; Fachwerkhaus, teilweise massiv, teilweise verschiefert, um 1900"
Winterburger Straße 15, Bockenau,"Rathaus; historisierender Putzbau mit ehemaligem Spritzenraum, bezeichnet 1846"
Winterburger Straße 21, Bockenau,"evangelische Pfarrkirche; barocker Saalbau, bezeichnet 1748; Westturm, Kreisbaumeister Ludwig Behr"
Winterburger Straße 21, Bockenau,"evangelisches Pfarrhaus, spätbarocker Krüppelwalmdachbau, bezeichnet 1766"
Winterburger Straße 23, Bockenau,"barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
(bei) Winterburger Straße 25, Bockenau,"spätgründerzeitliches Sandstein-Kruzifix, bezeichnet 1903"
Winterburger Straße 34/36, Bockenau,"villenartiges spätklassizistisches Wohnhaus (ehemalige katholische Schule), um 1880"
Winterburger Straße 38/40, Bockenau,"ehemalige evangelische Schule; spätklassizistischer Putzbau, um 1830/40"
an der L 237, Bockenau,"Wegweiser; klassizistischer Sandstein-Obelisk, um 1820"
an der L 238/K 23, Bockenau,"Wegweiser; klassizistischer Sandstein-Obelisk, um 1820"
