"Denkmalzone Jüdischer Friedhof[1] (In der Johanneshohl, an der Gemarkungsgrenze zu Bad Kreuznach)", Bretzenheim,Grabsteine von 1863 bis 1932
Binger Straße 5, Bretzenheim,"Hakenhof, bezeichnet 1761; Fachwerkhaus, verputzt, wohl 18. Jahrhundert"
Binger Straße 11, Bretzenheim,"Dreiseithof; barockes Fachwerkhaus, teilweise massiv, 17. Jahrhundert, Torbogen bezeichnet 1754, Scheune 1780; Grenzstein, Basalt, bezeichnet 1677"
"Gartenstraße, Ecke Mühlenstraße", Bretzenheim,"Grenzstein, wohl 18. Jahrhundert"
Große Straße 12, Bretzenheim,"ehemaliges Amtshaus; Renaissancebau, achteckiger Treppenturm, bezeichnet 1592; Grenzstein des Erzstiftes Köln"
Große Straße 14, Bretzenheim,"barocke Hofanlage, 18. Jahrhundert; Fachwerkhaus, verputzt, Scheune, teilweise Fachwerk"
Große Straße 16, Bretzenheim,"Villa Plettenberg-Puricelli; zweieinhalbgeschossiger Putzbau, spätklassizistisch geprägte Neurenaissance, bezeichnet 1877; weiteres Wohnhaus, Uhrtürmchen, Fachwerk-Klinker-Konstruktion, stattliche Nebengebäude; eingefriedete Gartenanlage mit Pumpenhaus, Wasserturm, vergleiche Turmstraße ohne Nummer"
(an) Große Straße 31, Bretzenheim,"Fenstergewände, bezeichnet 1606"
Kirchstraße, Bretzenheim,"sogenanntes Altes Schloss der Grafen von Velen; Mitte des 17. Jahrhunderts, Ruine; Umfassungsmauern mit Rundturm und Torbogen, Bruchstein"
Kirchstraße 2, Bretzenheim,"ehemaliges Schloss; nach Brand zum Barockschloss umgebaut, 1774, Bauinspektor J. Faxlunger, Mannheim; um einen Hof gruppierte Anlage mit Wirtschaftsgebäuden, Renaissance-Torbogen, um 1590, Herrenhaus mit Treppenturm, bezeichnet 1595; ehemaliges Wohngebäude, um 1600, Umbau wohl 1783"
Kirchstraße 18, Bretzenheim,"ehemaliges katholisches Pfarrhaus; im Kern spätbarocker Putzbau, bezeichnet 1789, wohl um 1850 in klassizistischen Formen aufgestockt"
Kirchstraße 20, Bretzenheim,"katholische Pfarrkirche Mariä Geburt; frühklassizistischer Saalbau, 1789–91, Bauinspektor Faxlunger, Mannheim, mittelalterlicher Turm mit barockem Helm; an der Kirche Kapelle, klassizistischer Walmdachbau, um 1850; Missionskreuz, bezeichnet 1854 und 1857; Grabmal M. Puricelli, Sandstein, 1860; Grabmal Agnes Utsch, gusseisernes Grabkreuz, 1841; Brunntentrog, reliefierter gusseiserner Trog, Rheinböllerhütte, zweite Hälfte des 19. Jahrhunderts; Glocke der Trauerhalle, bezeichnet 1513"
Kreuznacher Straße 33, Bretzenheim,"Gasthaus „Zum grünen Baum“; Fachwerkbau, 17. Jahrhundert, bezeichnet 1779"
Kreuzstraße 8, Bretzenheim,"barockes Fachwerkhaus, teilweise massiv, bezeichnet 1712, Toranlage"
Naheweinstraße 19, Bretzenheim,"Villa eines Weingutes, zweite Hälfte des 19. Jahrhunderts"
Turmstraße ohne Nummer, Bretzenheim,"Wasserturm; Aussichtsturm, achteckiger gründerzeitlicher Backsteinbau, um 1880"
Winkel 4, Bretzenheim,"Hofanlage, 18. Jahrhundert, Fachwerkhaus, verputzt"
an der Eremitage, Bretzenheim,"ehemaliges Jagdhaus; gründerzeitlicher Klinkerbau, Fassadenturm, Nebengebäude, Ende des 19. Jahrhunderts"
Eremitager Weg 211, Bretzenheim,"Eremitage, sogenannte Antonius-Klause; aus dem Felsen gehauene Teile einer romanischen dreischiffigen Kirche; an der Felswand mittelalterliches Relief; ehemalige Eremitenwohnung 1759–61"
Karlshof, Bretzenheim,"Dreiseithof um 1850/60; spätklassizistisches Hauptgebäude, eingezogener Scheunentrakt, Wegekreuz"
