(bei) Binger Straße 8, Daxweiler,"gusseiserner Laufbrunnen, bezeichnet 1900, Stromberger Neuhütte"
Grenzstein, Daxweiler,1781
"Heimbacher Straße, auf dem Friedhof", Daxweiler,"Grabmäler, neugotisches Sandstein-Kruzifix, Ende des 19. Jahrhunderts; zwei Priestergrabmäler, 1922 und 1926"
Ingelheimer Straße 11, Daxweiler,"barocke Einfirstanlage, teilweise Fachwerk, 18. Jahrhundert"
Ingelheimer Straße 15, Daxweiler,"Dreiseithof; Fachwerkhaus, verputzt, Scheune, Krüppelwalmdachbauten, um 1800"
(bei) Ingelheimer Straße 15, Daxweiler,"gusseiserner Laufbrunnen, bezeichnet Stromberger Neuhütte 1871"
Stromberger Straße, Daxweiler,"katholische Pfarrkirche Maria Geburt; dreischiffige neuspätgotische Stufenhalle, 1894/95, Architekten Carl Rüdell und Richard Odenthal, spätgotischer Chor, 1484, Turm im Kern romanisch, 12./13.Jahrhundert, spätgotische Veränderungen, neugotische Aufstockung"
Stromberger Straße 14, Daxweiler,"katholische Kapelle; neugotischer Klinkerbau, Kreuzdach, bezeichnet 1892"
Stromberger Straße 14, Daxweiler,"katholisches Pfarrhaus; gründerzeitlicher Klinkerbau, Wandnische mit Marienfigur, Ende des 19. Jahrhunderts"
Stromberger Straße 18, Daxweiler,"barockes Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts, Scheune, teilweise Fachwerk, im Kern aus dem 18. oder vom Anfang des 19. Jahrhunderts"
Stromberger Neuhütte, Daxweiler,"ehemalige Eisenhütte; barockes Herrenhaus, im Kern aus dem 18. Jahrhundert; klassizistische Produktions-, Lager- und Verwaltungsgebäude, Bruchstein, zwischen 1830 und 1860; Fabrikantenvilla, um 1900"
