Denkmalzone Ortskern (Naheweinstraße 29–37 und andere), Duchroth,"geschlossenes historisches Ortsgefüge mit doppelgeschossigen Bauten, darunter einige Fachwerkhäuser, 16. bis 20. Jahrhundert"
"Denkmalzone Untere Wassergasse 10, 12, 14, 16", Duchroth,vier eine hofartige Situation bildende Einfirstanlagen des 19. Jahrhunderts am Ende einer Sackgasse
Denkmalzone Montforterhof, Duchroth,"im Kern vermutlich „neues Schloss im Tal“ der Boos von Waldeck, ab 1480 (Renaissance-Spolien, 16. bis Anfang des 18. Jahrhunderts), 16. bis 19. Jahrhundert; jetzt vier Hofstellen; Hauptgebäude (Nr. 3/5): Krüppelwalmdachbau mit Torbogen, im Wesentlichen wohl aus dem 18. und vom Anfang des 19. Jahrhunderts"
Kirchenstraße, Duchroth,"Evangelische Pfarrkirche; gotisierender Sandsteinquaderbau, Heimatstil, 1908–10, Architekt Karl Schenkel, München-Pasing; Kriegerdenkmal 1866/70/71, Löwe, letztes Viertel des 19. Jahrhunderts; Kriegerdenkmal 1914/18, Sandsteinquader, 1920er Jahre"
(an) Kirchenstraße 4, Duchroth,"Spolien, um 1600"
Naheweinstraße 22, Duchroth,"barockes Fachwerkhaus, 18. Jahrhundert"
Naheweinstraße 29, Duchroth,"„Haus Schumacher“; nachbarocker Krüppelwalmdachbau, teilweise Fachwerk, Torfahrten, bezeichnet 1802 und 1790 (1796 ?)"
Naheweinstraße 31, Duchroth,"Einfirsthaus eines Gehöfts, teilweise Fachwerk, im Kern wohl aus dem 17. Jahrhundert, bezeichnet 1846, Torbalken bezeichnet 1801, weitere Toranlage vom Ende des 18. oder Anfang des 19. Jahrhunderts"
Naheweinstraße 33, Duchroth,"spätgotisches Rathaus; drittes Viertel des 16. Jahrhunderts, straßenseitiger Umbau, 19. Jahrhundert"
Naheweinstraße 35, Duchroth,"Hofanlage, Krüppelwalmdachbau mit Fachwerkanbauten, Torbogen bezeichnet 1802"
Naheweinstraße 37, Duchroth,"barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert; Haustür bezeichnet 1846"
Naheweinstraße 40/42, Duchroth,"„Haus Lindemann“; spätbarocke Einfirstanlage, bezeichnet 1786, Scheune, teilweise Fachwerk, bezeichnet 1786"
Naheweinstraße 46, Duchroth,"barockes Fachwerkhaus, großteils verputzt, 18. Jahrhundert, Erdgeschoss klassizistisch überformt"
Naheweinstraße 70, Duchroth,"Weingut, Vierseithof; Bruchsteinbauten, Heimatstil, um 1910"
Naheweinstraße 72, Duchroth,"ehemalige Schule; Wohnhaus, klassizistischer Putzbau mit siebenteiligen Fensterbändern, Mitte des 19. Jahrhunderts"
Obere Wassergasse 14, Duchroth,"Kleinhaus, teilweise Fachwerk, erste Hälfte des 19. Jahrhunderts"
(an) Pfarrgasse 6, Duchroth,"Haustür, klassizistisch, bezeichnet 1863"
(an) Pfarrgasse 7, Duchroth,"Haustür, Türblatt, Mitte des 19. Jahrhunderts"
Pfarrgasse 8, Duchroth,"evangelischer Pfarrhof; villenartiger Walmdachbau, Heimatstil, um 1900"
(an) Schlossstraße 1, Duchroth,"Haustür, spätklassizistisch, 1864"
(an) Schlossstraße 4, Duchroth,"zwei Spolien, um 1600 (?)"
Untere Wassergasse 12, Duchroth,"Einfirsthaus, bezeichnet 1815"
Untere Wassergasse 16, Duchroth,ehemalige Einfirstanlage; erste Hälfte des 19. Jahrhunderts
(an) Weinbergstraße 2, Duchroth,"klassizistisches Oberlichtportal, bezeichnet 1835"
