Denkmalzone Burg Gollenfels[1] (Von-Gauvain-Straße), Dörrebach,"1156 erwähnt, 1614 zerstört, seit 1619 Wiederaufbau des Wohntrakts mit Treppenturm unter Einbeziehung eines Wohnturms des 13. oder 14. Jahrhunderts; Denkmal für I. L. Gauvin, nach 1791, Gedenkstein, bezeichnet 1833"
Denkmalzone Burgruine Suitbertstein[2] (nordöstlich des Ortes im Wald), Dörrebach,"bis zu 12 m hohe Mauerreste eines Wohnturms, 15. oder 16. Jahrhundert"
Denkmalzone Jüdischer Friedhof[3], Dörrebach,"Areal mit 20 Grabsteinen, zweite Hälfte des 19. und Anfang des 20. Jahrhunderts"
Kirchstraße, Dörrebach,"katholische Kirche Mariä Himmelfahrt; barocker Saalbau, 1754, romanischer Chorturm, Mitte des 13. Jahrhunderts, Sakristeianbau, bezeichnet 1515"
Kirchstraße 4, Dörrebach,"katholische Pfarrhof; spätklassizistischer Putzbau, 1858, Scheune"
Schloßstraße 17, Dörrebach,"ehemaliges Volkshaus; ein- bis zweigeschossige Baugruppe, Mitte 1930er Jahre"
Schloßstraße 20, Dörrebach,"ehemalige Zehntscheune; barocker Krüppelwalmdachbau, Bruchstein, 18. Jahrhundert, in der ersten Hälfte des 19. Jahrhunderts einfirsthausartig umgebaut und klassizistisch überformt"
Schulstraße 20, Dörrebach,"Schule; Heimatstil, um 1838/39"
Seibersbacher Straße, Dörrebach,"evangelische Kirche; neugotischer Bruchsteinbau, 1900"
Stromberger Straße 37, Dörrebach,"Fachwerk-Wohnhaus, barocker Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1746"
an der L 242, Dörrebach,"zwei Kalköfen, Bruchstein, 19. Jahrhundert"
am Weinbergerhof, Dörrebach,"Michaelskapelle; Putzbau, im Kern barock, 18. Jahrhundert"
