Ebernburger Straße 14, Feilbingert,"Streckhof; klassizistischer Krüppelwalmdachbau, bezeichnet 1836, Ökonomietrakt, teilweise Fachwerk"
Ebernburger Straße 17, Feilbingert,"Katholische Pfarrkirche St. Michael; neugotischer Saalbau, bezeichnet 1868; im Kirchhof Missionskreuz, bezeichnet 1897 und 1920; barocker Bildstock, 18. Jahrhundert"
Ebernburger Straße 19, Feilbingert,"katholisches Pfarrhaus; zweiteiliger spätklassizistischer Putzbau, drittes Viertel des 19. Jahrhunderts"
Kolpingstraße 1, Feilbingert,"Fachwerk-Wohnhaus, spätbarocker Krüppelwalmdachbau, teilweise Fachwerk, wohl zweite Hälfte des 18. Jahrhunderts"
Lembergstraße 16, Feilbingert,"barockes Fachwerkhaus, teilweise massiv, Mitte des 18. Jahrhunderts, Haustür bezeichnet 1882"
Lembergstraße 30, Feilbingert,"eingeschossiges Wohnhaus, um 1820/30"
am Lemberg, Feilbingert,"ehemaliges Quecksilber-Bergwerk, 15. Jahrhundert und später"
"Martin-Luther-Straße, am Friedhof", Feilbingert,"Kriegerdenkmal 1914/18 und 1939/45, 1920er Jahre, nach 1945 neu geordnet und erweitert, vier reliefierte Stelen, Sarkophag"
Martin-Luther-Straße 5, Feilbingert,"ehemaliges evangelisches Pfarrhaus; jetzt Wohnhaus, spätbarocker Krüppelwalmdachbau, zweite Hälfte des 18. Jahrhunderts"
Martin-Luther-Straße 8, Feilbingert,"barocker Krüppelwalmdachbau, Fachwerk, verputzt, wohl erste Hälfte des 18. Jahrhunderts"
Martin-Luther-Straße 12, Feilbingert,"barockes Fachwerkhaus, verputzt, 18. Jahrhundert"
(in) Martin-Luther-Straße 22, Feilbingert,Ausstattung der „Besucherschmiede Blätz“
Oberhauser Straße 4, Feilbingert,"barockes Fachwerkhaus, 18. Jahrhundert"
Oberhauser Straße 10, Feilbingert,"Wohnhaus, nachbarocker Krüppelwalmdachbau, Fachwerk, bezeichnet 1813"
Ringstraße 1, Feilbingert,"Wohnhaus, spätbarocker Krüppelwalmdachbau, teilweise Fachwerk, zweite Hälfte des 18. oder Anfang des 19. Jahrhunderts"
Ringstraße 18, Feilbingert,"Evangelische Martin-Luther-Kirche; spätbarocker Bruchsteinbau, Walmdach, 1768, Westturm, bezeichnet 1895"
