Denkmalzone Jüdischer Friedhof[1] (Nachtigallenweg), Frei-Laubersheim,auf dem 1820 angelegten Areal etwa 30 Grabsteine bis 1934
"Denkmalzone Ortskern (Rathausstraße 1–3, 2–6, 9, 10–16 und Philipp-Wehr-Straße 1)", Frei-Laubersheim,"geschlossene Baustruktur des 17. bis 19. Jahrhunderts mit durchweg zweigeschossigen Bauten, darunter zwei Fachwerkhäuser, ein Hakenhof mit Toranlage sowie ein Vierseithof mit Torhaus"
Am Bahnhof Laubersheim 1, Frei-Laubersheim,"ehemaliger Bahnhof; zweieinhalbgeschossiger Krüppelwalmdachbau, Sandsteinquader, eingeschossiger Anbau, um 1880/90"
Am Johannisgarten 1, Frei-Laubersheim,"evangelisches Pfarrhaus; spätklassizistischer Putzbau, 1836–38; exponierte Ortseingangssituation"
Fronpforte 3, Frei-Laubersheim,"Hofanlage; barockes Fachwerkhaus, verputzt, erste Hälfte des 18. Jahrhunderts"
Fronpforte 7, Frei-Laubersheim,"barockes Fachwerkhaus, teilweise massiv, 1726, über Kellern von 1571"
Kirchenpforte 4, Frei-Laubersheim,"Hofanlage mit Toranlage, bezeichnet 1749; barockes Wohnhaus, teilweise Fachwerk"
Kirchenpforte 5, Frei-Laubersheim,"ehemaliger Kaplaneihof des Klosters Tholey; eingeschossiger barocker Mansarddachbau, 18. Jahrhundert"
Kirchenpforte 7, Frei-Laubersheim,"ehemaliges Priorat des Klosters Tholey (ehemaliger katholischer Pfarrhof); Hofanlage; barockes Wohnhaus, 18. Jahrhundert; im katholischen Pfarrhaus barocke Skulptur; am Torbogen nachbarockes Kruzifix, bezeichnet 1814"
Kirchenpforte 9/11, Frei-Laubersheim,"Katholische Pfarrkirche St. Mauritius; spätbarocker Saalbau, 1792–96, romanischer Turm, erste Hälfte des 13. Jahrhunderts; Kriegerdenkmal 1914/18, Muschelkalkpfeiler, 1920/30er Jahre"
Philipp-Wehr-Straße 3, Frei-Laubersheim,"spätbarockes Fachwerkhaus, teilweise massiv, bezeichnet 1763"
Philipp-Wehr-Straße 22, Frei-Laubersheim,"spätbarockes Wohnhaus, teilweise Fachwerk, Ende des 18. Jahrhunderts, Toranlage bezeichnet 1774"
Philipp-Wehr-Straße 25, Frei-Laubersheim,"Dreiseithof mit Toranlage, erste Hälfte des 19. Jahrhunderts"
Philipp-Wehr-Straße 29, Frei-Laubersheim,"barockes Fachwerkhaus, teilweise massiv, um 1700"
Rathausstraße 2, Frei-Laubersheim,"barockes Fachwerkhaus, verputzt, 17./18. Jahrhundert, Toranlage, erste Hälfte des 19. Jahrhunderts"
Rathausstraße 6, Frei-Laubersheim,"barockes Fachwerkhaus, großteils verputzt, bezeichnet 1728"
Rathausstraße 9, Frei-Laubersheim,"Rathaus; Renaissancebau mit Erdgeschosshalle, Fachwerkerker, bezeichnet 1603"
Rathausstraße 16, Frei-Laubersheim,"„Hof Sponheimer“, ehemaliger Hof des Altmünsterklosters zu Mainz; spätgotischer Massivbau, bezeichnet 1604, 1753 und im 19. Jahrhundert verändert"
Rathausstraße 19, Frei-Laubersheim,"barocke Hofanlage, teilweise Fachwerk, 18. Jahrhundert"
"Rathausstraße, Ecke Philipp-Wehr-Straße", Frei-Laubersheim,"neugotischer Laufbrunnen, bezeichnet 1884"
Rheingrafenstraße 7, Frei-Laubersheim,"Hakenhof; Fachwerkhaus, verputzt, Anfang des 19. Jahrhunderts"
Schulstraße 1, Frei-Laubersheim,"Schule, spätklassizistisch, bezeichnet 1880"
