Denkmalzone Jüdischer Friedhof[1], Fürfeld,um 1700/1850 angelegtes Areal mit 98 Grabsteinen von 1836 bis 1936
Bennstraße 1, Fürfeld,"katholisches Pfarrhaus, spätbarocker Mansardwalmdachbau, um 1770"
Bennstraße 5, Fürfeld,"Schule, klassizistischer Putzbau, um 1830"
Hochstätter Straße 2, Fürfeld,"Wohnhaus, barockes Fachwerkhaus, teilweise massiv, wohl um 1700"
Hochstätter Straße 10, Fürfeld,"barockes Fachwerkhaus, teilweise massiv, um 1700, Torfahrt mit Fachwerkspeicher"
Kreuznacher Straße 10, Fürfeld,"Wohnhaus, gründerzeitlicher Klinkerbau mit Sandsteingliederung, um 1890"
Kreuzstraße 13, Fürfeld,"barockes Fachwerkhaus, verputzt, um 1700, ehemalige Torfahrt mit Fachwerk-Überbau"
Kreuzstraße 18, Fürfeld,"Katholische Kirche St. Josef und St. Aegidius; spätbarocker Saalbau, 1774–76, Architekt Peter Reheis"
Kreuzstraße 21, Fürfeld,"barockes Wohnhaus, bezeichnet 1740, im Kern wohl um 1600, Stichbogengliederung um 1770/80"
Mittlere Bennstraße 2, Fürfeld,"evangelisches Pfarrhaus; gründerzeitlicher Sandsteinquaderbau, um 1895"
Mittlere Bennstraße 5, Fürfeld,"Hofanlage; barockes Fachwerkhaus, verputzt, um 1700"
Rathausstraße 5, Fürfeld,"Wohnhaus, gründerzeitlicher Klinkerbau, um 1890"
Rathausstraße 8, Fürfeld,"Wohnhaus, eingeschossiger barocker Mansarddachbau, um 1700"
Rathausstraße 12, Fürfeld,"Rathaus; spätklassizistischer Putzbau, 1840"
Rathausstraße 15, Fürfeld,"Vierseithof; langgestrecktes spätbarockes Wohnhaus, drittes Drittel des 18. Jahrhunderts"
Rathausstraße 21, Fürfeld,"Evangelische Kirche; spätbarock-frühklassizistischer Walmdachbau, 1774–76, ehemaliger gotischer Chorturm, vor 1840 aufgestockt"
Schulstraße 1, Fürfeld,"Schule; zweiflügeliger spätgründerzeitlicher Sandsteinquaderbau, bezeichnet 1900–01"
(bei) Schulstraße 1, Fürfeld,"nachbarockes Sandstein-Kruzifix, bezeichnet 1808"
Hof Iben, Fürfeld,"ehemalige Wasserburg; gotischer Chor der ehemaligen Burgkapelle, um 1240; ehemaliger Chorbogen zugesetzt, Barockprofile Mitte des 18. Jahrhunderts, romanischer Anschluss; barocke Brückenfigur, 18. Jahrhundert; ehemaliges Burghaus, im Kern mittelalterlich"
"an der L 410, am Appelbach", Fürfeld,"Thalermühle; 18. und 19. Jahrhundert, Vierseitanlage; spätbarocker Krüppelwalmdachbau, um 1770/80, jüngere Bruch- und Backsteinbauten"
