Hauptstraße, Guldental,"Renaissance-Ziehbrunnen, Ortswappen, bezeichnet 1584"
Hauptstraße 8, Guldental,"katholische Pfarrkirche St. Jakobus; neuspätgotischer Backsteinsaal, 1894, Dombaumeister Max Meckel"
Hauptstraße 9, Guldental,"Streckhof; barockes Fachwerkhaus, teilweise massiv, wohl erste Hälfte des 18. Jahrhunderts"
Hauptstraße 14, Guldental,"ehemalige Schule; spätklassizistischer Backsteinbau, 1895/96"
Kirchstraße 1, Guldental,"evangelische Pfarrkirche; romanischer Chorturm, 12. oder 13. Jahrhundert, gotische Veränderungen, barocker Helm, 1709; spätgotisches Langhaus, 15. Jahrhundert"
Kirchstraße 12, Guldental,"barockes Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts"
Naheweinstraße 48, Guldental,"Wohnhaus, spätklassizistischer Krüppelwalmdachbau, drittes Viertel des 19. Jahrhunderts"
Pfarriusstraße 12, Guldental,"barockes Fachwerkhaus, 18. Jahrhundert (?)"
Breitenfelserhof 4/5/6, Guldental,"dreiteilige Kleinhauszeile mit einer Scheune, frühes 19. Jahrhundert"
an der K 48, Guldental,"Überreste der Notgotteskapelle: höhlenartige Nische im Rotsandsteinfelsen, im Ursprung wohl mittelalterlich"
Denkmalzone Jüdischer Friedhof[1], Guldental,"Areal mit etwa 49 Grabsteinen, 1840 bis 1937"
Brückenstraße 1, Guldental,"klassizistisches Fachwerkhaus, verputzt, erste Hälfte des 19. Jahrhunderts, Türblatt bezeichnet 1900"
(an) Brunnenplatz 1, Guldental,"Wappenstein, bezeichnet 1577"
Brunnenplatz 5, Guldental,"ehemaliges Rat- und Schulhaus; klassizistischer Putzbau, um 1850/60, Laufbrunnen"
Brunnenplatz 7, Guldental,"Fachwerk-Wohnhaus, zweiteiliges barockes Fachwerkhaus, verputzt, eventuell um 1700; platzbildprägend"
Große Kirchgasse, Guldental,"katholische Pfarrkirche St. Martin; Saalbau, 1774/75, 1923 verlängert; in der Kirchhofmauer Grabsteine, 18. und 19.Jahrhundert; am Chor spätbarockes Kruzifix, bezeichnet 1779; drei Priestergrabkreuze, bezeichnet 1888, 1920 und 1927; Kriegerdenkmal 1914/18, Heiliger-Martin-Relief, 1920er Jahre; Friedhofskreuz, Sandstein, um 1900; ehemaliges Kirchenportal der barocken katholischen Kirche, 1762"
Im Baumgarten 2, Guldental,"Hofanlage; barockes Fachwerkhaus, teilweise massiv, 17. Jahrhundert"
Naheweinstraße 83, Guldental,"ehemalige Synagoge; Backsteinbau mit Rundbogenfenstern, 1910"
"Windesheimer Straße, Ecke Flurweg", Guldental,"Wegekapelle, 19. Jahrhundert"
