Denkmalzone Naheweinstraße 131–147, Langenlonsheim,"geschlossene Baustruktur mit ein- und zweigeschossigen Wohnhäusern, teilweise Fachwerk oder Klinkerfassaden"
Denkmalzone Jüdischer Friedhof[1], Langenlonsheim,Areal mit 46 Grabsteinen von 1868/69 bis 1938
"Friedhofstraße, auf dem Friedhof", Langenlonsheim,"Friedhofstor, klassizistisch, Mitte des 19. Jahrhunderts; Grabmal M. Eich, neuklassizistische reliefierte Stele, um 1924; Grabmal Pies, historisierende Stele, um 1868/72; Grabmal Sara Muff, antikisierende Stele, um 1862; Grabmal Joh. Nic. Lorenz, gotisierende Stele, um 1861; Grabmal M. Lorenz, urnenbekrönte Stele in umfriedeter Anlage, um 1900"
Heddesheimer Straße (am Friedhof), Langenlonsheim,"Kriegerdenkmal 1914/18, Granitkubus, um 1930"
"Heddesheimer Straße, auf dem Friedhof", Langenlonsheim,"Grabmäler Familie Müller (Erbhof Tesch): in einer kleinen Anlage, um 1865 und um 1928; Grabmal M. Müller, spätklassizistische Grabsäule"
Heumarkt 11, Langenlonsheim,"Dreiseithof; Fachwerkhaus, teilweise massiv, 18. oder Anfang des 19. Jahrhunderts"
Hintergasse 21, Langenlonsheim,"eineinhalbgeschossiges Fachwerkhaus, teilweise massiv, 16. Jahrhundert (?)"
Hintergasse 22, Langenlonsheim,"Hofanlage; eineinhalbgeschossiges Fachwerkhaus, im Kern aus dem 18. Jahrhundert, Ziegelmauerwerk um 1900"
Naheweinstraße 9, Langenlonsheim,"ehemalige Mühle Kloninger; Vierflügelanlage, Rotsandsteinquaderbauten, Anfang bis zweite Hälfte des 19. Jahrhunderts"
Naheweinstraße 90, Langenlonsheim,"barocker Krüppelwalmdachbau, Fachwerk verputzt und verschiefert, wohl erste Hälfte des 18. Jahrhunderts"
Naheweinstraße 96, Langenlonsheim,"evangelische Pfarrkirche; spätgotischer Chor, um 1500, Sakristei, 1588, teilweise romanisch; spätbarocker Saalbau, 1777, klassizistisch-neugotische Verlängerung, 1867/68, Kreisbaumeister Conradi, Kreuznach"
Naheweinstraße 97, Langenlonsheim,"Weingut Closheim; historisierender Backsteinbau, bezeichnet 1867"
Naheweinstraße 101, Langenlonsheim,"ehemaliges Gasthaus „Zum Hohenzollern“; spätklassizistisches Wohnhaus, um 1860/70"
Naheweinstraße 109, Langenlonsheim,"barockes Fachwerkhaus, verputzt, wohl 18. Jahrhundert"
Naheweinstraße 109, Langenlonsheim,"Hofanlage; verputztes Fachwerkhaus, 18. oder frühes 19. Jahrhundert"
Naheweinstraße 112, Langenlonsheim,Wohn- und Geschäftshaus; Fachwerk um 1700
Naheweinstraße 115, Langenlonsheim,"Hofanlage; barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Naheweinstraße 122, Langenlonsheim,"Hofanlage; Fachwerkhaus, teilweise massiv, bezeichnet 1585"
Naheweinstraße 130, Langenlonsheim,"Dreiseithof; Torbogen bezeichnet 1711; barocker Krüppelwalmdachbau, Fachwerk verputzt und verschiefert, bezeichnet 1843; barockes Nebengebäude, teilweise Fachwerk"
Naheweinstraße 131, Langenlonsheim,"Fachwerkhaus, lw. massiv, im Kern eventuell aus dem 18. Jahrhundert"
Naheweinstraße 133, Langenlonsheim,"Dreiseithof; barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Naheweinstraße 137, Langenlonsheim,"barockes Fachwerkhaus, teilweise massiv, um 1700, Torbogen bezeichnet 1712"
Naheweinstraße 142, Langenlonsheim,"evangelisches Pfarrhaus; stattliche spätklassizistische Fassade, um 1840/50"
Naheweinstraße 143, Langenlonsheim,"Fachwerkhaus mit Laubengang, wohl 17. Jahrhundert"
Naheweinstraße 169, Langenlonsheim,"Hofanlage; Fachwerkhaus, teilweise massiv, erste Hälfte des 19. Jahrhunderts"
Naheweinstraße 195, Langenlonsheim,"Weingut Höhn-Zimmermann; eineinhalbgeschossige Backstein-Villa, Mischformen spätklassizistisch/ Neurenaissance, zweite Hälfte des 19. Jahrhunderts; Kelter bezeichnet 1797"
Naheweinstraße 209, Langenlonsheim,"ehemalige Weinkellerei (?); langgestreckte gründerzeitliche Putzfassade, um 1880/90"
Untere Grabenstraße, Langenlonsheim,"katholische Pfarrkirche St. Johannes der Täufer; neuspätgotischer Saalbau, 1907/08, Architekt Josef Kleesattel, Düsseldorf"
