Denkmalzone Jüdischer Friedhof[1], Meddersheim,Areal mit etwa 40 Grabsteinen vom 18. (?) bis zum Anfang des 20. Jahrhunderts
Denkmalzone Schliffgesmühle[2] (an der Nahe), Meddersheim,"eingeschossiges spätklassizistisches Wohnhaus mit Kniestock, Wirtschaftsgebäude, teilweise Fachwerk, Mitte des 19. Jahrhunderts"
Hintergasse 3 (?), Meddersheim,"Wohnhaus mit Fachwerkteilen, wohl um 1623/33"
Hintergasse 15, Meddersheim,"Fachwerkhaus, teilweise massiv, bezeichnet 1805"
Hohlgasse 1, Meddersheim,"barockes Fachwerkhaus, verputzt, wohl 18. Jahrhundert"
Hohlgasse 3, Meddersheim,"Gasthaus; klassizistischer Fachwerkbau, verputzt und verschiefert, bezeichnet 1830"
Kirschrother Straße 6/8, Meddersheim,"Hofanlage; Doppelwohnhaus, Fachwerk verputzt, bezeichnet 1830; Wirtschaftsgebäude 19. Jahrhundert"
"Naheweinstraße, auf dem Friedhof", Meddersheim,"Grabstein Schlarb, antikische reliefierte Stele, gegen 1900"
Naheweinstraße 6, Meddersheim,"späthistoristische Villa, bezeichnet 1911"
Naheweinstraße 21, Meddersheim,"Vierseithof; klassizistisches Fachwerkhaus, verputzt, um 1830/40; Wirtschaftsgebäude, teilweise Fachwerk"
Naheweinstraße 24, Meddersheim,"spätbarocker Mansardwalmdachbau, Fachwerk verputzt, zweite Hälfte des 18. Jahrhunderts"
Naheweinstraße 30, Meddersheim,"ehemaliges Lehrerwohnhaus; barocker Krüppelwalmdachbau, bezeichnet 1737"
Naheweinstraße 32, Meddersheim,"Evangelische Kirche; romanischer Chorturm, Helm 1814, spätgotischer Chor, um 1500, spätbarocker Saal, 1756; Torbogen zum Pfarrhaus, Mitte des 19. Jahrhunderts, Kirchhofmauer, unterhalb im Friedhof Grabsteine, 19. Jahrhundert"
Naheweinstraße 32/34, Meddersheim,"evangelisches Schul- und Pfarrhaus; repräsentativer Walmdachbau, um 1850/60"
Naheweinstraße 36, Meddersheim,"barockes Fachwerkhaus, teilweise massiv, bezeichnet 1723"
Naheweinstraße 46, Meddersheim,"ehemaliger Rheingräflicher Hof; 16. bis 19. Jahrhundert; zweiteilige Baugruppe aus Fachwerkhäusern, eingebauter Treppenturm, bezeichnet 1592"
(an) Naheweinstraße 49, Meddersheim,"klassizistische Oberlichttür, bezeichnet 1820"
(an) Neugasse 5, Meddersheim,"Haustür, bezeichnet 1834"
Sobernheimer Straße 2, Meddersheim,"Gasthaus „Zur Traube“; barocker Mansardwalmdachbau, teilweise Fachwerk, bezeichnet 1747"
Sobernheimer Straße 5, Meddersheim,"barockes Fachwerkhaus, teilweise verschiefert, bezeichnet 1681 und 1725, Veränderungen im 19. Jahrhundert"
Sobernheimer Straße 16, Meddersheim,"Altes Rathaus; teilweise Fachwerk, im Kern wohl um 1600 und aus dem 17. Jahrhundert, Dachreiter mit Glocke, 1719"
Unterm Winkel, Meddersheim,"Brücke, zweibogig, zweite Hälfte des 19. Jahrhunderts"
an der K 62, Meddersheim,"Brücke über die Nahe; fünfbogige Brücke, Sandsteinquader, um 1860, nach Sprengung 1946/47 wiederaufgebaut"
