Denkmalzone Jüdischer Friedhof[1], Merxheim (Nahe),Areal mit 51 Grabsteinen von 1830 bis 1936
Bachstraße 17, Merxheim (Nahe),"Hofanlage; Renaissancebau, um 1574"
(an) Großstraße 28, Merxheim (Nahe),"Treppenturmrest, spätgotisch, bezeichnet 1572"
Großstraße 34, Merxheim (Nahe),"Rathaus, Renaissancebau, 1570, Torbogen 1779"
Hahnenstraße 4, Merxheim (Nahe),"barocker Krüppelwalmdachbau, Fachwerk verputzt, 18. Jahrhundert"
Hauptstraße 4, Merxheim (Nahe),"Einfirstanlage; Krüppelwalmdachbau, teilweise verschiefertes Fachwerk, bezeichnet 1811"
Hauptstraße 17, Merxheim (Nahe),"Evangelische Kirche; neugotischer Sandsteinquaderbau, 1874"
Hauptstraße 19, Merxheim (Nahe),"Katholische Pfarrkirche St. Borromäus; ehemaliges Schloss der Vögte von Hunolstein, langgestreckter klassizistischer Putzbau, 1791 ff., im Ostteil 1817 Einbau der katholischen Pfarrkirche St. Borromäus, im Westteil katholische Schule, Dachreiter 1865, neuklassizistischer Turm 1919"
(an) Hauptstraße 22/24, Merxheim (Nahe),"Renaissance-Torbögen, 1592; Sonnenuhr, um 1700"
(an) Hauptstraße 32, Merxheim (Nahe),"Portal, bezeichnet 1622"
Hauptstraße 61, Merxheim (Nahe),"eineinhalbgeschossiger spätgründerzeitlicher villenartiger Klinkerbau, bezeichnet 1903"
"Hauptstraße, Ecke Großstraße", Merxheim (Nahe),"Kriegerdenkmal 1914/18, Sandstein-Obelisk, nach 1920"
"an der Nahe, nördliche des Ortes", Merxheim (Nahe),"Gänsmühle; stattliches spätklassizistisches Wohnhaus mit Zwerchhaus und Kniestock, um 1860; Nebengebäude aus Backsteinen"
