Denkmalzone Ortskern, Neu-Bamberg,"neben Überresten der Stadtbefestigung, 14. Jahrhundert ff., zahlreiche, zumindest im Kern barocke Gebäude"
Ortsbefestigung, Neu-Bamberg,"nach 1320; zum Teil in Wohnhäuser verbaut (Amtsgasse 31 und andere); gotische Kandelpforte (Uhrturm), 14. Jahrhundert, barockes Krüppelwalmdach, 18. Jahrhundert, bezeichnet 1718, Durchfahrt 1906 erhöht"
Alzeyer Straße 57, Neu-Bamberg,"Evangelische Pfarrkirche, ehemals St. Georg; Chorturm zweite Hälfte des 13. Jahrhunderts, Saal 1739 und 1765 barock überformt, spätgotische Südvorhalle; Friedhof mit alter Umfassungsmauer, Grabsteine gründerzeitlich und 1920er Jahre"
Am Scheep, Neu-Bamberg,"spätbarockes Kruzifix, bezeichnet 1776"
Am Scheep 1, Neu-Bamberg,"Dreiseithof; barocker Krüppelwalmdachbau, Fachwerk verputzt, angeblich vor 1717, Umbau 1837"
Am Scheep 2, Neu-Bamberg,"Dreiseithof; barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert, wohl mit älteren Teilen (16. Jahrhundert ?)"
Amtsgasse 1, Neu-Bamberg,"spätbarockes Fachwerkhaus, verputzt, bezeichnet 1777"
Amtsgasse 4, Neu-Bamberg,"spätklassizistisches Wohnhaus, bezeichnet 1852"
Amtsgasse 6, Neu-Bamberg,"Hofanlage; barockes Wohnhaus, im Kern um 1720 und erste Hälfte des 19. Jahrhunderts"
Amtsgasse 8, Neu-Bamberg,"ehemaliges kurmainzisches Amtshaus; heute Rathaus, barocker Mansardwalmdachbau, um 1720"
Amtsgasse 10/12, Neu-Bamberg,"barocke Scheune, teilweise Fachwerk, Krüppelwalmdach, 18. Jahrhundert, Toranlage, bezeichnet 1772"
Amtsgasse 11, Neu-Bamberg,"Dreiseithof; barockes Fachwerkhaus, teilweise massiv, wohl um 1700, bezeichnet 1774 und 1776"
Amtsgasse 14, Neu-Bamberg,"barockes Wohnhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts"
Kandelpforte 2, Neu-Bamberg,"barockes Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts; barocke Torbogengewände; Inschriftstein, bezeichnet 1621; Werkstein, bezeichnet 1821"
Schloßberg, Neu-Bamberg,"Burgruine Neuenbaumburg; 1200 gegründet, 1668 zerstört; wohl mittelalterliche Mauerreste"
Schloßgasse 1, Neu-Bamberg,"barockes Fachwerkhaus, teilweise massiv, bezeichnet 1747; in der Hofmauer Grabstein, um 1743"
Schloßgasse 5, Neu-Bamberg,"barockes Fachwerkhaus, verputzt, bezeichnet 1717"
Schloßgasse 29, Neu-Bamberg,"ehemaliger Wasserbehälter; in Formen der Burgenarchitektur, um 1910"
Schloßgasse 37, Neu-Bamberg,"ehemaliges katholisches Pfarrhaus, spätbarocker Mansardwalmdachbau, um 1770"
Schloßgasse 39, Neu-Bamberg,"Katholische Kirche St. Dionysius; neugotischer Saalbau, 1881/82"
Wöllsteiner Straße 30, Neu-Bamberg,"Junkermühle, Hofanlage; barockes Fachwerkhaus, 18. Jahrhundert, eingeschossiges spätklassizistisches Wohnhaus, bezeichnet 1836, Einfirsthaus, um 1830"
"an der L 405, am Appelbach", Neu-Bamberg,"Weidenmühle; große Anlage mit stattlichem spätklassizistischem Wohnhaus, zweites Viertel des 19. Jahrhunderts"
