Am Stausee, Niederhausen (Nahe),"ehemaliger Bahnhof; um 1900, spätgründerzeitlicher Sandsteinquaderbau, teilweise verschiefertes Fachwerk, Fachwerkgüterschuppen"
Hintergasse 11, Niederhausen (Nahe),"Hakenhof; barocker Krüppelwalmdachbau, Fachwerk verputzt, 18. Jahrhundert"
Kirchgasse, Niederhausen (Nahe),"Kriegerdenkmal 1914/18, reliefierter Muschelkalk-Kubus, 1920er Jahre"
Kirchgasse 9, Niederhausen (Nahe),"Evangelische Pfarrkirche; ehemals St. Mechtildis, romanisches Langhaus, spätgotischer Chor, Turm im 15. Jahrhundert verändert"
Kirchgasse 14, Niederhausen (Nahe),"evangelischer Pfarrhof; spätklassizistisches Pfarrhaus, drittes Viertel des 19. Jahrhunderts, Bruchsteinscheune, Stalltürsturz bezeichnet 1549"
(an) Raiffeisenstraße 3, Niederhausen (Nahe),"spätgründerzeitliche Putzfassade des ehemaligen Kellereigebäudes, um 1900"
Winzerstraße 7, Niederhausen (Nahe),"barockes Fachwerkhaus, teilweise massiv, um 1700"
"an der K 58, südwestlich des Ortes", Niederhausen (Nahe),"ehemalige Staatliche Weinbaudomäne, ehemalige „Königlich-Preußische Weinbaudomäne Niederhausen-Schloßböckelheim“; 1902 ff. mit Verwaltungsgebäude, Kelterhaus in historisierendem Jugendstil, bezeichnet 1910; Arbeiterwohnungen, Umspannturm, Weinberge; breite landschaftsbildliche Wirkung"
"an der L 235, südwestlich des Ortes", Niederhausen (Nahe),"Gasthaus „Hermannshöhle“; ehemaliges Fährhaus, im Kern barocke Dreiflügelanlage; eingeschossiger Krüppelwalmdachbau"
"im Niederhäuser Wald, südwestlich des Ortes", Niederhausen (Nahe),"ehemaliges Quecksilbergwerk „Schmittenstollen“; Stollen, Strecken und Schächte, gegen 1469 bis 1939"
"an der Nahe, zum Teil Gemarkung Norheim", Niederhausen (Nahe),"Wasserkraftwerk; Stausee mit Deichen, Stauwehr mit Brücke und vier Türmen, Wasserkraftwerk mit Maschinenhalle und Maschinistenwohnhaus, 1930/50er Jahre"
Weinbergshaus, Niederhausen (Nahe),"achteckiger Putzbau, 19. Jahrhundert"
Weinbergshaus, Niederhausen (Nahe),"halbrunder gotisierender Turm, Bruchstein, Ende des 19. Jahrhunderts"
