Denkmalzone Jüdischer Friedhof[1], Schweppenhausen,Areal mit etwa 30 Grabsteinen des 19. und frühen 20. Jahrhunderts
Deyertstraße 2, Schweppenhausen,"evangelische Kirche; neugotischer Bruchsteinbau, 1858"
Naheweinstraße 5, Schweppenhausen,"ehemalige Ölmühle; barocke Vierflügelanlage mit Fachwerkbauten, 18. und Anfang des 19. Jahrhunderts"
Naheweinstraße 14, Schweppenhausen,"Vierseithof; barockes Fachwerkhaus, 18. Jahrhundert"
Naheweinstraße 22, Schweppenhausen,"katholische Kirche Heilig Kreuz; Westturm im Kern von 1515 (?); barocker Saal 1722, Sakristei 1726, Schiff 1826 verändert"
Naheweinstraße 25, Schweppenhausen,"Fachwerkhaus, teilweise verputzt, wohl 17. Jahrhundert (angeblich 1550)"
Naheweinstraße 26, Schweppenhausen,"Krüppelwalmdachbau, Fachwerk verputzt und verschiefert, bezeichnet 1867"
Naheweinstraße 45, Schweppenhausen,"barockes Fachwerkhaus, verputzt, 18. Jahrhundert"
Naheweinstraße 53, Schweppenhausen,"Streckhof; Fachwerkhaus, verputzt, Anfang des 19. Jahrhunderts"
Schwabenstraße 8a, Schweppenhausen,"ehemalige Synagoge; Bruchsteinbau, 1845"
