Denkmalzone Alter jüdischer Friedhof, Simmertal,"1700 angelegtes Areal mit etwa 25 Grabsteinen des 18. (?) und 19. Jahrhunderts, 1878 geschlossen"
Denkmalzone Burgruine Brunkenstein[1], Simmertal,etwa 8–9 m hohe Mauerecke eines Bruchsteinturms der 1342 erwähnten Burganlage
Denkmalzone Simmerhammer[3], Simmertal,"16. Jahrhundert (?) bis Anfang des 20. Jahrhunderts, seit 1866 Eisengießerei Elbertzhagen:

wasserbauliche Anlagen (Stauweiher usw.);
Betriebsgebäude vor allem des 19. und 20. Jahrhunderts (?), das älteste wohl das ehemalige Hammergebäude (mit Spolien, angeblich von Schloss Dhaun);
Wirtschaftsgebäude mit Toreinfahrten, bezeichnet 1901;
Spolien (1618) und gusseiserner ehemaliger Laufbrunnen (19. Jahrhundert);
Gründerzeitvilla, bezeichnet 1888

"
Auf Kipp 1, Simmertal,"Hofanlage; Fachwerkhaus, teilweise verschiefert, erste Hälfte des 19. Jahrhunderts, im Kern älter, Nebengebäude teilweise Fachwerk"
Fronhofstraße 1, Simmertal,"ehemalige Schule (?); großvolumiger Bruchsteinbau, Mitte des 19. Jahrhunderts"
Hauptstraße 34, Simmertal,"spätklassizistische Einfirstanlage (ohne Tenne), Mitte des 19. Jahrhunderts"
Hauptstraße 61, Simmertal,"Fachwerkhaus, verputzt, im Kern wohl 15. und 16. Jahrhundert"
Hauptstraße 63, Simmertal,"Hofanlage; Einfirsthaus, teilweise Fachwerk, um 1800 (?), bezeichnet 1865"
(an) Hauptstraße 78, Simmertal,"Haustür, spätbarock, bezeichnet 1787"
Kirchstraße, Simmertal,"evangelische Pfarrkirche; barocker Saalbau, 1730, Architekt Johann Thomas Petri, Bundenbach"
Kreuzstraße 3, Simmertal,"ehemaliges evangelisches Pfarrhaus, barocker Massivbau, bezeichnet 1739; zugehörig das neue Pfarrhaus, neuklassizistischer Putzbau, um 1910"
Kreuzstraße 5, Simmertal,"Rathaus; spätgotischer Massivbau, bezeichnet 1499, Umbau mit Einbau einer Backstube 1575"
(an) Kreuzstraße 9, Simmertal,"Portal, barock, bezeichnet 1719"
Rathausstraße 1, Simmertal,"Hakenhof; barockes Fachwerkhaus, teilweise massiv, teilweise verschiefert, 18. Jahrhundert"
(an) Rathausstraße 7, Simmertal,"Portal, mit Vorhangbogen, bezeichnet 1460"
"am Eingang des Kellenbachtals, unterhalb der Burgruine Brunkenstein", Simmertal,"Burgruine Rotenberg (Rodenburg); 1329 erweitert, ursprünglich wohl wildgräflich, 1480 zerstört"
Simmerhammer, Simmertal,"Spolien, reiche Renaissance-Portalgewände, bezeichnet 1618, zwei Wappensteine, 17. Jahrhundert"
Simmerhammer, Simmertal,"ehemaliger Laufbrunnen, Gusseisen, 19. Jahrhundert"
