"Denkmalzone ehemaliges Kloster Sponheim[1] (Klosterhof 1, 2, 3)", Sponheim,"katholische Kirche St. Maria und St. Martin; romanischer Bau auf kreuzförmigem Grundriss, 1101–1125, wohl nach 1156–1188, um 1230/35–91, Sakristei bezeichnet 1614/26; barocke ehemalige Konventsgebäude, 18. Jahrhundert, Brunnenhaus, angeblich 1126 ff., Scheune, 18 oder 19. Jahrhundert; Obstkelter, 19. Jahrhundert; im Garten barocke Skulptur, Rotsandstein, 18. Jahrhundert"
Feldbergstraße 2, Sponheim,"barockes Fachwerkhaus, teilweise massiv, bezeichnet 1702"
Klosterhof 1/2, Sponheim,"ehemaliges katholisches Pfarrhaus, Barockbau, 18. Jahrhundert"
Klosterstraße 1, Sponheim,"Rathaus; zweieinhalbgeschossiger neugotischer Sandsteinquaderbau, um die Mitte des 19. Jahrhunderts, Architekt wohl Bezirksbaumeister Conradi, Kreuznach"
(an) Klosterstraße 2, Sponheim,"Renaissanceportal, bezeichnet 1607"
Kreuznacher Straße 16, Sponheim,"Wohnhaus, teilweise Fachwerk, um 1600, Ende des 18. oder Anfang des 19. Jahrhunderts überformt"
Rathausstraße 33, Sponheim,"evangelische Kirche; neugotischer Sandsteinquaderbau, 1856, Architekt wohl Kreisbaumeister Conradi, Bad Kreuznach"
Roseneck 1, Sponheim,"Krüppelwalmdachbau, teilweise Fachwerk, im Kern wohl aus dem 16. oder vom Anfang des 17. Jahrhunderts, im 19. Jahrhundert erweitert und überformt, bezeichnet 1831, 1842, 1905"
Vor der Pforte 1, Sponheim,"Wegekapelle, barock, 18. Jahrhundert"
"am Weiherweg, am Ortsausgang nach Bockenau", Sponheim,"ehemaliger Waschbrunnen, Wasserbehälter, ältere Teile vor 1800; Brunnenstock bezeichnet 1881; zugehörig Wasserbehälter mit klassizistischer Giebelfassade"
an der K 55, Sponheim,"Flachsdarre; langgestreckter Sandsteinquaderbau, wohl spätes 17. Jahrhundert"
an der K 54/K 55, Sponheim,"Wegweiser, Sandstein-Obelisk, 19. Jahrhundert"
an der L 237, Sponheim,"Wegweiser, Sandstein-Obelisk, erste Hälfte des 19. Jahrhunderts"
im Wald, Sponheim,"Wegweiser, Sandstein-Obelisk, erste Hälfte des 19. Jahrhunderts"
