"Denkmalzone Ortskern (Römerstraße 1–5, Marktplatz 1–8, Staatsstraße 1–7, Im Zwengel 1, 3, Talstraße 1, 2–6)", Stromberg (Hunsrück),weitgehend geschlossene historische Bausubstanz des 18. und 19. Jahrhunderts
Denkmalzone Stromburg[1] (Fustenburg) (Michel-Obentraut-Straße), Stromberg (Hunsrück),"1056 erwähnt, 1116 und 1689 zerstört, in Teilen moderner Wiederaufbau"
Binger Straße 1, Stromberg (Hunsrück),"ehemaliges Frauenkloster und Krankenhaus St. Joseph mit Kapelle; dreigeschossiger neugotischer Backsteinbau, 1883"
Binger Straße 3, Stromberg (Hunsrück),"ehemaliges evangelisches Pfarrhaus; gotisierender Bruchsteinbau, spätes 19. Jahrhundert"
Brücke über den Dörrebach, Stromberg (Hunsrück),"doppelbogige Quaderkonstruktion, 19. Jahrhundert"
Gerbereistraße 20, Stromberg (Hunsrück),"spätbarockes Wohnhaus, bezeichnet 1788"
Im Zwengel 3, Stromberg (Hunsrück),"klassizistisches Fachwerkhaus, bezeichnet 1803"
Kirchgasse 5, Stromberg (Hunsrück),"evangelische Pfarrkirche; barocker Saalbau, 1725, Westturm 1877 mit Wappenstein, 1487"
Kreuznacher Straße 1, Stromberg (Hunsrück),"ehemalige Gerberei; barocker Fachwerkbau, bezeichnet 1726"
Marktplatz, Stromberg (Hunsrück),"Brunnenfigur des heiligen Jakobus; spätbarock, 1780 (Original im Heimatmuseum)"
Marktplatz 6, Stromberg (Hunsrück),"spätbarockes Fachwerkhaus, verputzt, bezeichnet 1787"
Marktplatz 7, Stromberg (Hunsrück),"Wohn- und Geschäftshaus; dreigeschossiger spätbarocker Fachwerkbau, teilweise massiv oder verschiefert, bezeichnet 1734"
Marktstraße 1, Stromberg (Hunsrück),"spätbarockes Wohn- und Geschäftshaus, Ende des 18. Jahrhunderts"
Marktstraße 3, Stromberg (Hunsrück),"stattliches frühklassizistisches Wohnhaus, bezeichnet 1793"
Marktstraße 5, Stromberg (Hunsrück),"klassizistischer Krüppelwalmdachbau, Fachwerk, verputzt, um 1800"
Marktstraße 6, Stromberg (Hunsrück),"dreigeschossiger klassizistischer Walmdachbau, Ende des 18. Jahrhunderts"
Rathausstraße, Stromberg (Hunsrück),"Kriegerdenkmal 1870/71, Tuffstein-Obelisk, 1889"
Rathausstraße 3, Stromberg (Hunsrück),"katholisches Pfarrhaus, Walmdachbau, halbrunder Standerker, bezeichnet 1931"
Römerstraße 1, Stromberg (Hunsrück),"spätbarocker Krüppelwalmdachbau, bezeichnet 1788"
Römerstraße 3/4, Stromberg (Hunsrück),"Fachwerkhaus, 18. oder Anfang des 19. Jahrhunderts"
Römerstraße 5, Stromberg (Hunsrück),"barockes Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts"
Schloßstraße 6, Stromberg (Hunsrück),"dreigeschossiges barockes Fachwerkhaus, verputzt, wohl 17. Jahrhundert"
Schloßstraße 8, Stromberg (Hunsrück),"barockes Fachwerkhaus, verputzt, wohl 17. Jahrhundert"
Schloßstraße 10, Stromberg (Hunsrück),"barockes Fachwerkhaus, 17. Jahrhundert"
Schloßstraße 11, Stromberg (Hunsrück),"eingeschossiges Fachwerkhaus, 18. oder Anfang des 19. Jahrhunderts"
Staatsstraße 3/5, Stromberg (Hunsrück),"ehemalige Posthalterei; Fachwerkbau, teilweise massiv, im Kern wohl um 1700, Rokoko-Türblatt bezeichnet 1788"
Staatsstraße 7, Stromberg (Hunsrück),"Gruppe zweier Fachwerkhäuser, größtenteils verputzt, 18. und Anfang des 19. Jahrhunderts"
Staatsstraße 9, Stromberg (Hunsrück),"katholische Pfarrkirche St. Jakob; neugotische Hallenkirche, Bruchstein, 1863, Dombaumeister Vincenz Statz, Köln"
Talstraße 1, Stromberg (Hunsrück),ehemalige Zehntscheune
(an) Talstraße 1, Stromberg (Hunsrück),"Stadtbefestigung, Überreste des sogenannten Schlangenturms und der Stadtmauer, 13. Jahrhundert und später"
Talstraße 16, Stromberg (Hunsrück),"barockes Fachwerkhaus, um 1700"
Talstraße 17, Stromberg (Hunsrück),"Renaissance-Fachwerkhaus, 1608 (dendrodatiert)"
Talstraße 20, Stromberg (Hunsrück),"barockes Fachwerkhaus, teilweise massiv, im Kern wohl aus dem 17. Jahrhundert"
Von-Gauvain-Straße 7, Stromberg (Hunsrück),"ehemaliges DRK-Kurheim; fünfgeschossiger Mansardwalmdachbau, Heimatstil neuklassizistischer Prägung, 1914–21"
Warmsrother Grund 2, Stromberg (Hunsrück),"ehemaliges Amtsgericht; dreigeschossiger gotisierender Hausteinbau, teilweise verschiefertes Fachwerk, 1900"
an der L 214, Stromberg (Hunsrück),"Burgruine Pfarrköpfchen; wohl aus dem 11. oder 12. Jahrhundert; ergrabene Mauerreste, darunter romanische Kapelle"
"Kreuznacher Straße 12, östlich des Ortes", Stromberg (Hunsrück),"ehemalige Bannmühle; spätklassizistischer Bruchsteinbau, wohl um 1850"
südlich des Ortes, Stromberg (Hunsrück),ehemalige Kirche des Dorfes Schindeldorf; mittelalterlicher Grundmauerreste
"südöstlich des Ortes, über der L 242", Stromberg (Hunsrück),"Weinbergshaus; gründerzeitlicher Backsteinbau, Ende des 19. Jahrhunderts"
