Denkmalzone Marktplatz 1–8, Volxheim,"platzbildprägende Fachwerkhäuser des 18. Jahrhunderts, Bauernhäuser des 19. Jahrhunderts sowie evangelische Kirche"
"Friedhofsweg, auf dem Friedhof", Volxheim,"Grabmal-Skulptur einer Trauernden, um 1900; Kriegerdenkmal 1914/18, Soldat, bezeichnet 1927"
Hintergasse 4, Volxheim,"Katholische Pfarrkirche St. Matthäus; spätbarocker Walmdachbau mit Nischenfigur, 1790"
Hintergasse 7, Volxheim,"Hofanlage; Fachwerkhaus, verputzt, um 1800 (?), Wirtschaftsgebäude um 1850/60"
"Hintergasse 10, 12", Volxheim,"zwei Kleinhäuser, erstes Viertel des 19. Jahrhunderts; Nr. 10 teilweise Fachwerk, Nr. 12 bezeichnet 1824"
Kirchgasse 1, Volxheim,Hofanlage
Manngartenstraße 5, Volxheim,"Hofanlage, 18. oder 19. Jahrhundert; barockes Fachwerkhaus, 18. Jahrhundert"
Marktplatz 3, Volxheim,"Vierseithof; barockes Fachwerkhaus, teilweise massiv, bezeichnet 1712"
Marktplatz 4, Volxheim,"Hofanlage; Fachwerkhaus, im Kern wohl barock, 18. Jahrhundert"
Marktplatz 5, Volxheim,"Evangelische Kirche; klassizistischer Saalbau, 1790"
Marktplatz 7, Volxheim,"Hofanlage; barockes Fachwerkhaus, teilweise massiv, bezeichnet 1729, Torbau mit Saal, um 1840/50, Sandsteinquader-Nebengebäude"
Neugasse 5, Volxheim,"Dreiseithof, Mitte des 18. Jahrhunderts; barockes Fachwerkhaus"
Obergasse 3, Volxheim,"barockes Fachwerkhaus, teilweise massiv, bezeichnet 1773"
Obergasse 4, Volxheim,"Vierseithof; nachbarockes Fachwerkhaus, verputzt, bezeichnet 1801"
Obergasse 8, Volxheim,"barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
(an) Obergasse 8, Volxheim,gotischer Torbogen
Obergasse 10, Volxheim,"spätbarockes Fachwerkhaus, teilweise massiv, bezeichnet 1773"
Obergasse 11, Volxheim,"barockes Fachwerkhaus, im Kern 18. Jahrhundert, bezeichnet 1807"
Schulstraße 6, Volxheim,"Wohnhaus; gründerzeitliche Klinkerfassade, bezeichnet 1895"
an der L 412, Volxheim,"Wasserbehälter; neugotischer Bossenquaderbau, bezeichnet 1900"
