"Denkmalzone Jüdischer Friedhof[1] (Im Judenwald, nordöstlich des Orts)", Waldlaubersheim,vor 1800 (?) gegründetes Areal mit 22 Grabsteinen von 1860 bis 1936
"Binger Straße, Rümmelsheimer Straße", Waldlaubersheim,"Wegweiser; klassizistischer Sandstein-Obelisk, um 1820/30"
Binger Straße 13, Waldlaubersheim,"Barockes Fachwerkhaus mit massivem Erdgeschoss, 18. Jahrhundert"
(neben) Binger Straße 16, Waldlaubersheim,"ehemalige Synagoge, Satteldachbau aus Bruchsteinen mit Rundbogenfenstern, 1853"
Binger Straße 17, Waldlaubersheim,"evangelische Pfarrkirche; romanischer Chorturm, Ende des 13. Jahrhunderts, gotischer Spitzhelm, netzgewölbte Anbauten, zweite Hälfte des 15. Jahrhunderts, neuromanischer Saal; auf dem Kirchhof Kriegerdenkmal 1914/18"
Binger Straße 20, Waldlaubersheim,"barockes Fachwerk-Wohnhaus mit massivem Erdgeschoss, 18. Jahrhundert"
Genheimer Straße 7, Waldlaubersheim,"Vierseithof; spätklassizistischer Backsteinbau, spätes 19. Jahrhundert"
Genheimer Straße 11, Waldlaubersheim,"barockes Fachwerkhaus, teilweise massiv, bezeichnet 1742"
Genheimer Straße 15, Waldlaubersheim,"Hofanlage, 18. und 19. Jahrhundert; winkelförmiges barockes Fachwerkhaus, teilweise massiv"
Im Schlosshof 1/3, Waldlaubersheim,"ehemaliges Amtshaus der Herren von Schonenburg; spätgotisch geprägter Massivbau, Treppenturm, Renaissanceportal, bezeichnet 1616, Hoftorbogen bezeichnet 1584"
Im Schlosshof 2, Waldlaubersheim,"Wohnhaus, anspruchsvoller spätklassizistischgotisierender Walmdachbau, um 1890"
Windesheimer Straße 1/2, Waldlaubersheim,"ehemalige Schule; klassizistischer Zweiflügelbau, 1833/34, Umbau 1928/29"
Windesheimer Straße 8, Waldlaubersheim,"spätklassizistisches Wohnhaus mit Kniestock, um 1850, Kelterhaus nach 1890"
Windesheimer Straße 17, Waldlaubersheim,"evangelisches Pfarrhaus; spätklassizistischer Putzbau mit Kniestock, bezeichnet 1834"
