"Denkmalzone Jüdischer Friedhof[1] (nordöstlich des Orte, in der Nähe der K 46)", Wallhausen (bei Bad Kreuznach),Areal mit sechs Grabsteinen von 1906 bis 1929
Allee 4, Wallhausen (bei Bad Kreuznach),"Fachwerkhaus, verputzt, Anfang des 19. Jahrhunderts, im Kern eventuell älter"
Am Gräfenbach, Wallhausen (bei Bad Kreuznach),"Brücke über den Gräfenbach; einbogige Bruchsteinbrücke, teilweise in Ziegeln erneuert, bezeichnet 1868"
(an) Am Gräfenbach 22, Wallhausen (bei Bad Kreuznach),"Steintafel, (nachträglich) bezeichnet 1772"
(gegenüber) Am Gräfenbach 22, Wallhausen (bei Bad Kreuznach),"Brücke über den Gräfenbach; einbogige Bruchsteinbrücke, 18. Jahrhundert (?)"
Grabenstraße 4, Wallhausen (bei Bad Kreuznach),"eingeschossiges Fachwerkhaus, um 1800"
Hauptstraße 66, Wallhausen (bei Bad Kreuznach),"Hofanlage; barockes Fachwerkhaus, teilweise massiv, Jahrhundert 1716 und 1794, Wirtschaftsgebäude teilweise Fachwerk"
Hauptstraße 68, Wallhausen (bei Bad Kreuznach),"barockes Fachwerkhaus, wohl aus dem 18. Jahrhundert, bezeichnet 1860"
Hauptstraße 80, Wallhausen (bei Bad Kreuznach),"Handwerkeranwesen, 19. oder erste Hälfte des 20. Jahrhunderts; Fachwerkhaus, verputzt, wohl Mitte des 19. Jahrhunderts, winkelförmig angefügt Werkstatt und Ladenarkaden, bezeichnet 1927"
Hauptstraße 82, Wallhausen (bei Bad Kreuznach),"Dreiseithof; barockes Fachwerkhaus, verputzt, 18. Jahrhundert, Fachwerk-Nebengebäude, verputzt, 17. Jahrhundert"
Hauptstraße 86, Wallhausen (bei Bad Kreuznach),"Fachwerkhaus, verputzt, 18. oder Anfang des 19. Jahrhunderts"
Kirchgasse 9, Wallhausen (bei Bad Kreuznach),"ehemaliges Amtshaus (Alte Schule); barocker Mansardwalmdachbau, bezeichnet 1723, Scheune wohl aus dem 18. Jahrhundert"
Kirchgasse 12, Wallhausen (bei Bad Kreuznach),"katholische Pfarrkirche St. Laurentius; klassizistischer Saalbau mit Tempelfassade, bezeichnet 1792, Architekt Peter Jung, Mainz; nach Brand 1920 wiederaufgebaut, Turm 1929; Querhaus 1963, Architekt Otto Spengler; Kriegerdenkmal 1914/18, neuklassizistischer Pfeiler, 1920er Jahre, nach 1945 erweitert und umgewidmet"
Kirchgasse 14, Wallhausen (bei Bad Kreuznach),"katholisches Pfarrhaus, spätklassizistischer Putzbau, 1860"
Schafwinkel 3, Wallhausen (bei Bad Kreuznach),"barockes Fachwerkhaus, teilweise massiv, 17. Jahrhundert"
Schloßstraße, Wallhausen (bei Bad Kreuznach),"einbogige Brücke über den Gräfenbach, Bruchstein, angeblich 1584"
(vor) Schloßstraße 2, Wallhausen (bei Bad Kreuznach),"Nepomuk-Figur, barock, bezeichnet 1732"
Schloßstraße 3, Wallhausen (bei Bad Kreuznach),"Schloss; zweieinhalbgeschossiger winkelförmiger Bruchsteinbau, im Kern fünfseitiger Renaissancebau mit Treppenturm, um 1565, im 18. Jahrhundert erweitert; Grabmäler aus der Pfarrkirche; Gartenanlage mit barockem Gartenhäuschen; Einfriedungsmauer; Bruchstein-Wirtschaftsgebäude"
Schloßstraße 4, Wallhausen (bei Bad Kreuznach),"Wohnhaus, barocker Krüppelwalmdachbau, verputzt und verschiefert, 17./18. Jahrhundert"
Schmiedgasse 1, Wallhausen (bei Bad Kreuznach),"barockes Fachwerkhaus, verputzt und verschiefert, 18. Jahrhundert"
Schmiedgasse 5, Wallhausen (bei Bad Kreuznach),"Streckhof; Fachwerkhaus, teilweise massiv, 17. Jahrhundert"
"an der K 45, westlich des Ortes", Wallhausen (bei Bad Kreuznach),"Butterbank, wohl aus dem 19. Jahrhundert"
"an der K 47, an der Kiesgrube", Wallhausen (bei Bad Kreuznach),"Wegweiser, klassizistischer Sandstein-Obelisk, um 1820/30"
"an der K 47, nördlich des Ortes", Wallhausen (bei Bad Kreuznach),"Wegweiser, klassizistischer Sandstein-Obelisk, um 1820/30"
"an der K 45, westlich des Ortes", Wallhausen (bei Bad Kreuznach),"Wegweiser/Kilometerstein, klassizistischer Sandstein-Obelisk, 19. Jahrhundert"
