Denkmalzone Ackvamühle[1] (westlich des Ortes am Ellerbach), Weinsheim (bei Bad Kreuznach),"Dreiflügelanlage; spätklassizistisches Breitgiebelhaus, Mitte des 19. Jahrhunderts"
Denkmalzone Jüdischer Friedhof[2], Weinsheim (bei Bad Kreuznach),um 1830/40 angelegtes Areal mit 22 (?) Grabsteinen von 1881 (?) bis 1930
Backesgasse 2, Weinsheim (bei Bad Kreuznach),"ehemaliges Rathaus; Renaissancebau, bezeichnet 1576, Erdgeschoss-Umbau in der zweiten Hälfte des 18. Jahrhunderts; Gemeindebackhaus, bezeichnet 1597"
Backesgasse 4, Weinsheim (bei Bad Kreuznach),"barockes Fachwerkhaus, Mitte des 18. Jahrhunderts; städtebaulich wichtig"
Kirchgasse 1, Weinsheim (bei Bad Kreuznach),"Hofanlage, 17. bis 19. Jahrhundert; barockes Fachwerkhaus, ehemals bezeichnet 1667"
(an) Kirchgasse 4, Weinsheim (bei Bad Kreuznach),"barocker ehemaliger Torbogen-Schlussstein, 1780 (?)"
Kirchgasse 6, Weinsheim (bei Bad Kreuznach),"Hofanlage, bezeichnet 1750; spätbarocker Walmdachbau"
Kirchgasse 9, Weinsheim (bei Bad Kreuznach),"evangelisches Pfarrhaus; spätbarocker Krüppelwalmdachbau, zweite Hälfte des 18. Jahrhunderts"
Kirchgasse 14, Weinsheim (bei Bad Kreuznach),"barockes Fachwerkhaus, teilweise massiv, um 1700; städtebaulich wichtig"
Kirchgasse 20, Weinsheim (bei Bad Kreuznach),"evangelische Pfarrkirche; klassizistischer Vierkonchenbau mit Doppelturmfassade, 1823–25, Kreisbauinspektor Ludwig Behr, Bad Kreuznach"
Kreuznacher Straße 31, Weinsheim (bei Bad Kreuznach),"spätbarockes Fachwerkhaus, teilweise massiv, bezeichnet 1763"
Schulstraße 24/26/28, Weinsheim (bei Bad Kreuznach),"ehemalige Schule mit Lehrerwohnungen; dreiteilige Baugruppe, Heimatstil neuklassizistischer Prägung, 1938, Kreisbaumeister Richard Starig, Bad Kreuznach, Bildhauerarbeit von Emil Cauer, Bad Kreuznach"
Schulstraße 27, Weinsheim (bei Bad Kreuznach),"katholische Herz-Jesu-Kirche; neugotischer Backsteinbau, 1907/08, Architekten Gebrüder Jakob und Peter Friedhofen, Koblenz-Lützel"
Sponheimer Straße 2, Weinsheim (bei Bad Kreuznach),"Fachwerkhaus, im Kern wohl spätes 16. Jahrhundert, Obergeschoss und Dach ausgehendes 17. Jahrhundert, Haustür bezeichnet 1837"
Sponheimer Straße 7, Weinsheim (bei Bad Kreuznach),"spätbarockes Fachwerkhaus, teilweise massiv, bezeichnet 1757"
Scholländerhof, Weinsheim (bei Bad Kreuznach),"katholische Kapelle; spätbarocker Saalbau, ehemals bezeichnet 1776"
