"Denkmalzone Ortskern (Hauptstraße, Kreuznacher Straße, Lindenstraße, Rathausplatz)", Windesheim,"weitgehend geschlossene historische Bebauung des 18. und 19. Jahrhunderts, darunter barocke Hofanlagen mit Fachwerkhäusern"
Denkmalzone Jüdischer Friedhof (im Wald nordöstlich des Orts), Windesheim,1800 (?) angelegtes Areal mit 20 Grabsteinen von 1867 bis 1927
Bahnhofstraße 4, Windesheim,"ehemaliger Bahnhof; um 1903; Empfangsgebäude mit Renaissancemotiven, Fachwerk-Güterschuppen"
Bergstraße 22, Windesheim,"katholisches Pfarr- und ehemaliges Schulhaus; langgestreckter klassizistischer Putzbau, bezeichnet 1835–1838"
Bergstraße 24, Windesheim,"katholische Pfarrkirche Unbefleckte Empfängnis Mariens; neuspätgotischer Bruchsteinbau, 1897/98, Architekt Ludwig Becker, Mainz"
Bruchgasse 9, Windesheim,"Hofanlage; barockes Fachwerkhaus, teilweise massiv, um 1700, Fachwerkscheune"
Graußengarten 2, Windesheim,"spätbarockes Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts (?), Anbau bezeichnet 1783"
Hauptstraße 4, Windesheim,"Hofanlage, zweite Hälfte des 18. und 19. Jahrhundert; spätbarockes Fachwerkhaus, bezeichnet 1789"
Hauptstraße 6, Windesheim,"Hofanlage; barockes Fachwerkhaus, 18. Jahrhundert"
Hauptstraße 14, Windesheim,"klassizistischer Krüppelwalmdachbau, Fachwerk verputzt, bezeichnet 1792"
Hauptstraße 17, Windesheim,"barockes Fachwerkhaus, teilweise massiv, Ende des 17. Jahrhunderts"
Hauptstraße 18, Windesheim,"spätbarockes Fachwerkhaus, teilweise massiv, bezeichnet 1791"
Kirchgasse 2, Windesheim,"ehemaliges evangelisches Pfarrhaus; spätbarocker Krüppelwalmdachbau, bezeichnet 1771; Grabplatte 16. Jahrhundert"
Kirchgasse 4, Windesheim,"evangelische Pfarrkirche; ehemals St. Michael, romanischer Westturm, Mitte des 12. Jahrhunderts (?), gotischer Chor, spätgotisches Langhaus, bezeichnet 1517, barocker Umbau 1778/79"
"Kreuznacher Straße, auf dem Friedhof", Windesheim,"Grabmal Dheil, klassizistisches Grabmal, um 1940"
Kreuznacher Straße 1, Windesheim,"im Kern barockes Fachwerk-Wohnhaus, im 19. und 20. Jahrhundert verändert"
Kreuznacher Straße 12, Windesheim,"ehemaliges Schulhaus; eingeschossiger Mansarddachbau, Heimatstil, um 1910"
Kreuznacher Straße 19, Windesheim,"ehemaliges Gasthaus „Zur Stadt Kreuznach“; Vierflügelanlage, um 1850; spätklassizistischer Krüppelwalmdachbau, Wirtschaftsgebäude teilweise Fachwerk"
Lindenstraße 1, Windesheim,"barockes Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts, überformt um die Mitte des 19. Jahrhunderts"
Lindenstraße 4, Windesheim,"spätklassizistischer Vierseithof, Mitte des 19. Jahrhunderts"
Lindenstraße 5, Windesheim,"barockes Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts"
Lindenstraße 7, Windesheim,"barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert, Erdgeschossfenster um 1770, klassizistische Haustür bezeichnet 1841, Werkstein-Spolie bezeichnet 1582"
Lindenstraße 23, Windesheim,"barockes Fachwerkhaus, teilweise massiv, 17. Jahrhundert (?)"
Rathausplatz 1/3, Windesheim,"Rathaus; Rundbogenstil, um 1850"
