Denkmalzone 1920er-Jahre-Siedlung Gustav-Pfarrius-Straße,"Gustav-Pfarrius-Straße 14–30 (gerade Nummern), 17–37 (ungerade Nummern), Ringstraße 102–110 (gerade Nummern), Jean-Winckler-Straße 2–20 (gerade Nummern), Röntgenstraße 20–24 (gerade Nummern), 25–35 (ungerade Nummern)",Bad Kreuznach,1925!1925/26,"unterschiedliche Siedlungswohnblöcke sowie Einzel- und Doppelvillen in historisierendem 1920er Jahre-Stil mit Heimatstil-, Neubarock- und neuklassizistischen Motiven, im Wesentlichen von 1925/26; in der Gustav-Pfarrius-Straße dreigeschossige Walmdachbauten mit zweigeschossigen Kopfbauten, 1926/27, Architekt Hugo Völker, basierend auf Plänen von 1919, Architekt Alexander Ackermann[1]",Kein Bild vorhanden,49.838782,7.867861
Denkmalzone Evangelische Diakonieanstalten,"Ringstraße 58, Graf-Friedrich-Straße 15, Waldemarstraße 24",Bad Kreuznach,1897!ab 1897,"seit 1897 erstellter Gebäudekomplex im Park, gotisierende Sandstein- und Backsteinbauten (erster Bauabschnitt), Architekt Friedrich Langenbach, Barmen; 1912-54 angepasste Ergänzungsbauten, Architekt Willibald Hamburger[2]",Kein Bild vorhanden,49.836252,7.862387
Denkmalzone Friedhof,Mannheimer Straße,Bad Kreuznach,1827,"1827 angelegtes, seit 1918 mehrfach erweitertes, in Rechteckparzellen geteiltes Areal mit eigens umfriedeten Ehrenfriedhöfen und besonderen Gedenkstätten; alte Friedhofskapelle, historisierender Achteckbau, nach 1843; Puricellikapelle, neugotischer Rotsandsteinquaderbau mit bauzeitlicher Ausstattung, 1895, Architekt Ludwig Becker; zahlreiche Grabmäler, teilweise von der Bildhauerfamilie Cauer gestaltet, zweite Hälfte des 19. und erste Hälfte des 20. Jahrhunderts",Kein Bild vorhanden,49.836481,7.872948
Denkmalzone Goethestraße,"Goethestraße 1–7, 9, Bühler Weg 8, 10, 12, Röntgenstraße 2/4, 6, 8, Pestalozzistraße 3–9, Waldemarstraße 21, 23, 25, 27",Bad Kreuznach,1925!Mitte der 1920er Jahre,"villenartige historisierende Putzbauten, überwiegend mit Walm-, teilweise mit Mansarddächern, Teil der Stadterweiterung am Kuhberg aus der Mitte der 1920er Jahre[3]",Kein Bild vorhanden,49.836225,7.867784
Denkmalzone Gustav-Pfarrius-Straße/Lina-Hilger-Straße,"Gustav-Pfarrius-Straße 1/3, 5, 7, Lina-Hilgerstraße 1, 3/5 und Bosenheimer Straße 6 und 8",Bad Kreuznach,1925!1925/26,"fünf kunststeingegliederte Walmdachbauten, 1925/26, Architekt Johann Au, als Wohnungsbauten für Unteroffiziere erbaut[4]",Kein Bild vorhanden,49.840573,7.866153
Denkmalzone Jüdischer Friedhof,Stromberger Straße,Bad Kreuznach,1661,"1661 angelegtes, 1919 erweitertes trichterförmiges Areal; auf dem nördlichen, ältesten Teil zahlreiche, meist barocke Sandsteinplatten, auf dem schmalen Gräberfeld südlich der Leichenhalle (Mitte des 19. Jahrhunderts, 1894 erweitert) Sandsteinplatten des 19. Jahrhunderts; neubarocke Marmortafel der zerstörten Synagoge[5]",Kein Bild vorhanden,49.853405,7.859582
Denkmalzone Jungstraße,"Jungstraße 6, 8, 10, 12, 14, 16",Bad Kreuznach,1893!1893 ff.,"sechs dreigeschossige Mietshäuser, Klinkerbauten, Neurenaissance, 1893 ff., Architekten Gebrüder Lang; straßenbildprägend[6]",//commons.wikimedia.org/wiki/Category:Rose_Barracks_Bad_Kreuznach,49.839959,7.860962
Denkmalzone Kasernen,Alzeyer Straße,Bad Kreuznach,1932!1932 ff.,"symmetrisch um einen Grünhof verteilter Gebäudekomplex mit repräsentativen dreigeschossigen Heimatstilbauten, 1932 ff.",Kein Bild vorhanden,49.839604,7.874624
Denkmalzone Kurgebiet,südwestlich des Stadtkerns,Bad Kreuznach,1817!ab 1817,"nach Entdeckung der Heilkraft des Solewassers durch Dr. Eberhard Prieger 1817 nach systematischen städtischen Planungen in mehreren Abschnitten bebaut in offener Bauweise hinter Vorgärten mit Alleen: Badeinsel und nördliches Kurviertel bis Weinkauffstraße ab 1840 bzw. 1847, südlich anschließendes Gebiet ab 1900, sogenanntes erweitertes Kurgebiet südöstlich der Salinenstraße ab 1880; zahlreiche Einzeldenkmäler wie Kurhaus (1840–60), vierflügeliges Bäderhaus (1911/12), private Badehäuser (spätklassizistisch und Neurenaissance), vor allem von der Bildhauerfamilie Cauer geschaffene Denkmäler und Bronzefiguren, Salinen (Karlshalle, Theodorshalle); im Süden spitz auslaufendes Areal, im Osten begrenzt von der Bahnlinie, im Norden von Baumstraße/Salinenstraße/Schloßstraße, dem Mühlenteich und der Alten Nahebrücke, im Westen mit einem Uferstreifen jenseits der Nahe abschließend",Kein Bild vorhanden,49.833655,7.849849
Denkmalzone Kurpark,Kurhausstraße,Bad Kreuznach,1840!ab 1840,"ab 1840 angelegter Englischer Garten mit altem Baubestand; darin Kurhaus (siehe Kurhausstraße 28), davor runder Musikpavillon, Bronzefigur des „Traubenmädchens“, Hanna Cauer, 1950; auf der Südspitze Elisabethenquelle: offene Trinkhalle über Quelle mit flankierenden Freitreppen und Plattform, 1880er Jahre",Kein Bild vorhanden,49.840335,7.853425
