Denkmalzone Kurpark,Kurhausstraße,Bad Münster am Stein-Ebernburg,1800!19. Jahrhundert,"im 19. Jahrhundert in einer Schleife der Nahe unterhalb von Burg Rheingrafenstein angelegt mit Bäder- und Kurmittelhaus, Salinenverwaltungsgebäude, Gradierwerken (Salinen), gründerzeitlicher Konzertbühne (um 1880), Bronzefigur (wohl aus den 1930er Jahren) und Wasserturm",Kein Bild vorhanden,49.809312,7.847111
Denkmalzone Ortskern Bad Müster am Stein,Nahestraße 7–23 und 4–26,Bad Münster am Stein-Ebernburg,1600!17. bis 20. Jahrhundert,"Siedlungskern mit Bauten des 17. bis 20. Jahrhunderts, überwiegend zweigeschossige Bebauung des 18. und 19.Jahrhunderts",Kein Bild vorhanden,49.811361,7.84842
Bahnhof Bad Münster am Stein,Berliner Straße 20,Bad Münster am Stein-Ebernburg,1900!um 1900,"eingeschossige Walmdachbauten, teilweise Fachwerk, Jugendstil, um 1900",Kein Bild vorhanden,49.813406,7.847622
Evangelische Kirche,Berliner Straße 21,Bad Münster am Stein-Ebernburg,1907!1907/08,"Wandpfeilerbasilika in staufischen Formen, 1907/08, Architekt Otto Kuhlmann, Berlin; nach Kriegszerstörung bis 1961 wiederhergestellt; Bauplastik von Hans Lehmann-Borges, Berlin; Glasfenster von Erhard Klonk, Marburg; Kriegerdenkmal 1914/18, reliefierte Kunststeinstele, 1920er Jahre",Kein Bild vorhanden,49.812579,7.848249
Wohnhaus,Berliner Straße 32,Bad Münster am Stein-Ebernburg,1900!um 1900,"spätgründerzeitliches Wohnhaus, um 1900",Kein Bild vorhanden,49.812214,7.847547
Wohnhaus,Fischerhof 5,Bad Münster am Stein-Ebernburg,1500!16. Jahrhundert,"eingeschossiger Mansarddachbau, im Kern eventuell aus dem 16. Jahrhundert, im 18. Jahrhundert barock überformt",Kein Bild vorhanden,49.811678,7.848765
Friedenseiche und Denkmal,Goetheplatz,Bad Münster am Stein-Ebernburg,1872,"Friedenseiche und Denkmal, Sandstein, bezeichnet 1872–1912",Kein Bild vorhanden,49.811143,7.847141
Kurhaus,Goetheplatz 4/6,Bad Münster am Stein-Ebernburg,1850!drittes Viertel des 19. Jahrhunderts,"ehemaliges Kurhaus; dreigeschossiger spätklassizistischer Putzbau, drittes Viertel des 19. Jahrhunderts",Kein Bild vorhanden,49.81084,7.8466
Fischerhäuschen,Kapitän-Lorenz-Ufer 2,Bad Münster am Stein-Ebernburg,1575!spätes 16. Jahrhundert,wohl aus dem späten 16. Jahrhundert,Kein Bild vorhanden,49.811055,7.849103
Wohn- und Geschäftshaus,Kurhausstraße 1/3,Bad Münster am Stein-Ebernburg,1875!Ende des 19. Jahrhunderts,"zweiteiliges spätklassizistisches Wohn- und Geschäftshaus, Ende des 19. Jahrhunderts oder um 1900",Kein Bild vorhanden,49.81112,7.847377
Fachwerkhaus,Kurhausstraße 5,Bad Münster am Stein-Ebernburg,1600!17. oder 18. Jahrhundert,"barockes Fachwerkhaus, verputzt und verschiefert, 17. oder 18. Jahrhundert",Kein Bild vorhanden,49.811172,7.847766
Villa Schöneck,Kurhausstraße 14,Bad Münster am Stein-Ebernburg,1905!um 1905,"späthistoristischer Bau, teilweise Fachwerk, Jugendstileinfluss, um 1905",Kein Bild vorhanden,49.808563,7.84393
Bäder- und Kurmittelhaus,"Kurhausstraße, zu Nr. 25",Bad Münster am Stein-Ebernburg,1911,"zwei- bis dreigeschossige Fachwerkbauten, barockisierender Jugendstil, 1911, Architekt Robert Muehlbach, Freiburg, unter Mitarbeit von Ackermann",Kein Bild vorhanden,49.808892,7.848189
Salinenverwaltung,"Kurhausstraße, zu Nr. 25",Bad Münster am Stein-Ebernburg,1781,"ehemaliges Salinenverwaltungsgebäude; zweiteiliger spätbarocker Fachwerkbau, bezeichnet 1781",Kein Bild vorhanden,49.808578,7.847859
Wasserturm,"Kurhausstraße, zu Nr. 25",Bad Münster am Stein-Ebernburg,1875!Ende des 19. Jahrhunderts,"achteckige Fachwerkkonstruktion, wohl vom Ende des 19. Jahrhunderts",Kein Bild vorhanden,49.808569,7.848216
Villa,Kurhausstraße 41,Bad Münster am Stein-Ebernburg,1890!um 1890,"Villa, Mansarddachbau, Klinker, Neurenaissance, um 1890",Kein Bild vorhanden,49.80851,7.844332
Hotel Central,Lindenallee 3,Bad Münster am Stein-Ebernburg,1900!um 1900,"ehemaliges Hotel Central; dreigeschossiger spätgründerzeitlicher Bau, um 1900",Kein Bild vorhanden,49.812742,7.846652
Gasthaus,Lindenallee 11,Bad Münster am Stein-Ebernburg,1870!um 1870,"Gasthaus/Pension; spätklassizistischer Bau, um 1870",Kein Bild vorhanden,49.811638,7.847094
Fachwerkhaus,Nahestraße 10,Bad Münster am Stein-Ebernburg,1777,"Fachwerkhaus, 1777 (?), stark restauriert",Kein Bild vorhanden,49.811409,7.84854
