Denkmalzone Großstraße,"Großstraße 2–52, 1–57, Marumstraße 26, Marktplatz 2",Bad Sobernheim,1500!16. bis 19. Jahrhundert,"zwei- bis dreigeschossige Wohn- und Geschäftshäuser, teilweise Fachwerk, vor allem aus dem 16. bis 19. Jahrhundert",Kein Bild vorhanden,49.785458,7.649915
Denkmalzone Jüdischer Friedhof,nordöstlich der Stadt; Flur Aufm Judenkirchhof,Bad Sobernheim,1785!um 1785,um 1785 angelegtes Areal mit 140 Grabsteinen ab 1829; Ehrenmal von 1950 mit Kriegergedenktafel 1914/18[1],Kein Bild vorhanden,49.78701,7.663639
Denkmalzone Kurhaus Dhonau,südlich der Stadt,Bad Sobernheim,1907,"Heimatstilbauten, 1907 bis um 1930: „Kurhaus“, ehemaliges Wirtschaftsgebäude, um 1920; „Hermannshof“ mit Fachwerk und Laubengängen, vor 1920; Teehaus unweit der Nahe; „Haus Waldeck“, Villa 1907 (Anbau von 1958), „Haus Helge“, um 1930; Hausgruppe „Arngard“ (Lehmhalle und Badehaus); bauliche Gesamtanlage[2]",Kein Bild vorhanden,49.777027,7.656788
Stadtbefestigung,"",Bad Sobernheim,1330!nach 1330,"erbaut nach 1330, zerstört 1689, in veränderter Form wiederaufgebaut; erhaltenen Teile der Stadtmauer zwischen Kirchstraße 9 und 13, bei Kapellenstraße 5, hinter Poststraße 39 und 41, zwischen Großstraße 91 und Ringstraße 3, hinter Ringstraße 35 und 37, hinter Ringstraße 59 und 61, bei Wilhelmstraße 37, hinter Bahnhofstraße 24 und hinter Bahnhofstraße 2 und 4",Kein Bild vorhanden,49.783175,7.650279
Felke-Denkmal,Bahnhofstraße,Bad Sobernheim,1935,"Standfigur, Bronze, bezeichnet 1935",Kein Bild vorhanden,49.783051,7.650013
Bahnhof,Bahnhofstraße 1,Bad Sobernheim,1850!zweite Hälfte des 19. Jahrhunderts,"Sandsteinquaderbauten mit ein- bis zweigeschossigem Empfangsgebäude, Schieferwalmdächer, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.783203,7.650562
Wohn- und Geschäftshaus,Bahnhofstraße 4,Bad Sobernheim,1850!Mitte des 19. Jahrhunderts,"Wohn- und Geschäftshaus; spätklassizistischer Putzbau, Freitreppe mit Säulenaltan, Mitte des 19. Jahrhunderts, giebelbekrönter Anbau um 1910",Kein Bild vorhanden,49.784701,7.647848
Bankgebäude,Bahnhofstraße 21,Bad Sobernheim,1900,"ehemaliges Sparkassengebäude; späthistoristischer Hausteinbau, bezeichnet 1900",Kein Bild vorhanden,49.781237,7.648414
Stadtmühle,Dornbachstraße 20,Bad Sobernheim,1810,"einheitliche Gruppe von Wohn- und Wirtschaftsgebäuden, teilweise Fachwerk, Krüppelwalmdächer mit abgeschleppten Lüftungszonen, eines bezeichnet 1810; Mühlgraben, Wasserrad",Kein Bild vorhanden,49.7889,7.646144
Grabmäler,"Eckweiler Straße, auf dem Friedhof",Bad Sobernheim,1850!zweite Hälfte des 19. Jahrhunderts,"Gruppe von Grabmälern: in Form eines Eichenstumpfes, 1868; zwei weitere desselben Typs; gotisierende Stele, 1855; zwei klassizistische Grabsäulen, Mitte des 19. Jahrhunderts; Grabmal E. Felke, Granitblock mit Bronze-Bildnis, 1926 (?); Grabmal Familien Liegel und Schmitt, Schauwand, Jugendstil, um 1910; Grabmal J. Müller, galvanoplastischer Engel, schmiedeeiserne Einfriedung, um 1910; Grabmal Morian, antikische Stele, Urnen, 1898",Kein Bild vorhanden,49.779032,7.656768
Kleinmühle,Felkestraße ohne Nummer,Bad Sobernheim,1910!um 1910/20,"Mühlengebäude, Heimatstil, um 1910/20, daneben Bruchsteinbau, 19. Jahrhundert; Nahestraße 57 und Felkestraße 65: ursprünglich wohl zugehörige Häuslerwohnungen; wasserbauliche Anlagen",Kein Bild vorhanden,49.785196,7.648421
Wohnhaus,Großstraße 6,Bad Sobernheim,1850!Mitte des 19. Jahrhunderts,"spätklassizistisches Wohnhaus, teilweise Fachwerk, Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.785341,7.648713
Wohn- und Geschäftshaus,Großstraße 7,Bad Sobernheim,1700!18. Jahrhundert,"Wohn- und Geschäftshaus; barocker Fachwerkbau, teilweise massiv, im Kern aus dem 18. Jahrhundert",Kein Bild vorhanden,49.78525,7.648841
Fachwerkhaus,Großstraße 10,Bad Sobernheim,1800!erste Hälfte des 19. Jahrhunderts,"Fachwerkhaus, teilweise massiv, wohl aus der ersten Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.785468,7.64943
Wohn- und Geschäftshaus,Großstraße 19,Bad Sobernheim,1500!16. oder 17. Jahrhundert,"Wohn- und Geschäftshaus; Fachwerkbau, teilweise massiv, im Kern eventuell aus dem 16. oder 17. Jahrhundert",Kein Bild vorhanden,49.785499,7.650674
Wohn- und Geschäftshaus,Großstraße 35,Bad Sobernheim,1754,"Wohn- und Geschäftshaus; spätbarocker Fachwerkbau, teilweise massiv, bezeichnet 1754",Kein Bild vorhanden,49.785337,7.650652
Relief,"Großstraße, an Nr. 36",Bad Sobernheim,1700!18. Jahrhundert,"barockes Holzrelief, 18. Jahrhundert",Kein Bild vorhanden,49.785393,7.650779
Hofanlage,Großstraße 37,Bad Sobernheim,1700,"Hofanlage; Fachwerkhaus, teilweise massiv, im Kern barock, bezeichnet 1700, im frühen 19. Jahrhundert überformt, Torbogen bezeichnet 1772, Nebengebäude aus dem 18. Jahrhundert",Kein Bild vorhanden,49.785178,7.650833
Wohn- und Geschäftshaus,Großstraße 40,Bad Sobernheim,1500!16. oder 17. Jahrhundert,"Wohn- und Geschäftshaus, im Kern aus dem 16. oder 17. Jahrhundert, Treppenturm, Torbogen bezeichnet 1720, Fassade um 1820/30 klassizistisch überformt",Kein Bild vorhanden,49.784906,7.651513
Mikwe,"Großstraße, in Nr. 53",Bad Sobernheim,1850!nach 1850,"Mikwe, nach 1850",Kein Bild vorhanden,49.7849,7.651671
Russischer Hof,Großstraße 55/57,Bad Sobernheim,1597,"dreigeschossiger ehemaliger Adelshof, teilweise Fachwerk, Treppenturm, bezeichnet 1597",Kein Bild vorhanden,49.784762,7.652893
Gasthaus Deutsches Haus,Großstraße 67,Bad Sobernheim,1700!frühes 18. Jahrhundert,"langgestreckter barocker Fachwerkbau, teilweise massiv, frühes 18. Jahrhundert",Kein Bild vorhanden,49.784567,7.654474
Wohnhaus,Großstraße 88,Bad Sobernheim,1750!Mitte des 18. Jahrhunderts,"Wohnhaus; spätbarocker Mansardwalmdachbau, Mitte des 18. Jahrhunderts",Kein Bild vorhanden,49.785989,7.650285
Synagoge,Gymnasialstraße 9,Bad Sobernheim,1859,"ehemalige Synagoge; spätklassizistischer Walmdachbau, Sandsteinquader, bezeichnet 1859",Kein Bild vorhanden,49.786362,7.650532
Schulhaus,Gymnasialstraße 11,Bad Sobernheim,1911!1911/12,"ehemalige Realschule; zweiflügeliger neubarocker Mansardwalmdachbau, 1911/12, Architekt Friedrich Otto, Kirn",Kein Bild vorhanden,49.78653,7.650671
Deutschordenskomturei,Gymnasialstraße 13,Bad Sobernheim,1750,"jetzt Amtsgericht; spätbarocker Walmdachbau, bezeichnet 1750",Kein Bild vorhanden,49.786262,7.651971
Katholisches Pfarrhaus,Herrenstraße 16,Bad Sobernheim,1748,"barocker Putzbau, bezeichnet 1748",Kein Bild vorhanden,49.786474,7.652372
Katholische Pfarrkirche St. Matthäus,Herrenstraße 18,Bad Sobernheim,1898!1898/1900,"neuspätgotische Hallenkirche, 1898/1900, Architekt Ludwig Becker, Mainz; an der Kirchhofmauer gusseiserne reliefierte Ofenplatten und barocke Figur des heiligen Johannes Nepomuk, 18. Jahrhundert",Kein Bild vorhanden,49.787281,7.651498
Treppenturm,"Herrenstraße, an Nr. 24",Bad Sobernheim,1600!um 1600,"Renaissance-Treppenturm, um 1600",Kein Bild vorhanden,49.783592,7.651948
Kriegerdenkmal,Igelsbachstraße,Bad Sobernheim,1936,"Kriegerdenkmal 1914/18, Soldat, Bronze, Sandsteinstelen, 1936, Bildhauer Emil Cauer der Jüngere",Kein Bild vorhanden,49.783649,7.652181
Evangelische Pfarrkirche,Igelsbachstraße 7,Bad Sobernheim,1400!um 1400,"spätgotische Hallenkirche, Westturm um 1500 von Peter Ruben, Meisenheim, Langhaus 1482–84, Chor um 1400, gegen 1500 umgebaut, romanischer Turm",Kein Bild vorhanden,49.783494,7.652445
Grabmäler,"Igelsbachstraße, bei Nr. 7 auf dem Kirchhof",Bad Sobernheim,1800!19. Jahrhundert,Grabmäler des 19. Jahrhunderts,Kein Bild vorhanden,49.783839,7.651633
Ehemhof,Igelsbachstraße 8,Bad Sobernheim,1589,"ehemaliger Adelshof; dreigeschossiger Bauteil mit Treppenturm, bezeichnet 1589, zweigeschossiger barocker Bauteil mit Torfahrt, 18. Jahrhundert",Kein Bild vorhanden,49.783567,7.65164
Evangelisches Pfarrhaus,Igelsbachstraße 14,Bad Sobernheim,1700!18. Jahrhundert,"zweiteiliger Barockbau, 18. Jahrhundert, im späten 19. Jahrhundert erweitert; Gedenktafel für Wilhelm Oertel",Kein Bild vorhanden,49.783696,7.654584
ehemalige Disibodenberger Kapelle,Kapellenstraße 5,Bad Sobernheim,1401!1401 ff.,"spätgotischer gewölbter Bau, 1401 ff., 1566 Umbau zum Speicherhaus, Gewölbekeller",Kein Bild vorhanden,49.783932,7.65259
Kriegerdenkmal,Kirchstraße,Bad Sobernheim,1871!nach 1871,"Kriegerdenkmal 1870/71, Säule mit Adler, nach 1871",Kein Bild vorhanden,49.783912,7.652987
Wohnhaus,Kirchstraße 7,Bad Sobernheim,1500!16. Jahrhundert,"Wohnhaus, Architekturteil, im Kern aus dem 16. Jahrhundert, rückwärtig erweitert, Mitte des 19. Jahrhunderts spätklassizistisch überformt; im Nordgiebel Renaissancefenster, 16. Jahrhundert",Kein Bild vorhanden,49.785556,7.650909
Malteserhof,Kleine Kirchstraße 2,Bad Sobernheim,1722,"barocker Mansardwalmdachbau; Torbogen mit Wappenstein, bezeichnet 1722; mit Saarstraße 30 der ehemalige Malteserhof; Scheune mit Torbogen, 16. Jahrhundert (?)",Kein Bild vorhanden,49.784508,7.648966
Evangelische Philippskirche und Kaisersaal,Kreuzstraße 7,Bad Sobernheim,1737–41,"barocker Bruchsteinbau, 1737–41, 1901 Umbau zur Gaststätte, 1905 Anbau des neubarocken Kaisersaals, Architekt Friedrich Otto, Kirn; zur Umgebung gehörig Mansarddachbau Kreuzstraße 9",Kein Bild vorhanden,49.786282,7.651237
Katholische Malteserkapelle,Malteser Straße 9,Bad Sobernheim,1426!um 1426,"spätgotische Kapelle der ehemaligen Johanniterkommende, um 1426 bis um 1465, Langhaus 1671 wiederhergestellt",Kein Bild vorhanden,49.784731,7.651838
Skulptur,"Marktplatz, an Nr. 2",Bad Sobernheim,1700!18. Jahrhundert,"Madonna, Barock, 18. Jahrhundert",Kein Bild vorhanden,49.784491,7.651894
Wohn- und Geschäftshaus,Marktplatz 6,Bad Sobernheim,1500!16. Jahrhundert,"Wohn- und Geschäftshaus; dreigeschossiger spätgotischer Fachwerkbau, teilweise massiv, wohl aus dem 16. Jahrhundert",Kein Bild vorhanden,49.784166,7.652289
Wohn- und Geschäftshaus,Marktplatz 9,Bad Sobernheim,1750!Mitte des 18. Jahrhunderts,"Wohn- und Geschäftshaus; spätbarocker Mansardwalmdachbau, Mitte des 18. Jahrhunderts",Kein Bild vorhanden,49.784125,7.652002
Rathaus,Marktplatz 11,Bad Sobernheim,1861!1861–63,"repräsentativer neuspätgotischer Hausteinbau, 1861–63, Architekt Peters, Bad Kreuznach; Glockenturm und zwei spätklassizistische Anbauten, 1860er Jahre",Kein Bild vorhanden,49.781602,7.644503
Villa,Meddersheimer Straße 37,Bad Sobernheim,1893,"neubarocke Villa, bezeichnet 1893, gartenseitig erweitert um 1910/20",Kein Bild vorhanden,49.781676,7.642984
Villa,Meddersheimer Straße 42,Bad Sobernheim,1890,"Villa; zweieinhalbgeschossiger spätgründerzeitlicher Klinkerbau, Renaissancemotive, bezeichnet 1890",Kein Bild vorhanden,49.782888,7.651879
Villa,Poststraße 5,Bad Sobernheim,1894,"Villa; spätgründerzeitlicher zweieinhalbgeschossiger Walmdachbau, Neurenaissancemotive, Sandstein und Klinker, bezeichnet 1894",Kein Bild vorhanden,49.782871,7.652262
Villa,Poststraße 7,Bad Sobernheim,1890!um 1890,"Villa; spätgründerzeitlicher Klinkerbau, Renaissancemotive, um 1890",Kein Bild vorhanden,49.782848,7.653011
Wohnhaus,Poststraße 11,Bad Sobernheim,1900!um 1900,"zweieinhalbgeschossiger Massivbau, teilweise Fachwerk, um 1900",Kein Bild vorhanden,49.782935,7.655339
Verwaltungsgebäude,Poststraße 26,Bad Sobernheim,1900!um 1900,"ehemaliges städtisches Elektrizitätswerk; Verwaltungsgebäude; villenartiger spätgründerzeitlicher Klinkerbau, um 1900",Kein Bild vorhanden,49.783446,7.655692
Villa,Poststraße 30,Bad Sobernheim,1914,"Villa; eingeschossiger Mansarddachbau, Heimatstil, 1914",Kein Bild vorhanden,49.783615,7.655286
Villa,Poststraße 31,Bad Sobernheim,1910!um 1910,"Villa; Heimatstil, um 1910",Kein Bild vorhanden,49.785468,7.653541
Priorhof,Priorhofstraße 16/18,Bad Sobernheim,1572,"Renaissancebau mit Treppenturm, bezeichnet 1572, Erker bezeichnet 1609, Torbogen 16. oder 17. Jahrhundert, Anbau mit Kellerbogen und barockem Relief",//commons.wikimedia.org/wiki/Category:Alteburg_tower,49.78737,7.653967
Krankenhaus,Ringstraße 36,Bad Sobernheim,1893,"ehemaliges Krankenhaus; dreieinhalbgeschossiger villenartiger neugotischer Bruchsteinbau, bezeichnet 1893, Wirtschaftsgebäude",Kein Bild vorhanden,49.785405,7.65197
Wohnhaus,Saarstraße 17,Bad Sobernheim,1500!16. oder 17. Jahrhundert,"Fachwerk-Wohnhaus, 16. oder 17. Jahrhundert",//commons.wikimedia.org/wiki/Category:Utsch-Denkmal_(Bad_Sobernheim),49.785607,7.651343
Malteserhof,Saarstraße 30,Bad Sobernheim,1723,"barocker Mansardwalmdachbau, Torbogen, Oberlichtportal bezeichnet 1723; mit Kleine Kirchstraße 2 durch Torbogen verbunden",Kein Bild vorhanden,49.784984,7.657694
Villa,Staudernheimer Straße 13,Bad Sobernheim,1920!um 1920,"Villa; barockisierender Walmdachbau, um 1920; städtebaulicher Blickpunkt",Kein Bild vorhanden,49.784861,7.657226
Meilenstein,"Staudernheimer Straße, bei Nr. 14",Bad Sobernheim,1800!19. Jahrhundert,"preußischer Ganzmeilenstein; Sandstein-Obelisk, 19. Jahrhundert",Kein Bild vorhanden,49.785007,7.655535
Wohnhaus,Steinhardter Straße 1/3,Bad Sobernheim,1870!um 1870,"gründerzeitliches Doppelwohnhaus; Mansardwalmdachbau mit spätklassizistischen Elementen, um 1870",Kein Bild vorhanden,49.785084,7.65618
