,,,,,,,,
Denkmalzone 1920er-Jahre-Siedlung Gustav-Pfarrius-Straße,"Gustav-Pfarrius-Straße 14–30 (gerade Nummern), 17–37 (ungerade Nummern), Ringstraße 102–110 (gerade Nummern), Jean-Winckler-Straße 2–20 (gerade Nummern), Röntgenstraße 20–24 (gerade Nummern), 25–35 (ungerade Nummern)",der Kernstadt von Bad Kreuznach,1925!1925/26,"seit 1897 erstellter Gebäudekomplex im Park, gotisierende Sandstein- und Backsteinbauten (erster Bauabschnitt), Architekt Friedrich Langenbach, Barmen; 1912-54 angepasste Ergänzungsbauten, Architekt Willibald Hamburger[2]",Kein Bild vorhanden,nope,nope,
Denkmalzone Evangelische Diakonieanstalten,"Ringstraße 58, Graf-Friedrich-Straße 15, Waldemarstraße 24",der Kernstadt von Bad Kreuznach,1897!ab 1897,"1827 angelegtes, seit 1918 mehrfach erweitertes, in Rechteckparzellen geteiltes Areal mit eigens umfriedeten Ehrenfriedhöfen und besonderen Gedenkstätten; alte Friedhofskapelle, historisierender Achteckbau, nach 1843; Puricellikapelle, neugotischer Rotsandsteinquaderbau mit bauzeitlicher Ausstattung, 1895, Architekt Ludwig Becker; zahlreiche Grabmäler, teilweise von der Bildhauerfamilie Cauer gestaltet, zweite Hälfte des 19. und erste Hälfte des 20. Jahrhunderts",Kein Bild vorhanden,49.838782,7.867861,
Denkmalzone Friedhof,Mannheimer Straße,der Kernstadt von Bad Kreuznach,1827,"villenartige historisierende Putzbauten, überwiegend mit Walm-, teilweise mit Mansarddächern, Teil der Stadterweiterung am Kuhberg aus der Mitte der 1920er Jahre[3]",Kein Bild vorhanden,49.836252,7.862387,
Denkmalzone Goethestraße,"Goethestraße 1–7, 9, Bühler Weg 8, 10, 12, Röntgenstraße 2/4, 6, 8, Pestalozzistraße 3–9, Waldemarstraße 21, 23, 25, 27",der Kernstadt von Bad Kreuznach,1925!Mitte der 1920er Jahre,"fünf kunststeingegliederte Walmdachbauten, 1925/26, Architekt Johann Au, als Wohnungsbauten für Unteroffiziere erbaut[4]",Kein Bild vorhanden,49.836481,7.872948,
Denkmalzone Gustav-Pfarrius-Straße/Lina-Hilger-Straße,"Gustav-Pfarrius-Straße 1/3, 5, 7, Lina-Hilgerstraße 1, 3/5 und Bosenheimer Straße 6 und 8",der Kernstadt von Bad Kreuznach,1925!1925/26,"1661 angelegtes, 1919 erweitertes trichterförmiges Areal; auf dem nördlichen, ältesten Teil zahlreiche, meist barocke Sandsteinplatten, auf dem schmalen Gräberfeld südlich der Leichenhalle (Mitte des 19. Jahrhunderts, 1894 erweitert) Sandsteinplatten des 19. Jahrhunderts; neubarocke Marmortafel der zerstörten Synagoge[5]",Kein Bild vorhanden,49.836225,7.867784,
Denkmalzone Jüdischer Friedhof,Stromberger Straße,der Kernstadt von Bad Kreuznach,1661,"sechs dreigeschossige Mietshäuser, Klinkerbauten, Neurenaissance, 1893 ff., Architekten Gebrüder Lang; straßenbildprägend[6]",//commons.wikimedia.org/wiki/Category:Rose_Barracks_Bad_Kreuznach,49.840573,7.866153,
Denkmalzone Jungstraße,"Jungstraße 6, 8, 10, 12, 14, 16",der Kernstadt von Bad Kreuznach,1893!1893 ff.,"symmetrisch um einen Grünhof verteilter Gebäudekomplex mit repräsentativen dreigeschossigen Heimatstilbauten, 1932 ff.",Kein Bild vorhanden,49.853405,7.859582,
Denkmalzone Kasernen,Alzeyer Straße,der Kernstadt von Bad Kreuznach,1932!1932 ff.,"nach Entdeckung der Heilkraft des Solewassers durch Dr. Eberhard Prieger 1817 nach systematischen städtischen Planungen in mehreren Abschnitten bebaut in offener Bauweise hinter Vorgärten mit Alleen: Badeinsel und nördliches Kurviertel bis Weinkauffstraße ab 1840 bzw. 1847, südlich anschließendes Gebiet ab 1900, sogenanntes erweitertes Kurgebiet südöstlich der Salinenstraße ab 1880; zahlreiche Einzeldenkmäler wie Kurhaus (1840–60), vierflügeliges Bäderhaus (1911/12), private Badehäuser (spätklassizistisch und Neurenaissance), vor allem von der Bildhauerfamilie Cauer geschaffene Denkmäler und Bronzefiguren, Salinen (Karlshalle, Theodorshalle); im Süden spitz auslaufendes Areal, im Osten begrenzt von der Bahnlinie, im Norden von Baumstraße/Salinenstraße/Schloßstraße, dem Mühlenteich und der Alten Nahebrücke, im Westen mit einem Uferstreifen jenseits der Nahe abschließend",Kein Bild vorhanden,49.839959,7.860962,
Denkmalzone Kurgebiet,südwestlich des Stadtkerns,der Kernstadt von Bad Kreuznach,1817!ab 1817,"ab 1840 angelegter Englischer Garten mit altem Baubestand; darin Kurhaus (siehe Kurhausstraße 28), davor runder Musikpavillon, Bronzefigur des „Traubenmädchens“, Hanna Cauer, 1950; auf der Südspitze Elisabethenquelle: offene Trinkhalle über Quelle mit flankierenden Freitreppen und Plattform, 1880er Jahre",Kein Bild vorhanden,49.839604,7.874624,
Denkmalzone Kurpark,Kurhausstraße,der Kernstadt von Bad Kreuznach,1840!ab 1840,"Mietshäuser, Neurenaissance- und Jugendstilmotive, 1904, Architekt August Henke & Sohn[7]",Kein Bild vorhanden,49.833655,7.849849,
Denkmalzone Mathildenstraße,"Mathildenstraße 4, 6, 8, 10",der Kernstadt von Bad Kreuznach,1904,"spiegelgleiche eingeschossige Doppelwohnhäuser mit Walmdächern, in Vorgärten, 1927/28, Architekt Martin Au",Kein Bild vorhanden,49.840335,7.853425,
Denkmalzone Neufelder Weg,"Neufelder Weg 9/11, 13/15, 17/19",der Kernstadt von Bad Kreuznach,1927!1927/28,"historisch gewachsene Bebauung im von den Grafen von Sponheim nach 1200 gegründeten Stadtteil nördlich der Nahe einschließlich des Ellerbachs: spätmittelalterliche St. Nikolauskirche, Keller und Erd-, teilweise auch Obergeschosse, mit späteren Aufstockungen ehemaliger Burg- und Adelshäuser des 16. und 17. Jahrhunderts sowie der Stadtschreiberei von 1540, Fachwerkhäuser des 18. Jahrhunderts mit klassizistischen und Neurenaissancefassaden des 19. Jahrhunderts und historisierende Wilhelmsbrücke mit Türmen von 1906",Kein Bild vorhanden,49.844715,7.864689,
Denkmalzone Neustadt,nördlich des Stadtkerns,der Kernstadt von Bad Kreuznach,1200!nach 1200,"in zwei Bauabschnitten erstellte zeittypische Siedlungsbauten mit Vorgärten und Hofflächen; drei variierte Typenbauten mit historisierenden und Heimatstilmotiven, 1926/27, Architekt Jean Rheinstädter; blockhafte, ornamental gegliederte, größere Siedlungsbauten, 1929/30, Architekt Martin Au",Kein Bild vorhanden,49.834075,7.870363,
Denkmalzone Obere Flotz,"Obere Flotz 4, 6–29, Mittlerer Flurweg 27, 34, Waldemarstraße 51",der Kernstadt von Bad Kreuznach,1926!1926–30,"nahezu quadratischer Park zwischen Kaiser-Wilhelm-, Salinen-, Oranien- und Weinkauffstraße; 1934 in zwei Terrassen angelegt: obere Terrasse in Formen französischen Barocks, untere Terrasse als Landschaftspark; ehemaliger Wasserturm, klassizistischer Putzbau, um 1830; Kriegerdenkmal 1870/71, korinthische Säule mit Rundschild; Bronzefigur einer „Schwebenden Göttin“, H. Cauer, 1939",Kein Bild vorhanden,49.846986,7.855877,
Denkmalzone Oranienpark,Oranienstraße/Salinenstraße,der Kernstadt von Bad Kreuznach,1934,"Kleinsiedlung zweieinhalb- und dreieinhalbgeschossiger Mehrfamilienhäuser, Backsteinbauten mit Giebelrisaliten, 1880–95, Architekt Johann Au",Kein Bild vorhanden,49.832535,7.870247,
Denkmalzone Planiger Straße,"Planiger Straße 69, 71/73, 75/77",der Kernstadt von Bad Kreuznach,1880!1880–95,"zwei Gruppen zweieinhalbgeschossiger Wohnhäuser, 1898/99, Architekten Philipp und Jean Hassinger, zweifarbige Backsteinbauten auf Porphyrsockel[8]",//commons.wikimedia.org/wiki/Category:Roemerhalle_Bad_Kreuznach,49.837494,7.853078,
Denkmalzone Ringstraße,Ringstraße 82/84/86 und 88/90/92,der Kernstadt von Bad Kreuznach,1898!1898/99,"städtische Siedlung; um einen Innenhof gruppierte Flachdachbauten, 1927/28, Architekt Stadtbaurat Hugo Völker[9]",Kein Bild vorhanden,49.84699,7.869616,
Denkmalzone Rolandsbogen,Bosenheimer Straße 200,der Kernstadt von Bad Kreuznach,1927!1927/28,"kurbezogene Grünanlage am Ufer der Nahe längs der Priegerpromenade; Pavillon über der stillgelegten Oranienquelle, 1916; sogenanntes Milchhäuschen, zinnenbewehrtes Türmchen, 19. Jahrhundert; Bismarckdenkmal, Hugo Cauer, 1897 (nach 1945 vom Kornmarkt versetzt); sogenannte „Durstgruppe“, Ludwig Cauer, 1892",Kein Bild vorhanden,49.838263,7.865251,
Denkmalzone Roseninsel,Priegerpromenade,der Kernstadt von Bad Kreuznach,1800!19. Jahrhundert,"Reste der römischen Palastvilla, Puricelli-Schloss mit Park und ehemaligem Hofgut[10]",Kein Bild vorhanden,49.845741,7.883537,
Denkmalzone Schlossparkmuseum-Römervilla,"Dessauer Straße 49 und 51, Hüffelsheimer Straße 1, 3, 5",der Kernstadt von Bad Kreuznach,0200!spätes 2. Jahrhundert,"Wohnsiedlung für Arbeiter, Handwerker und Angestellte; Doppelhäuser und zu Wohneinheiten zusammengeschlossene Zeilenbauten mit Walm- oder Satteldächern in Gärten, teilweise mit Eckerkern oder Vorbauten, 1924-27 unter Leitung von Stadtbaurat Hugo Völker",Kein Bild vorhanden,49.833102,7.849641,
Denkmalzone Schöne Aussicht,"Schöne Aussicht 1–25 (ungerade Nummern), 10–16 (gerade Nummern), Dr.-Geisenheyner Straße 1, 3, 5, 2–12 (gerade Nummern) und Winzenheimer Straße 23 und 25",der Kernstadt von Bad Kreuznach,1924!1924-27,"Traufenhäuser mit giebelständigen Kopfbauten, Art-déco-Motive, 1921/22, Architekt Paul Gans[11]",Kein Bild vorhanden,49.8468,7.849351,
Denkmalzone Siebenhäusergruppe Salinenstraße,"Salinenstraße 119, 121, 123, 125, 127, 129, 131",der Kernstadt von Bad Kreuznach,1921!1921/22,"unterschiedlich dimensionierte, formal gleiche Walmdachbauten mit Vorgärten, 1928/29, Architekt Paul Gans, an der Nordwestecke die anspruchsvolleren, kurz zuvor erbauten Häuser Rheinstraße 102 und Birkenweg 1",Kein Bild vorhanden,49.852955,7.860446,
Denkmalzone Siedlung Herlesweiden,"Herlesweiden 1–14, Birkenweg 1–27 (ungerade Nummern), Erlenweg 2, 4, 6, 7–14, Ulmenweg 1–16, Alzeyer Straße 108–138 (gerade Nummern), Pfalzstraße 13–35 (ungerade Nummern), Rheinstraße 38, 38a, 40–46 (gerade Nummern)[12]",der Kernstadt von Bad Kreuznach,1928!1928/29,"Siedlung für Offiziere der französischen Besatzung; fünf symmetrisch um eine Grünfläche angeordnete Doppel- und zwei Einzelhäuser, kunststeingegliederte Walmdachbauten, Eingangsrisalite mit Art-Déco-Motiven, Gärten, 1912, Architekt Wilhelm Koban, Darmstadt[13]",Kein Bild vorhanden,49.832159,7.851247,
Denkmalzone Siedlung Oligsberg,"Oligsberg 5, 6, 11/12, Mittlerer Flurweg 10/12, 14/16, Waldemarstraße 29/31, 33/35",der Kernstadt von Bad Kreuznach,1912,"ehemalige Landes-Lehr- und Versuchsanstalt für Weinbau, Gartenbau und Landwirtschaft, jetzt Staatsweingut und Dienstleistungszentrum Ländlicher Raum; Nr. 68 Backsteinbau mit Mansardwalmdach, Neurenaissancemotive, 1900, im Garten Kriegerdenkmal 1914/18; zeit- und stilgleiches Kellereigebäude; Pack- und Versandhaus, um 1920; Nr. 62 Klinkerbau, 1896; Nr. 60 barockisierender Mansarddachbau, 1910/11[14]",//commons.wikimedia.org/wiki/Category:Ehrenfriedhof_Bad_Kreuznach,49.835031,7.876766,
Denkmalzone Staatliche Lehr- und Versuchsanstalt Bad Kreuznach,Rüdesheimer Straße 60–68 (gerade Nummern),der Kernstadt von Bad Kreuznach,1900,"halbkreisförmige Bauanlage mit Gärten, mittig zweigeschossiger Zwerchhausgiebel, Kopfbauten mit polygonalen Erkern, 1924 ff., Architekt Hugo Völker[15]",Kein Bild vorhanden,49.83444,7.868423,
Denkmalzone Völkerring,Rüdesheimer Straße 95–127 (ungerade Nummern),der Kernstadt von Bad Kreuznach,1924!1924 ff.,"Wohnhaus, teilweise Fachwerk, abgewalmtes Mansarddach, Wagenhalle, Stall- und Wirtschaftsgebäude, um 1800[16]",Kein Bild vorhanden,49.848946,7.846113,
Denkmalzone Gutleuthof,nordwestlich der Stadt (Hargesheimer Landstraße),der Kernstadt von Bad Kreuznach,1800!um 1800,"für Gefallene des Zweiten Weltkriegs im Auftrag des Volksbundes Deutsche Kriegsgräberfürsorge e. V.; Schiefer-Umfassungsmauer mit offener Eingangshalle, klassizistische und Heimatstil-Motive, 1952/53, Architekt Robert Tischler, München, auf parkartig angelegtem Gräberfeld gedrungene Sandsteinkreuze",Kein Bild vorhanden,49.848014,7.837444,
Denkmalzone Ehrenfriedhof,westlich der Stadt im Lohrer Wald,der Kernstadt von Bad Kreuznach,1952!1952/53,"die Stadtbefestigung besteht aus drei geschlossenen Mauersystemen um Burgfrieden, Neustadt und Altstadt mit vorgelagerten Gräben, Mauer- und Tortürmen, 1247 erstmals erwähnt, 1689 zerstört, im 18. Jahrhundert repariert, Ende des 18. Jahrhunderts die Gräben zugeschüttet, seit etwa 1840 Mauern geschleift oder in Neubauten integriert; von der im 17. Jahrhundert zerstörten Kauzenburg des frühen 13. Jahrhunderts Mauerfragmente erhalten; Ausbau, 1971 von Gottfried Böhm; von der Befestigung des Burgfriedens erhalten: abgetreppte Mauer bis zum Fundament des „Klappertorturms“, Mauerstück mit später angefügtem Halbturm bis zum „Stumpfen Turm“ („Pfeffermühlchen“) sowie die teilweise das Ufer der Nahe bildende Mauer, heute teilweise überbaut; von der Ringmauer um die Neustadt mit ehemals sieben Türmen und drei Toren erhalten: „Butterfass“ und Mauerstück mit Wehrgang, Fundamentreste des „Winzenheimer Turms“, Mauerstück der „Schanz“ mit Graben, weitere Reste der Befestigung in den im 19. Jahrhundert gegen sie gebauten Häusern, ein Wassertor („Fischerpforte“) sowie „Große Pforte“ (heute zugemauert); von der Altstadtbefestigung mit ehemals 13 Türmen, drei Toren und „Peterspförtchen“ erhalten: Mauerreste entlang des Mühlenteichs, doppeltes Wassertor (nahe Wilhelmstraße) und Ansatz des Pulverturms, an der Mehlwaage ein Bogenansatz sowie ein großes Stück Mauer im Garten des ehemaligen Franziskanerklosters (heute Gymnasium)",Kein Bild vorhanden,49.85017,7.826203,
Stadtbefestigung,,der Kernstadt von Bad Kreuznach,1247!vor 1247,"herrschaftliche Walmdach-Villa, 1925/26, Architekt Alexander Ackermann",Kein Bild vorhanden,49.840359,7.828006,
Villa,Agricolastraße 1,der Kernstadt von Bad Kreuznach,1925!1925/26,"anspruchsvolle kubische Walmdach-Villa, Art Déco, 1925/26, Architekt Alexander Ackermann",Kein Bild vorhanden,49.83595,7.852777,
Villa,Agricolastraße 6,der Kernstadt von Bad Kreuznach,1925!1925/26,"villenartiger Walmdachbau, 1921/22, Architekt Vorbius",Kein Bild vorhanden,49.835679,7.85295,
Wohnhaus,Agricolastraße 7,der Kernstadt von Bad Kreuznach,1921!1921/22,"eingeschossige Villa mit Fachwerkgiebeln, Neurenaissancemotive, 1904/05, Architekt Friedrich Metzger",Kein Bild vorhanden,49.835878,7.853181,
Villa,Albrechtstraße 18,der Kernstadt von Bad Kreuznach,1904!1904/05,"Mansardwalmdach-Villa, Neurenaissance- und neubarocke Motive, 1901/02, Architekt Friedrich Metzger",Kein Bild vorhanden,49.836897,7.856063,
Villa,Albrechtstraße 20,der Kernstadt von Bad Kreuznach,1901!1901/02,"villenartiges Wohnhaus mit Mansarddach, Neurenaissance- und neubarocke Motive, 1902/03, Architekt Friedrich Metzger",Kein Bild vorhanden,49.8367,7.856332,
