Denkmalzone Jüdischer Friedhof,südwestlich des Ortes; Flur Vor den Kirchenäckern,Becherbach bei Kirn,1881,Areal mit 21 Grabsteinen von 1881 bis 1938[1],Kein Bild vorhanden,49.737841,7.491754
Fachwerkhaus,Hauptstraße 23,Becherbach bei Kirn,1700!18. Jahrhundert,"Fachwerkhaus, im Kern wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,49.741036,7.499816
Evangelisches Pfarrhaus,Im Winkel 1,Becherbach bei Kirn,1749,"ehemaliges evangelisches Pfarrhaus; barocker Fachwerkbau, bezeichnet 1749",Kein Bild vorhanden,49.740242,7.500398
Wohnhaus,Im Winkel 2,Becherbach bei Kirn,1500!16. Jahrhundert,"ehemalige Schule; teilweise Fachwerk, bezeichnet 1755, im Kern wohl aus dem 16. Jahrhundert",Kein Bild vorhanden,49.740179,7.499925
Evangelische Pfarrkirche,Kirchstraße,Becherbach bei Kirn,1783!1783–86,"frühklassizistischer Saalbau, 1783–86, Landbauinspektor Lindemann, Westturm im Kern romanisch, 1837 erhöht",Kein Bild vorhanden,49.740393,7.499801
Katholische Kirche,Neue Straße,Becherbach bei Kirn,1893,"neugotischer Saalbau, Ziegelmauerwerk, 1893",Kein Bild vorhanden,49.740152,7.504441
Schmiede,Oberdorfstraße 1,Becherbach bei Kirn,1850!zweite Hälfte des 19. Jahrhunderts,"ehemalige Schmiede; Fachwerkkniestock, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.74086,7.499684
Wohnhaus,Oberdorfstraße 5,Becherbach bei Kirn,1820,"ehemalige Schule; einfirsthausartiger Fachwerkbau, 1820",Kein Bild vorhanden,49.740415,7.499052
Haus Hettwer,Oberdorfstraße 14,Becherbach bei Kirn,1597,"ehemaliges Zehnthaus, jetzt Wohnhaus; Renaissancebau, Schweifknickgiebel, bezeichnet 1597",Kein Bild vorhanden,49.740006,7.498038
Wasserbehälter,"Sachsenhausen, gegenüber Nr. 13 im Wald",Becherbach bei Kirn,1899,"Wasserbehälter aus roten Backsteinen mit Sandsteinabschluss, Eisentür bezeichnet „1899 C. Hiller“",Kein Bild vorhanden,49.742887,7.502855
Kindergarten,Schulstraße,Becherbach bei Kirn,1911,"ehemalige Schule; Walmdachbau, teilweise verschiefertes Fachwerk, Heimatstil, 1911",Kein Bild vorhanden,49.742062,7.50175
Denkmal,an der L 182,Becherbach bei Kirn,1920!1920er/30er Jahre,"Findling, wohl aus den 1920er/30er Jahren",,nope,nope
