Altes Schulhaus,Friedhofsweg 1,Bosenheim,1897,"eingeschossiger Putzbau, 1897",Kein Bild vorhanden,49.84321,7.915085
Hofanlage,Hackenheimer Straße 2,Bosenheim,1567,"Dreiseithof; Wohnhaus, teilweise Fachwerk, 1929 und älter, Scheunensturz bezeichnet 1567; ortsbildprägend",Kein Bild vorhanden,49.844829,7.913432
Schulhaus,Hackenheimer Straße 6,Bosenheim,1909,"repräsentativer Walmdachbau, 1909",Kein Bild vorhanden,49.843422,7.914718
Evangelisches Pfarrhaus,Karl-Sack-Straße 2,Bosenheim,1875!Ende des 19. Jahrhunderts,"historisierender Putzbau, Ende des 19. Jahrhunderts; straßenbildprägend",Kein Bild vorhanden,49.844755,7.913012
Wohnhaus,Karl-Sack-Straße 3,Bosenheim,1617,"Renaissancebau, teilweise Fachwerk (verputzt), bezeichnet 1617",Kein Bild vorhanden,49.844916,7.913312
Evangelische Pfarrkirche,Karl-Sack-Straße 4,Bosenheim,1300!14. Jahrhundert,"Chor aus dem 14. Jahrhundert, Saalbau mit Dachreiter, 1744; straßenbildprägend",Kein Bild vorhanden,49.844654,7.912637
Weingut Görz,Parkstraße 2,Bosenheim,1826,"Gutshof der Weinbauernfamilie Görz; Hakenhof: Wohntrakt mit Scheune, eingeschossiger Bruchsteinbau, 1826, Verwalterhaus, teilweise verschindelt, 1927",Kein Bild vorhanden,49.844018,7.914474
Hofanlage,Rheinhessenstraße 35,Bosenheim,1835,"Dreiseithof; Wohnhaus, teilweise Fachwerk (verputzt), bezeichnet 1835",Kein Bild vorhanden,49.845863,7.911913
Wohnhaus,Rheinhessenstraße 43,Bosenheim,1700!18. Jahrhundert,"barocker Krüppelwalmdachbau, teilweise Fachwerk (verputzt), 18. Jahrhundert",Kein Bild vorhanden,49.845458,7.912648
Wohnhaus,Rheinhessenstraße 54,Bosenheim,1587,"Wohnhaus, teilweise Fachwerk, Renaissance-Doppelfenster, bezeichnet 1587",Kein Bild vorhanden,49.845673,7.911967
Wohnhaus,Rheinhessenstraße 58,Bosenheim,1700!18. Jahrhundert,"barockes Wohnhaus, teilweise Fachwerk, 18. Jahrhundert",Kein Bild vorhanden,49.845302,7.912862
Hofanlage,Rheinhessenstraße 65,Bosenheim,1775!spätes 18. Jahrhundert,"Dreiseithof, im Kern wohl aus dem späten 18. Jahrhundert; Scheune und Wohnhaus, teilweise Fachwerk, Stallgebäude",Kein Bild vorhanden,49.845139,7.915086
Rathaus,Rheinhessenstraße 68,Bosenheim,1732,"Krüppelwalmdachbau, 1732, Erweiterung bezeichnet 1937",Kein Bild vorhanden,49.84497,7.914252
Wohnhaus,Rheinhessenstraße 78,Bosenheim,1700!18. Jahrhundert,"Wohnhaus, teilweise Fachwerk, 18. Jahrhundert",,49.844978,7.915443
