Denkmalzone Jüdischer Friedhof,südlich des Ortes; Flur In der Johanneshohl,Bretzenheim,1863,Grabsteine von 1863 bis 1932[1],Kein Bild vorhanden,49.865895,7.885953
Hofanlage,Binger Straße 5,Bretzenheim,1761,"Hakenhof, bezeichnet 1761; Fachwerkhaus, verputzt, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,49.878876,7.9
Hofanlage,Binger Straße 11,Bretzenheim,1600!17. Jahrhundert,"Dreiseithof; barockes Fachwerkhaus, teilweise massiv, 17. Jahrhundert, Torbogen bezeichnet 1754, Scheune 1780; Grenzstein, Basalt, bezeichnet 1677",Kein Bild vorhanden,49.879052,7.899265
Grenzstein,"Gartenstraße, Ecke Mühlenstraße",Bretzenheim,1700!18. Jahrhundert,"Grenzstein, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,49.878501,7.902893
Amtshaus,Große Straße 12,Bretzenheim,1592,"ehemaliges Amtshaus; Renaissancebau, achteckiger Treppenturm, bezeichnet 1592; Grenzstein des Erzstiftes Köln",Kein Bild vorhanden,49.878026,7.90154
Hofanlage,Große Straße 14,Bretzenheim,1700!18. Jahrhundert,"barocke Hofanlage, 18. Jahrhundert; Fachwerkhaus, verputzt, Scheune, teilweise Fachwerk",Kein Bild vorhanden,49.877754,7.902002
Villa Plettenberg-Puricelli,Große Straße 16,Bretzenheim,1877,"ehemaliges Hofgut Puricelli; zweieinhalbgeschossiger Putzbau, spätklassizistisch geprägte Neurenaissance, bezeichnet 1877; weiteres Wohnhaus, Uhrtürmchen, Fachwerk-Klinker-Konstruktion, stattliche Nebengebäude; eingefriedete Gartenanlage mit kleiner Eisenbrücke über die Kleine Straße, Pumpenhaus und Wasserturm (vergleiche Turmstraße ohne Nummer)",Kein Bild vorhanden,49.877434,7.902328
Fenstergewände,"Große Straße, an Nr. 31",Bretzenheim,1606,"Fenstergewände, bezeichnet 1606",Kein Bild vorhanden,49.877587,7.902384
Altes Schloss der Grafen von Velen,Kirchstraße,Bretzenheim,1650!Mitte des 17. Jahrhunderts,"Ruine, Mitte des 17. Jahrhunderts; Umfassungsmauern mit Rundturm und Torbogen, Bruchstein",Kein Bild vorhanden,49.879327,7.901547
Schloss Bretzenheim,Kirchstraße 2,Bretzenheim,1590!um 1590,"nach Brand 1774 zum Barockschloss umgebaut, Bauinspektor Johann Faxlunger, Mannheim; um einen Hof gruppierte Anlage mit Wirtschaftsgebäuden, Renaissance-Torbogen, um 1590, Herrenhaus mit Treppenturm, bezeichnet 1595; ehemaliges Wohngebäude, um 1600, Umbau wohl 1783",Kein Bild vorhanden,49.879157,7.900631
