Denkmalzone Burgruine Suitbertstein,nordöstlich des Ortes im Wald,Dörrebach,1400!15. oder 16. Jahrhundert,"bis zu 12 m hohe Mauerreste eines Wohnturms, 15. oder 16. Jahrhundert[1]",//commons.wikimedia.org/wiki/Category:Suitbertstein,49.949713,7.728401
Denkmalzone Burg Gollenfels,östlich des Ortes bei Stromberg (Von-Gauvain-Straße),Dörrebach,1156!vor 1156,"1156 erwähnt, 1614 zerstört, seit 1619 Wiederaufbau des Wohntrakts mit Treppenturm unter Einbeziehung eines Wohnturms des 13. oder 14. Jahrhunderts; Denkmal für J. L. von Gauvin, Gedenkstein, bezeichnet 1833[2]",//commons.wikimedia.org/wiki/Category:Gollenfels,49.944624,7.768478
Denkmalzone Jüdischer Friedhof,südlich des Ortes; Flur Unterm Bingelsberg,Dörrebach,1870!um 1870,"Areal mit 20 Grabsteinen, zweite Hälfte des 19. und Anfang des 20. Jahrhunderts[3]",//commons.wikimedia.org/wiki/Category:J%C3%BCdischer_Friedhof_D%C3%B6rrebach,49.941843,7.719049
Katholische Kirche Mariä Himmelfahrt,Kirchstraße,Dörrebach,1250!Mitte des 13. Jahrhunderts,"barocker Saalbau, 1754, romanischer Chorturm, Mitte des 13. Jahrhunderts, Sakristeianbau, bezeichnet 1515",Kein Bild vorhanden,49.946406,7.720797
Katholische Pfarrhof,Kirchstraße 4,Dörrebach,1858,"spätklassizistischer Putzbau, 1858, Scheune",Kein Bild vorhanden,49.946007,7.720532
Volkshaus,Schloßstraße 17,Dörrebach,1933,"ein- bis zweigeschossige Baugruppe, Mitte der 1930er Jahre",Kein Bild vorhanden,49.946202,7.722472
Zehntscheune,"Schloßstraße, hinter Nr. 20",Dörrebach,1700!18. Jahrhundert,"ehemalige Zehntscheune; barocker Krüppelwalmdachbau, Bruchstein, 18. Jahrhundert, in der ersten Hälfte des 19. Jahrhunderts einfirsthausartig umgebaut und klassizistisch überformt",Kein Bild vorhanden,49.946246,7.722098
Schule,Schulstraße 20,Dörrebach,1838!um 1838/39,"Heimatstil, um 1838/39",Kein Bild vorhanden,49.947093,7.721668
Evangelische Gustav-Adolf-Kirche,Seibersbacher Straße,Dörrebach,1900,"neugotischer Bruchsteinbau, 1900",Kein Bild vorhanden,49.948225,7.720261
Fachwerkhaus,Stromberger Straße 37,Dörrebach,1746,"Fachwerk-Wohnhaus, barocker Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1746",Kein Bild vorhanden,49.944997,7.720226
Kalköfen,östlich des Ortes an der L 242,Dörrebach,1800!19. Jahrhundert,"zwei Kalköfen, Bruchstein, 19. Jahrhundert",Kein Bild vorhanden,49.941455,7.753852
Michaelskapelle,östlich des Ortes am Weinbergerhof,Dörrebach,1700!18. Jahrhundert,"Putzbau, im Kern barock, 18. Jahrhundert",Kein Bild vorhanden,49.944275,7.753234
