Denkmalzone Jüdischer Friedhof,Nachtigallenweg,Frei-Laubersheim,1820,auf dem 1820 angelegten Areal etwa 30 Grabsteine bis 1934[1],Kein Bild vorhanden,49.798006,7.901895
Denkmalzone Ortskern,Rathausstraße 1–9 und 2–16 und Philipp-Wehr-Straße 1,Frei-Laubersheim,1600!17. bis 19. Jahrhundert,"geschlossene Baustruktur des 17. bis 19. Jahrhunderts mit durchweg zweigeschossigen Bauten, darunter zwei Fachwerkhäuser, ein Hakenhof mit Toranlage sowie ein Vierseithof mit Torhaus",Kein Bild vorhanden,49.801208,7.898913
Evangelisches Pfarrhaus,Am Johannisgarten 1,Frei-Laubersheim,1836!1836–38,"spätklassizistischer Putzbau, 1836–38; exponierte Ortseingangssituation",Kein Bild vorhanden,49.802863,7.900552
Hofanlage,Fronpforte 3,Frei-Laubersheim,1700!erste Hälfte des 18. Jahrhunderts,"Hofanlage; barockes Fachwerkhaus, verputzt, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.799427,7.89827
Fachwerkhaus,Fronpforte 7,Frei-Laubersheim,1726,"barockes Fachwerkhaus, teilweise massiv, 1726, über Kellern von 1571",Kein Bild vorhanden,49.799624,7.898696
Hofanlage,Kirchenpforte 4,Frei-Laubersheim,1749,"Hofanlage mit Toranlage, bezeichnet 1749; barockes Wohnhaus, teilweise Fachwerk",Kein Bild vorhanden,49.801814,7.899856
Kaplaneihof,Kirchenpforte 5,Frei-Laubersheim,1700!18. Jahrhundert,"ehemaliger Kaplaneihof des Klosters Tholey; eingeschossiger barocker Mansarddachbau, 18. Jahrhundert",Kein Bild vorhanden,49.801764,7.899984
Priorat des Klosters Tholey,Kirchenpforte 7,Frei-Laubersheim,1700!18. Jahrhundert,"ehemaliges Priorat des Klosters Tholey, später katholischer Pfarrhof; Hofanlage; barockes Wohnhaus, 18. Jahrhundert; im katholischen Pfarrhaus barocke Skulptur; am Torbogen nachbarockes Kruzifix, bezeichnet 1814",Kein Bild vorhanden,49.80184,7.900321
Katholische Pfarrkirche St. Mauritius,Kirchenpforte 9/11,Frei-Laubersheim,1200!erste Hälfte des 13. Jahrhunderts,"spätbarocker Saalbau, 1792–96, romanischer Turm, erste Hälfte des 13. Jahrhunderts",Kein Bild vorhanden,49.8021,7.900373
Kriegerdenkmal,"Kirchenpforte, bei Nr. 9/11",Frei-Laubersheim,1920!1920/30er Jahre,"Kriegerdenkmal 1914/18, Muschelkalkpfeiler, 1920/30er Jahre",Kein Bild vorhanden,49.801958,7.900411
Fachwerkhaus,Philipp-Wehr-Straße 3,Frei-Laubersheim,1763,"spätbarockes Fachwerkhaus, teilweise massiv, bezeichnet 1763",Kein Bild vorhanden,49.80113,7.899607
Wohnhaus,Philipp-Wehr-Straße 22,Frei-Laubersheim,1775!Ende des 18. Jahrhunderts,"spätbarockes Wohnhaus, teilweise Fachwerk, Ende des 18. Jahrhunderts, Toranlage bezeichnet 1774",Kein Bild vorhanden,49.799875,7.900135
Hofanlage,Philipp-Wehr-Straße 25,Frei-Laubersheim,1800!erste Hälfte des 19. Jahrhunderts,"Dreiseithof mit Toranlage, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.799966,7.900035
Fachwerkhaus,Philipp-Wehr-Straße 29,Frei-Laubersheim,1700!um 1700,"barockes Fachwerkhaus, teilweise massiv, um 1700",Kein Bild vorhanden,49.799853,7.899435
Fachwerkhaus,Rathausstraße 2,Frei-Laubersheim,1650!17. oder 18. Jahrhundert,"barockes Fachwerkhaus, verputzt, 17. oder 18. Jahrhundert, Toranlage, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.801272,7.899227
Fachwerkhaus,Rathausstraße 6,Frei-Laubersheim,1728,"barockes Fachwerkhaus, großteils verputzt, bezeichnet 1728",Kein Bild vorhanden,49.801165,7.898955
Rathaus,Rathausstraße 9,Frei-Laubersheim,1603,"Renaissancebau mit Erdgeschosshalle, Fachwerkerker, bezeichnet 1603",Kein Bild vorhanden,49.80125,7.898825
Hof Sponheimer,Rathausstraße 16,Frei-Laubersheim,1604,"ehemaliger Hof des Altmünsterklosters zu Mainz; spätgotischer Massivbau, bezeichnet 1604, 1753 und im 19. Jahrhundert verändert",Kein Bild vorhanden,49.800919,7.898333
Hofanlage,Rathausstraße 19,Frei-Laubersheim,1700!18. Jahrhundert,"barocke Hofanlage, teilweise Fachwerk, 18. Jahrhundert",Kein Bild vorhanden,49.800594,7.898106
Brunnen,"Rathausstraße, Ecke Philipp-Wehr-Straße",Frei-Laubersheim,1884,"neugotischer Laufbrunnen, bezeichnet 1884",Kein Bild vorhanden,49.801385,7.89943
Hofanlage,Rheingrafenstraße 7,Frei-Laubersheim,1800!Anfang des 19. Jahrhunderts,"Hakenhof; Fachwerkhaus, verputzt, Anfang des 19. Jahrhunderts",Kein Bild vorhanden,49.801574,7.897667
Schulhaus,Schulstraße 1,Frei-Laubersheim,1880,"spätklassizistisch, bezeichnet 1880",Kein Bild vorhanden,49.799127,7.897385
Ruine der Katharinenkapelle,nördlich des Ortes; Flur An der Katharinenkirche,Frei-Laubersheim,1200!13. oder 14. Jahrhundert,"Fundamente des spätgotischen Saalbaus, wohl aus dem 13. oder 14. Jahrhundert",,49.808922,7.894671
Bahnhof,östlich des Ortes (Am Bahnhof Laubersheim 1),Frei-Laubersheim,1880!um 1880/90,"ehemaliger Bahnhof; zweieinhalbgeschossiger Krüppelwalmdachbau, Sandsteinquader, eingeschossiger Anbau, um 1880/90",,49.799665,7.91469
