Denkmalzone Jüdischer Friedhof,nordöstlich des Ortes; Distrikt Eichelberg,Fürfeld,1700!um 1700,um 1700/1850 angelegtes Areal mit 98 Grabsteinen von 1836 bis 1936 [1],Kein Bild vorhanden,49.7821,7.900365
Denkmalzone Hof Iben,östlich des Ortes,Fürfeld,1240!um 1240,"ehemalige Wasserburg; gotischer Chor der ehemaligen Burgkapelle, um 1240; ehemaliger Chorbogen zugesetzt, Barockprofile aus der Mitte des 18. Jahrhunderts, romanischer Anschluss; barocke Brückenfigur, 18. Jahrhundert; südlich der Kapelle ehemaliges Burghaus, im Kern mittelalterlich",//commons.wikimedia.org/wiki/Category:Hof_Iben,49.773167,7.925333
Katholisches Pfarrhaus,Bennstraße 1,Fürfeld,1770!um 1770,"spätbarocker Mansardwalmdachbau, um 1770",Kein Bild vorhanden,49.776217,7.893021
Wohnhaus,Bennstraße 5,Fürfeld,1830!um 1830,"ehemalige Schule; klassizistischer Putzbau, um 1830",Kein Bild vorhanden,49.77635,7.893459
Wohnhaus,Hochstätter Straße 2,Fürfeld,1700!um 1700,"barockes Fachwerkhaus, teilweise massiv, wohl um 1700",Kein Bild vorhanden,49.776778,7.891518
Fachwerkhaus,Hochstätter Straße 10,Fürfeld,1700!um 1700,"barockes Fachwerkhaus, teilweise massiv, um 1700, Torfahrt mit Fachwerkspeicher",Kein Bild vorhanden,49.776578,7.890781
Wohnhaus,Kreuznacher Straße 10,Fürfeld,1890!um 1890,"gründerzeitlicher Klinkerbau mit Sandsteingliederung, um 1890",Kein Bild vorhanden,49.777999,7.890332
Fachwerkhaus,Kreuzstraße 13,Fürfeld,1700!um 1700,"barockes Fachwerkhaus, verputzt, um 1700, ehemalige Torfahrt mit Fachwerk-Überbau",Kein Bild vorhanden,49.776011,7.892294
Katholische Kirche St. Josef und St. Aegidius,Kreuzstraße 18,Fürfeld,1774!1774–76,"spätbarocker Saalbau, 1774–76, Architekt Peter Reheis",Kein Bild vorhanden,49.776005,7.892463
Wohnhaus,Kreuzstraße 21,Fürfeld,1600!um 1600,"barockes Wohnhaus, bezeichnet 1740, im Kern wohl um 1600, Stichbogengliederung um 1770/80",Kein Bild vorhanden,49.775713,7.892455
Evangelisches Pfarrhaus,Mittlere Bennstraße 2,Fürfeld,1895!um 1895,"gründerzeitlicher Sandsteinquaderbau, um 1895",Kein Bild vorhanden,49.777234,7.893826
Hofanlage,Mittlere Bennstraße 5,Fürfeld,1700!um 1700,"Hofanlage; barockes Fachwerkhaus, verputzt, um 1700",Kein Bild vorhanden,49.776896,7.893724
Wohnhaus,Rathausstraße 5,Fürfeld,1890!um 1890,"gründerzeitlicher Klinkerbau, um 1890",Kein Bild vorhanden,49.776986,7.892217
Wohnhaus,Rathausstraße 8,Fürfeld,1700!um 1700,"eingeschossiger barocker Mansarddachbau, um 1700",Kein Bild vorhanden,49.777078,7.892126
Rathaus,Rathausstraße 12,Fürfeld,1840,"spätklassizistischer Putzbau, 1840",Kein Bild vorhanden,49.777152,7.892444
Hofanlage,Rathausstraße 15,Fürfeld,1767!drittes Drittel des 18. Jahrhunderts,"Vierseithof; langgestrecktes spätbarockes Wohnhaus, drittes Drittel des 18. Jahrhunderts",Kein Bild vorhanden,49.777184,7.893038
Evangelische Kirche,Rathausstraße 21,Fürfeld,1774!1774–76,"spätbarock-frühklassizistischer Walmdachbau, 1774–76, ehemaliger gotischer Chorturm, vor 1840 aufgestockt",Kein Bild vorhanden,49.777162,7.894188
Schule,Schulstraße 1,Fürfeld,1900!1900–01,"zweiflügeliger spätgründerzeitlicher Sandsteinquaderbau, bezeichnet 1900–01",Kein Bild vorhanden,49.774946,7.893156
Kreuz,"Schulstraße, bei Nr. 1",Fürfeld,1808,"nachbarockes Sandstein-Kruzifix, bezeichnet 1808",Kein Bild vorhanden,49.775038,7.892812
Thalermühle,östlich des Ortes am Appelbach,Fürfeld,1700!18. und 19. Jahrhundert,"Vierseitanlage, 18. und 19. Jahrhundert; spätbarocker Krüppelwalmdachbau, um 1770/80, jüngere Bruch- und Backsteinbauten",Kein Bild vorhanden,49.775798,7.912271
