Denkmalzone Ortskern,"Bachgasse, Dalbergstraße, Dorfbrunnenstraße, Heinrich-Kreuz-Straße, Kirchwinkel, Mainzer Straße, Zentbrückenstraße",Planig,"","geschlossene historische Bausubstanz dörflichen Charakters bis ins 19. Jahrhundert einschließlich der spätmittelalterlichen evangelischen Pfarrkirche, des Apfelsbachs und der Mischgärten; mehrheitlich eineinhalbgeschossige Wohn- oder Hofhäuser, Hofanlagen unterschiedlichen Typs und unterschiedlicher Größe mit Scheunenkranz",Kein Bild vorhanden,49.861677,7.911726
Denkmalzone Jüdischer Friedhof,östlich des Ortes; Flur Im Frenzenberg,Planig,1700!18. Jahrhundert,"spätestens im 18. Jahrhundert angelegtes, heckenumsäumtes Areal mit 13 Grabsteinen des 18. und späten 19. Jahrhunderts[1]",Kein Bild vorhanden,49.863146,7.930612
Katholische Pfarrkirche St. Gordianus,Biebelsheimer Straße 4,Planig,1899!1899/1900,"dreischiffige romanische Pseudobasilika, Bruchsteinbau, 1899/1900, Architekt Ludwig Becker; mit Ausstattung; ortsbildprägend",Kein Bild vorhanden,49.863279,7.914372
Heiligenhäuschen,"Biebelsheimer Straße, Ecke Am Winzerkeller",Planig,1892,"Gelbziegelbau mit Treppengiebeln, 1892",Kein Bild vorhanden,49.863436,7.914574
Evangelische Pfarrkirche,Kirchwinkel,Planig,1492,"spätmittelalterlicher Putzbau, Chor 1492, Saal 1507; Turm wohl hochmittelalterlich, oberstes Geschoss und Spitzhelm 1818, Architekt Friedrich Schneider; mit Ausstattung",Kein Bild vorhanden,49.862557,7.912039
Wohnhaus,Mainzer Straße 55,Planig,"","Wohnhaus, barocker Krüppelwalmdachbau, teilweise Fachwerk",Kein Bild vorhanden,49.861037,7.909357
Wohnhaus,Mainzer Straße 63,Planig,1900,"Wohnhaus, sandsteingegliederter Ziegelbau, 1900",Kein Bild vorhanden,49.861421,7.910098
Scheune,Mainzer Straße 85,Planig,1700!18. Jahrhundert,"barocke Krüppelwalmdach-Scheune, 18. Jahrhundert",Kein Bild vorhanden,49.863087,7.913047
Wohnhaus,Mainzer Straße 87,Planig,"","Wohnhaus, barocker Krüppelwalmdachbau",Kein Bild vorhanden,49.863155,7.913178
Villa,Rheinpfalzstraße 15,Planig,1899,"Villa, hausteingegliedeter Ziegelbau, Neurenaissancemotive, 1899",Kein Bild vorhanden,49.859319,7.909713
