Hauptstraße 28,Hauptstraße 28,Hackenheim,,"ehemalige katholische Pfarrkuratiekirche St. Michael; nachbarocker Saalbau, 1807–09, 1890/91 erweitert",,49.82334,7.89965
Hauptstraße 29/31,Hauptstraße 29/31,Hackenheim,,"langgestrecktes Fachwerkhaus, verputzt, im Kern wohl vom Anfang des 17. Jahrhunderts, bezeichnet 1761",,49.82395,7.90038
Hauptstraße 30,Hauptstraße 30,Hackenheim,,"ehemalige Schule; spätklassizistischer Krüppelwalmdachbau, bezeichnet 1884",,49.82316,7.89904
Hahnenbachstraße 15,Hahnenbachstraße 15,Hahnenbach,,"ehemalige Stiltzmühle; spätklassizistischer Bruchsteinbau, um 1860/70",,49.806767,7.422107
Hahnenbachstraße 34,Hahnenbachstraße 34,Hahnenbach,,"Hofanlage mit Fachwerkhaus, wohl erste Hälfte des 19. Jahrhunderts",,49.809966,7.419218
Hennweilerstraße 7,Hennweilerstraße 7,Hahnenbach,,"Einfirstanlage; spätbarocker Fachwerkbau, Mansarddach, wohl 18. Jahrhundert",,49.810827,7.41847
Mühlenweg (am Friedhof),Mühlenweg (am Friedhof),Hahnenbach,,"Evangelische Kirche; neubarockes Hexagon, Bruchstein, bezeichnet 1948",,,
"Mühlenweg, auf dem Friedhof","Mühlenweg, auf dem Friedhof",Hahnenbach,,"spätbarockes Kreuz, bezeichnet 1775",,,
Mühlenweg,Mühlenweg,Hahnenbach,,"Brücke über den Hahnenbach; zweibogig, Bruchstein, wohl erste Hälfte des 19. Jahrhunderts",,49.809674,7.416322
Mühlenweg,Mühlenweg,Hahnenbach,,"Gemeindehaus; Bruchstein, teilweise verschiefertes Fachwerk, Heimatstil, 1939, Schlauchtrockenturm",,49.809674,7.416322
Mühlenweg,Mühlenweg,Hahnenbach,,"Katholische Kirche; barockisierender Saalbau, 1933, Architekt Friedrich Otto",,49.809674,7.416322
an der K 27,an der K 27,Hahnenbach,,"Brücke über den Hahnenbach; zweibogig, Bruchstein, 19. Jahrhundert",,48.802358,9.798834
Hauptstraße 17,Hauptstraße 17,Hallgarten (Pfalz),,"Hakenhof,  Wohnhaus im Kern eventuell um 1600",,49.7625,7.78967
Hauptstraße 21,Hauptstraße 21,Hallgarten (Pfalz),,"Quereinhaus, teilweise Fachwerk, um 1800, Nebengebäude; Wegekreuz, um 1900",,49.76244,7.79022
Schöne Aussicht 1,Schöne Aussicht 1,Hallgarten (Pfalz),,"Evangelische Kirche; neuromanischer Sandsteinquaderbau, 1927, Bezirksbaumeister Peter Arnold, Rockenhausen",,49.759764,7.788752
Schulstraße 25a,Schulstraße 25a,Hallgarten (Pfalz),,"ehemalige Schule; mit Lehrerwohnung; stattliche eineinhalb- bis zweigeschossige Sandsteinquader-Baugruppe, bezeichnet 1901",,49.76062,7.78824
Schulstraße 26,Schulstraße 26,Hallgarten (Pfalz),,"Katholische Kirche St. Maria; Chorturmkirche, Rotsandsteinquader, 1937/38, Architekten Albert Boßlet, Landau, und Karl Lochner, Ludwigshafen",,49.760951,7.788704
"Schulstraße, an der katholischen Kirche","Schulstraße, an der katholischen Kirche",Hallgarten (Pfalz),,"Kriegerdenkmal 1914/18, Sandsteinpfeiler, 1920er Jahre",,,
Burgruine Montfort,Burgruine Montfort,Hallgarten (Pfalz),,"Überreste der 1226 erwähnten, 1456 zerstörten Randhausburg: Stumpf des Bergfrieds, Reste sieben turmartiger Ganerbenhäuser, Zisterne, Schild-, Zwingermauer, Gräben nur teilweise erhalten, 14. oder 15. Jahrhundert",,,
Kreuznacher Straße 5,Kreuznacher Straße 5,Hallgarten (Pfalz),,"Dreiseithof, 18. oder 19. Jahrhundert; eingeschossiges spätbarockes Einfirsthaus, letztes Viertel des 18. Jahrhunderts",,49.75653,7.79195
Kreuznacher Straße 7,Kreuznacher Straße 7,Hallgarten (Pfalz),,"spätbarockes Einfirsthaus, Krüppelwalmdach, bezeichnet 1780",,49.756456,7.792286
Hunsrückstraße 58,Hunsrückstraße 58,Hargesheim,,"Schule; Heimatstil, um 1910",,49.86477,7.82397
Kirchstraße 13/15,Kirchstraße 13/15,Hargesheim,,"ehemalige katholische Kirche; ehemals Simultankirche St. Valentin, barocker Saalbau, bezeichnet 1731",,49.862367,7.828361
Lindenstraße,Lindenstraße,Hargesheim,,"Kriegerdenkmal 1870/71; Obelisk mit Bildnismedaillon Kaiser Wilhelms II., 1911",,49.859116,7.826288
(bei) Hauptstraße 81,(bei) Hauptstraße 81,Heimweiler,,"Fachwerkhaus, teilweise verschiefert, um 1800",,49.755292,7.502362
"Kirchstraße, auf dem Friedhof","Kirchstraße, auf dem Friedhof",Heimweiler,,"Kriegerdenkmal 1914/18, Sandsteinpfeiler, um 1925, nach 1945 erweitert",,49.756247,7.492453
Hauptstraße 4,Hauptstraße 4,Heimweiler,,"Hofanlage; Fachwerkhaus, bezeichnet 1827",,49.755763,7.488166
Im Oberdorf ohne Nummer,Im Oberdorf ohne Nummer,Heimweiler,,"ehemaliges Rathaus; barocker Fachwerkbau, teilweise massiv, bezeichnet 1704",,49.756247,7.492453
Im Oberdorf 3,Im Oberdorf 3,Heimweiler,,"barockes Fachwerkhaus, verputzt und verschiefert, Mitte des 18. Jahrhunderts, im Kern eventuell älter",,49.756396,7.487347
Im Oberdorf 5,Im Oberdorf 5,Heimweiler,,"Fachwerkhaus, 18. oder Anfang des 19. Jahrhunderts",,49.756413,7.487153
Im Oberdorf 6,Im Oberdorf 6,Heimweiler,,"barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert",,49.756435,7.487595
Im Oberdorf 10,Im Oberdorf 10,Heimweiler,,"barockes Fachwerkhaus, teilweise massiv, Torfahrt, 18. Jahrhundert",,49.7565,7.4878
Im Oberdorf 14,Im Oberdorf 14,Heimweiler,,"spätklassizistisches Wohnhaus, bezeichnet 1863",,49.75703,7.48762
Im Oberdorf (am Friedhof),Im Oberdorf (am Friedhof),Heimweiler,,"Kriegerdenkmal 1914/18, Sandsteinpfeiler, bezeichnet 1925, Bildhauer Johann Nesseler Söhne, Lauterecken, nach 1945 erweitert",,49.756247,7.492453
Kirner Straße 23,Kirner Straße 23,Heimweiler,,"Hakenhof; spätbarocker Krüppelwalmdachbau, Fachwerk verputzt, zweite Hälfte des 18. Jahrhunderts",,49.75598,7.48625
Kirner Straße 25,Kirner Straße 25,Heimweiler,,"Dreiseithof; Fachwerkhaus verputzt und verschiefert, Mitte des 19. Jahrhunderts, Nebengebäude bezeichnet 1881",,49.75592,7.48655
L 182,L 182,Heimweiler,,"Untere Horbachsmühle; Dreiseithof, Mitte des 19. Jahrhunderts; Wohnhaus, teilweise Fachwerk, Mühle mit Krüppelwalmdach",,49.756247,7.492453
"L 182, am Gaßbach","L 182, am Gaßbach",Heimweiler,,"Ober Horbachsmühle; Krüppelwalmdachbau und Mühle, teilweise verschieferte Fachwerkhäuser, 19. Jahrhundert",,49.756247,7.492453
(zu) Dorfstraße 3,(zu) Dorfstraße 3,Heinzenberg (bei Kirn),,"Einfirsthaus, Fachwerk, teilweise massiv, erste Hälfte des 19. Jahrhunderts",,49.82465,7.48392
Burgruine Heinzenberg,Burgruine Heinzenberg,Heinzenberg (bei Kirn),,"Standplatz der 1159 erwähnten, seit dem Brand 1452 verfallenden Burg Heinzenberg",,,
Denkmalzone Jüdischer Friedhof[1] (Freiherr-vom-Stein-Straße),Denkmalzone Jüdischer Friedhof[1] (Freiherr-vom-Stein-Straße),Hennweiler,,"Areal mit etwa 30 Grabsteinen, zweite Hälfte des 19. und erste Hälfte des 20. Jahrhunderts",,49.820354,7.43618
Hahnenbacher Straße 4,Hahnenbacher Straße 4,Hennweiler,,"ehemalige Schule; mit Lehrerwohnungen, teilweise verschiefertes Fachwerk, Heimatstil, bezeichnet 1913, Stadtbaumeister Morgenstern, Kirn",,49.81595,7.43099
Hauptstraße,Hauptstraße,Hennweiler,,"Evangelische Pfarrkirche; ehemals St. Stephan, spätbarocker Saalbau, bezeichnet 1790, Architekt wohl Hofbaumeister Johann Thomas Petri, Kirn, romanischer ehemaliger Chorturm, zweite Hälfte des 13. Jahrhunderts",,49.819066,7.434974
Hauptstraße 19,Hauptstraße 19,Hennweiler,,"evangelisches Pfarrhaus; gotisierender Klinkerbau, Walmdach, 1898; städtebaulicher Blickpunkt",,49.818925,7.435702
Obergasse 8,Obergasse 8,Hennweiler,,"barockes Einfirsthaus, wohl 18. Jahrhundert",,49.81948,7.43291
Obergasse 12,Obergasse 12,Hennweiler,,"Einfirsthaus; Krüppelwalmdachbau, teilweise Fachwerk, 18. oder Anfang des 19. Jahrhunderts",,49.81965,7.4334
Obergasse 24,Obergasse 24,Hennweiler,,"Einfirsthaus; spätbarocker Krüppelwalmdachbau, Fachwerk, wohl 1783–85",,49.819944,7.434452
Oberhauser Straße,Oberhauser Straße,Hennweiler,,"Katholische Kirche St. Stephan; barockisierender Bruchsteinbau, Heimatstil, 1933/34",,49.818706,7.438889
im Norden von Hennweiler,im Norden von Hennweiler,Hennweiler,,"Mausoleum; kleiner quadratischer Bau mit Kuppel, originale Tür, Anfang des 20. Jahrhunderts",,49.821391,7.435485
Kirchstraße 7,Kirchstraße 7,Hergenfeld,,"katholische Kirche St. Martin; romanisierender Saalbau, 1863; an der Kirche zwei barocke Grabkreuze, 1724 und 1733; spätbarockes Sandsteinkruzifix, bezeichnet 1762",,49.903939,7.763157
Kirchstraße 9,Kirchstraße 9,Hergenfeld,,"Hakenhof; Fachwerkhaus, bezeichnet 1882, im Kern wohl aus der ersten Hälfte des 19. Jahrhunderts, Scheune und Stall Ende des 19. oder Anfang des 20. Jahrhunderts",,49.90379,7.76317
Kirchstraße 26,Kirchstraße 26,Hergenfeld,,"Einfirstanlage, Einfirsthaus, Fachwerk, erste Hälfte des 19. Jahrhunderts",,49.90348,7.76283
an der K 29,an der K 29,Hergenfeld,,"Pestkreuz, wohl 1620, 1843 restauriert",,49.904164,7.76206
Denkmalzonen Alter jüdischer Friedhof[1] und Neuer jüdischer Friedhof[2],Denkmalzonen Alter jüdischer Friedhof[1] und Neuer jüdischer Friedhof[2],Hochstätten,,Areal mit Grabsteinen des 18. bis zum Anfang des 20. Jahrhunderts,,,
Friedhofstraße,Friedhofstraße,Hochstätten,,"Brücke, zweibogig, Sandstein, erste Hälfte bis Mitte des 19. Jahrhunderts",,49.766002,7.831727
Hauptstraße,Hauptstraße,Hochstätten,,"Brücke über die Alsenz, zweibogig, Sandsteinquader, bezeichnet 1880",,49.763885,7.830706
Hauptstraße,Hauptstraße,Hochstätten,,"Evangelische Kirche; spätbarocker Saalbau, 1772, gotischer ehemaliger Chorturm",,49.763885,7.830706
Hauptstraße 14,Hauptstraße 14,Hochstätten,,"Wohnhaus, teilweise Fachwerk, im Kern um 1600, im 18. Jahrhundert überformt",,49.76453,7.83216
(an) Hauptstraße 39,(an) Hauptstraße 39,Hochstetten-Dhaun,,"Renaissanceportal mit Oberlicht, um 1600",,49.79756,7.5174
(an) Hauptstraße 41,(an) Hauptstraße 41,Hochstetten-Dhaun,,"Renaissanceportal, bezeichnet 1567",,49.7975,7.51752
Kirchstraße 3,Kirchstraße 3,Hochstetten-Dhaun,,"evangelische Kirche; Sandsteinquaderbau, Rundbogengliederung, bezeichnet 1866/67",,49.79733,7.5167
Brunnengasse,Brunnengasse,Hochstetten-Dhaun,,"evangelische Kirche; Sandsteinquaderbau, 1864",,49.7979,7.507346
Denkmalzone Schloss Dhaun,Denkmalzone Schloss Dhaun,Hochstetten-Dhaun,,"1215 als Burg erwähnt, 1729 Ausbau zum Residenzschloss, 1804 ff. abgebrochen, Umwandlung der Vorburg in englischen Garten; Zwingeranlage, Ruine der Georgskapelle (1608), Oberer Torbau (1526), Nordflügel (1729, Ausbau 1971–77); verändert wiederaufgebauter Rittersaal; zwei Geschütztürme; auf der Hofmauer Wappenlöwe, 18. Jahrhundert",,49.816097,7.499942
Im Hahn,Im Hahn,Hochstetten-Dhaun,,"Dorfbrunnen, Haustein, 17. oder 18. Jahrhundert",,49.815603,7.499233
Im Hahn 1,Im Hahn 1,Hochstetten-Dhaun,,"barockes Einfirsthaus, teilweise verschiefert, 18. Jahrhundert",,49.815411,7.499496
Im Hahn 17,Im Hahn 17,Hochstetten-Dhaun,,"eingeschossiges spätbarockes Fachwerkhaus, bezeichnet 1776",,49.815884,7.499086
Kirner Straße ohne Nummer,Kirner Straße ohne Nummer,Hochstetten-Dhaun,,Gemeindebackhaus, wohl aus der zweiten Hälfte des 19. Jahrhunderts,49.799545,7.507543
Kirner Straße 2,Kirner Straße 2,Hochstetten-Dhaun,,"barocker Krüppelwalmdachbau, bezeichnet 1731; Ecksituation gegenüber Schlosstor",,49.8153,7.499599
Kirner Straße 12,Kirner Straße 12,Hochstetten-Dhaun,,"evangelische Kirche; ehemaliges gräfliches Brauhaus, im Kern barock, 18. Jahrhundert, Anfang des 19. Jahrhunderts klassizistisch überformt",,49.81489,7.49866
Neuweg 13,Neuweg 13,Hochstetten-Dhaun,,"ehemaliges Amtshaus; barocker Mansardwalmdachbau, 1738",,49.814881,7.500059
"Denkmalzone Ortskern (St. Johannisberg 11, 13 und weitere)","Denkmalzone Ortskern (St. Johannisberg 11, 13 und weitere)",Hochstetten-Dhaun,,"ehemalige Stiftskirche mit Kirchhof, ehemaliges protestantisches Pfarrhaus von 1743, Dorfgasthaus und gegenüberliegendes, im Kern barockes Bauernhaus sowie an den Kirchhof grenzender Streckhof Nr. 11; in der Straßenmitte Ziehbrunnen; Backhaus, wohl aus der zweiten Hälfte des 19. Jahrhunderts",,49.799545,7.507543
St. Johannisberg,St. Johannisberg,Hochstetten-Dhaun,,"evangelische Pfarrkirche; ehemals Stiftskirche St. Johannes der Täufer, gotischer Saalbau, 1318, Turm 1465, Chor 1595; alte Kirchhofmauer mit Torbogen",,49.798746,7.496944
St. Johannisberg 13,St. Johannisberg 13,Hochstetten-Dhaun,,"ehemaliges evangelisches Pfarrhaus; einfirsthausartiger barocker Massivbau, bezeichnet 1743",,49.799545,7.507543
Dorfstraße 3,Dorfstraße 3,Horbach (bei Simmertal),,"evangelische Kirche; barocker Saalbau, bezeichnet 1747",,49.82465,7.48392
"Denkmalzone Jüdischer Friedhof[1] (Heisterberg, im Südwesten des Ortes am Waldrand)","Denkmalzone Jüdischer Friedhof[1] (Heisterberg, im Südwesten des Ortes am Waldrand)",Hüffelsheim,,"Anfang des 19. Jahrhunderts eröffnet, Grabsteine bis 1928",,,
