Evangelische Pfarrkirche,Hauptstraße 12,Abtweiler,1400!15. Jahrhundert,"spätgotischer Saalbau, 15. Jahrhundert; Sakristeianbau bezeichnet 1756",Kein Bild vorhanden,49.744701,7.655859
Hofanlage,Im Tal 1,Abtweiler,1874,"Dreiseithof, Bruchsteinbauten, Wohnhaus bezeichnet 1874",Kein Bild vorhanden,49.743652,7.656686
Dorfgemeinschaftshaus,Im Tal 5,Abtweiler,1910!um 1910,"ehemalige Schule mit Lehrerwohnung; zweiflügeliger Krüppelwalmdachbau, Heimatstil, um 1910",Kein Bild vorhanden,49.743459,7.657444
Unterstallhaus,Turmweg 3/5,Abtweiler,1800!Anfang oder Mitte des 19. Jahrhunderts,"zweiteiliges Unterstallhaus, teilweise Fachwerk, Anfang oder Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.743958,7.655479
Wohnhaus,Brunnenstraße 18,Allenfeld,1833,"Krüppelwalmdachbau, Fachwerk, teilweise verschiefert, bezeichnet 1833",Kein Bild vorhanden,49.866896,7.668439
Wegweiser,nordöstlich des Ortes an der K 28,Allenfeld,1820!um 1820,"klassizistischer Sandstein-Obelisk, um 1820",Kein Bild vorhanden,49.873164,7.674146
Wegweiser,östlich des Ortes an der L 238,Allenfeld,1820!um 1820,"klassizistischer Sandstein-Obelisk, um 1820",Kein Bild vorhanden,49.871126,7.680514
Wegweiser,östlich des Ortes an der L 238,Allenfeld,1820!um 1820,"klassizistischer Sandstein-Obelisk, um 1820",Kein Bild vorhanden,49.871699,7.683803
Denkmalzone Neuer jüdischer Friedhof,"Am Rödelstein, auf dem christlichen Friedhof",Altenbamberg,1884,"ummauertes Areal mit 23 Grabsteinen, 1884 bis 1937[1]",Kein Bild vorhanden,49.785459,7.828888
Denkmalzone Alter jüdischer Friedhof,"östlich des Ortes,  Distrikt Am Judengraben",Altenbamberg,1750,1750 angelegtes Areal mit 10 Grabsteinen[2],Kein Bild vorhanden,49.785133,7.835216
Denkmalzone Am Bernhardsschlößchen,südöstlich des Ortes,Altenbamberg,1357,"Burgruine Treuenfels, sogenanntes Bernhardschlößchen; Bruchstein-Mauerzüge der Burgruine, 1357 errichtet [3]",Kein Bild vorhanden,49.783183,7.833929
Denkmalzone Altenbaumburg,östlich des Ortes auf dem Schloßberg,Altenbamberg,1253!vor 1253,"Halsgraben und Schildmauer, Rechteckturm, Mauerresteauds dem 13. Jahrhundert, Reste gotischer Wohnbauten und der gotischen Kapelle vor 1253 entstandenen, 1482 verfallenen Stammburg der Raugrafen; der gotische Palas 1981–83 wiederaufgebaut[4]",//commons.wikimedia.org/wiki/Category:Altenbaumburg,49.786034,7.834716
Grabmal,"Am Rödelstein, auf dem christlichen Friedhof",Altenbamberg,1900!um 1900,"Grabstein Kastl-Voelker, Schauwand, Relief einer Trauernden, um 1900",Kein Bild vorhanden,49.785926,7.829775
Villa,Am Rödelstein 2,Altenbamberg,1860!um 1860,"Villa, um 1860, eingeschossiger Anbau",Kein Bild vorhanden,49.786769,7.830175
Haustür,"Burgstraße, an Nr. 4",Altenbamberg,1809,"Haustür mit Oberlicht, bezeichnet 1809",Kein Bild vorhanden,49.786046,7.831906
Fachwerkhaus,Burgstraße 12 (?),Altenbamberg,1770,"barockes Fachwerkhaus, bezeichnet 1770",Kein Bild vorhanden,49.786685,7.83219
Fachwerkhaus,Burgstraße 20,Altenbamberg,1500!16. Jahrhundert,"Fachwerkhaus, Renaissanceportal, 16. Jahrhundert, Erdgeschoss im 19. Jahrhundert verändert",Kein Bild vorhanden,49.786865,7.832524
Fachwerkhaus,Burgstraße 22,Altenbamberg,1700!18. Jahrhundert,"barockes Fachwerkhaus, 18. Jahrhundert",Kein Bild vorhanden,49.786837,7.83276
Fachwerkhaus,Burgstraße 26,Altenbamberg,1700!18. oder Anfang des 19. Jahrhunderts,"Fachwerkhaus, 18. oder Anfang des 19. Jahrhunderts",Kein Bild vorhanden,49.787047,7.832894
Spolie,"Burgstraße, an Nr. 27",Altenbamberg,1580,"Spolie, bezeichnet 1580",Kein Bild vorhanden,49.787036,7.833005
Protestantische Kirche,"Hauptstraße, Ecke Am Rödelstein",Altenbamberg,1821!1821–23,"klassizistischer Saalbau, 1821–23",Kein Bild vorhanden,49.786316,7.830831
Katholische Kirche Maria Geburt und St. Mauritius,Hauptstraße 39,Altenbamberg,1783,"spätbarocker Saalbau, 1783",Kein Bild vorhanden,49.786712,7.831439
Bahnhof,Hauptstraße 43,Altenbamberg,1875!Ende des 19. Jahrhunderts,"Gründerzeitbau, teilweise Fachwerk, Fachwerkgüterschuppen, Ende des 19. Jahrhunderts",Kein Bild vorhanden,49.786817,7.830873
Brücklocherhof,östlich des Ortes an der K 85,Altenbamberg,1700!18. und erste Hälfte des 19. Jahrhunderts,"Brücklocherhof, 18. und erste Hälfte des 19. Jahrhunderts; Wirtschaftsgebäude teilweise Fachwerk",Kein Bild vorhanden,49.77911,7.860224
Weinbergshaus,"südöstlich des Ortes,  Flur Eilbacher Hang",Altenbamberg,1890!um 1890,"gründerzeitlicher Klinkerbau, um 1890",Kein Bild vorhanden,49.781743,7.842573
Denkmalzone Burgruine Rosenburg,Ritterpfad 1,Argenschwang,1100!12. Jahrhundert,"Ruine der im 12. Jahrhundert gegründeten, um 1793 zerstörten Rosenburg: zwei Geschosse des Palas, Reste eines bastionsartigen Baus mit Flankentürmen, ehemaliges dreigeschossiges Torhaus, 17. Jahrhundert",//commons.wikimedia.org/wiki/Category:Burg_Argenschwang,49.880884,7.700464
Denkmalzone Jüdischer Friedhof,"nordöstlich des Ortes,  Distrikt Im Nauenweg",Argenschwang,1870,Areal mit 65 Grabsteinen von 1870 bis 1938[1],Kein Bild vorhanden,49.884385,7.702124
Pfarrhaus,Am Ehrenmal 1,Argenschwang,1665,"ehemaliges lutherisches Pfarrhaus; barocker Fachwerkbau, bezeichnet 1665",Kein Bild vorhanden,49.881284,7.699148
Evangelische Kirche,Brunnenstraße 5,Argenschwang,1880!1880–1883,"neugotischer Bruchsteinbau, 1880–1883, Stadtbaumeister Hartmann, Kreuznach",Kein Bild vorhanden,49.88126,7.6996137
Synagoge,"Brunnenstraße, zu Nr. 7",Argenschwang,1600!17. und 18. Jahrhundert,"ehemalige Synagoge; dreiteilige Gruppe barocker Fachwerkbauten, 17. und 18. Jahrhundert",Kein Bild vorhanden,49.881082,7.699477
Hofanlage,Brunnenstraße 9,Argenschwang,1700!18. Jahrhundert,"Streckhof; Fachwerkhaus, teilweise massiv, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,49.880884,7.699595
Fachwerkhaus,Brunnenstraße 11,Argenschwang,1700!18. Jahrhundert,"barockes Fachwerkhaus, wohl aus dem 18. Jahrhundert",,49.880667,7.699488
Fachwerkhaus,Brunnenstraße 23,Argenschwang,1800!um 1800,"Fachwerkhaus, um 1800",,49.879034,7.699282
Wohnhaus,Hauptstraße 2,Auen (Hunsrück),1850!um 1850,"spätklassizistischer Sandsteinquaderbau, um 1850",Kein Bild vorhanden,49.830088,7.594601
Rathaus,Zur Feuchten Ecke 1,Auen (Hunsrück),1850!um 1850,"ehemalige Schule; spätklassizistischer Sandsteinquaderbau, um 1850",Kein Bild vorhanden,49.831322,7.597091
Katholische St. Willigiskapelle,"östlich des Ortes,  Distrikt Kirchwiesen",Auen (Hunsrück),,"ehemals „Geh-in-Kirche“; Chor der seit dem 17. Jahrhundert ruinösen romanischen, frühgotisch umgebauten Kirche, 1912 wiederhergestellt",//commons.wikimedia.org/wiki/Category:Willigiskapelle_(Auen),49.833424,7.610284
Denkmalzone 1920er-Jahre-Siedlung Gustav-Pfarrius-Straße,"Gustav-Pfarrius-Straße 14–30 (gerade Nummern), 17–37 (ungerade Nummern), Ringstraße 102–110 (gerade Nummern), Jean-Winckler-Straße 2–20 (gerade Nummern), Röntgenstraße 20–24 (gerade Nummern), 25–35 (ungerade Nummern)",Bad Kreuznach,1925!1925/26,"unterschiedliche Siedlungswohnblöcke sowie Einzel- und Doppelvillen in historisierendem 1920er Jahre-Stil mit Heimatstil-, Neubarock- und neuklassizistischen Motiven, im Wesentlichen von 1925/26; in der Gustav-Pfarrius-Straße dreigeschossige Walmdachbauten mit zweigeschossigen Kopfbauten, 1926/27, Architekt Hugo Völker, basierend auf Plänen von 1919, Architekt Alexander Ackermann[1]",Kein Bild vorhanden,49.838782,7.867861
Denkmalzone Evangelische Diakonieanstalten,"Ringstraße 58, Graf-Friedrich-Straße 15, Waldemarstraße 24",Bad Kreuznach,1897!ab 1897,"seit 1897 erstellter Gebäudekomplex im Park, gotisierende Sandstein- und Backsteinbauten (erster Bauabschnitt), Architekt Friedrich Langenbach, Barmen; 1912-54 angepasste Ergänzungsbauten, Architekt Willibald Hamburger[2]",Kein Bild vorhanden,49.836252,7.862387
Denkmalzone Friedhof,Mannheimer Straße,Bad Kreuznach,1827,"1827 angelegtes, seit 1918 mehrfach erweitertes, in Rechteckparzellen geteiltes Areal mit eigens umfriedeten Ehrenfriedhöfen und besonderen Gedenkstätten; alte Friedhofskapelle, historisierender Achteckbau, nach 1843; Puricellikapelle, neugotischer Rotsandsteinquaderbau mit bauzeitlicher Ausstattung, 1895, Architekt Ludwig Becker; zahlreiche Grabmäler, teilweise von der Bildhauerfamilie Cauer gestaltet, zweite Hälfte des 19. und erste Hälfte des 20. Jahrhunderts",Kein Bild vorhanden,49.836481,7.872948
Denkmalzone Goethestraße,"Goethestraße 1–7, 9, Bühler Weg 8, 10, 12, Röntgenstraße 2/4, 6, 8, Pestalozzistraße 3–9, Waldemarstraße 21, 23, 25, 27",Bad Kreuznach,1925!Mitte der 1920er Jahre,"villenartige historisierende Putzbauten, überwiegend mit Walm-, teilweise mit Mansarddächern, Teil der Stadterweiterung am Kuhberg aus der Mitte der 1920er Jahre[3]",Kein Bild vorhanden,49.836225,7.867784
Denkmalzone Gustav-Pfarrius-Straße/Lina-Hilger-Straße,"Gustav-Pfarrius-Straße 1/3, 5, 7, Lina-Hilgerstraße 1, 3/5 und Bosenheimer Straße 6 und 8",Bad Kreuznach,1925!1925/26,"fünf kunststeingegliederte Walmdachbauten, 1925/26, Architekt Johann Au, als Wohnungsbauten für Unteroffiziere erbaut[4]",Kein Bild vorhanden,49.840573,7.866153
