(bei) Hauptstraße 81,Heimweiler,"Fachwerkhaus, teilweise verschiefert, um 1800"
"Kirchstraße, auf dem Friedhof",Heimweiler,"Kriegerdenkmal 1914/18, Sandsteinpfeiler, um 1925, nach 1945 erweitert"
Hauptstraße 4,Heimweiler,"Hofanlage; Fachwerkhaus, bezeichnet 1827"
Im Oberdorf ohne Nummer,Heimweiler,"ehemaliges Rathaus; barocker Fachwerkbau, teilweise massiv, bezeichnet 1704"
Im Oberdorf 3,Heimweiler,"barockes Fachwerkhaus, verputzt und verschiefert, Mitte des 18. Jahrhunderts, im Kern eventuell älter"
Im Oberdorf 5,Heimweiler,"Fachwerkhaus, 18. oder Anfang des 19. Jahrhunderts"
Im Oberdorf 6,Heimweiler,"barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Im Oberdorf 10,Heimweiler,"barockes Fachwerkhaus, teilweise massiv, Torfahrt, 18. Jahrhundert"
Im Oberdorf 14,Heimweiler,"spätklassizistisches Wohnhaus, bezeichnet 1863"
Im Oberdorf (am Friedhof),Heimweiler,"Kriegerdenkmal 1914/18, Sandsteinpfeiler, bezeichnet 1925, Bildhauer Johann Nesseler Söhne, Lauterecken, nach 1945 erweitert"
Kirner Straße 23,Heimweiler,"Hakenhof; spätbarocker Krüppelwalmdachbau, Fachwerk verputzt, zweite Hälfte des 18. Jahrhunderts"
Kirner Straße 25,Heimweiler,"Dreiseithof; Fachwerkhaus verputzt und verschiefert, Mitte des 19. Jahrhunderts, Nebengebäude bezeichnet 1881"
L 182,Heimweiler,"Untere Horbachsmühle; Dreiseithof, Mitte des 19. Jahrhunderts; Wohnhaus, teilweise Fachwerk, Mühle mit Krüppelwalmdach"
"L 182, am Gaßbach",Heimweiler,"Ober Horbachsmühle; Krüppelwalmdachbau und Mühle, teilweise verschieferte Fachwerkhäuser, 19. Jahrhundert"
