Denkmalzonen Jüdischer Friedhof[1] und Kleiner jüdischer Friedhof[2],Mandel,zweiteilige Anlage mit etwa 40 Grabsteinen des 19. und des Anfangs des 20. Jahrhunderts sowie drei Grabsteine um 1930
Alte Rathausstraße 4,Mandel,"Fachwerkhaus, verputzt, bezeichnet 1594"
Alte Rathausstraße 17,Mandel,"ehemalige Sirupfabrik; Hofanlage, 19. Jahrhundert; dreigeschossiger Krüppelwalmdachbau, bezeichnet 1815, im Kern wohl älter"
Alte Rathausstraße 25,Mandel,"barockes Fachwerkhaus, teilweise massiv, um 1700"
Kreuznacher Straße 39,Mandel,"katholische Kirche St. Antonius; romanisierender Backsteinbau, 1897, Architekt Lambert von Fisenne, nach Brand 1948 Wiederaufbau"
Schloßstraße 5,Mandel,"Hofanlage; barocker Krüppelwalmdachbau, Fachwerk verputzt, Mitte des 18. Jahrhunderts; gusseiserner Pumpbrunnen"
Schloßstraße 14,Mandel,"evangelischer Pfarrhof; frühklassizistischer Walmdachbau, 1789–91, Bauinspektor Schweitzer, Kirchheimbolanden; barocke Scheune"
Schloßstraße 16,Mandel,"evangelische Kirche; spätklassizistischer Saalbau, 1829/30, Kreisbauinspektor Ludwig Behr, Bad Kreuznach"
Schloßstraße 18,Mandel,"ehemaliges Schloss der Ritter von Koppenstein; Renaissancebau mit Treppenturm, bezeichnet 1624, Ringmauerreste mit Schalentürmen; Wappenstein 1722"
Sponheimer Straße 1,Mandel,"Hofanlage; barocker Krüppelwalmdachbau, Fachwerk, teilweise massiv, bezeichnet 1746"
Sponheimer Straße 7,Mandel,"Hofanlage; barockes Fachwerkhaus, teilweise massiv, 18. Jahrhundert, Fachwerkscheune, teilweise massiv, Toranlage bezeichnet 1775"
"Sponheimer Straße 20, 22",Mandel,"katholisches und evangelisches Schulhaus; kubische Zeltdachbauten, Mitte des 19. Jahrhunderts"
(an) Zur alten Trift 1,Mandel,"Inschrifttafel, Holz, bezeichnet 1730"
an der K 50,Mandel,"Wegweiser, Sandstein-Obelisk, 19. Jahrhundert"
Weinbergshaus,Mandel,"gründerzeitlicher Backsteinbau, Belvedere, wohl spätes 19. Jahrhundert"
"





Alte Rathausstraße 17",Mandel,"ehemalige Sirupfabrik


"
"





Schloßstraße 14 und 16",Mandel,"evangelischer Pfarrhof und evangelische Kirche


"
"





Schloßstraße 18",Mandel,"ehemaliges Schloss der Ritter von Koppenstein


"
"





Schloßstraße 18",Mandel,"Wappenstein


"
"





Sponheimer Straße 1",Mandel,"Hofanlage


"
