Denkmalzone Burg Layen[1] (Burg-Layen 1–8),Rümmelsheim,"historischer Kernbereich mit Weingütern, 18. bis erste Hälfte des 20. Jahrhunderts"
Burg-Layen,Rümmelsheim,"Burg Layen; um 1200; romanischer Bergfried, Ringmauerteile, kleiner Rundturm, Giebelwand eines Wohnhauses, 16. Jahrhunderts; Nr. 16: spätgotischer Türsturz bezeichnet 1534, Kellerabgang bezeichnet 1530"
Burg-Layen 3,Rümmelsheim,"Hofanlage; Wohnhaus mit abgewalmtem Mansarddach, bezeichnet 1732, Veränderungen im 19. Jahrhundert"
(an) Burg-Layer Straße 15,Rümmelsheim,"Spolie, barockes Relief, 18. Jahrhundert"
Flurstraße 1,Rümmelsheim,"barockes Fachwerkhaus, teilweise massiv, wohl aus dem 17. Jahrhundert"
Hauptstraße,Rümmelsheim,"katholische Pfarrkirche St. Laurentius; Saalbau, im Kern klassizistisch, 1834, neubarockes Querschiff mit Westturm, 1919/29, Architekt Peter Marx, Trier"
Hauptstraße,Rümmelsheim,"Kriegerdenkmal 1914/18; Kunststein-Sarkophag, Unterbau mit Brunnen, 1920er Jahre, nach 1945 erweitert"
Hauptstraße 11,Rümmelsheim,"Rathaus, ehemalige Schule; neubarocker Putzbau, abgewalmtes Mansarddach, bezeichnet 1911"
Hauptstraße 15,Rümmelsheim,"spätbarockes Fachwerkhaus, verputzt, wohl vom Ende des 18. Jahrhunderts"
Hauptstraße 23,Rümmelsheim,"Hofanlage; Fachwerkhaus, teilweise massiv, bezeichnet 1832, Wirtschaftsgebäude, teilweise Fachwerk"
Hohlstraße 18,Rümmelsheim,"evangelische Kirche; neugotischer Saalbau, um 1900"
Oberstraße 32,Rümmelsheim,"katholisches Pfarrhaus; kubischer Walmdachbau; Bauhaus-, neuklassizistische und Heimatstil-Motive, 1931"
