"Denkmalzone Schloss (Schlossstraße 5–11, 8–12)",Schöneberg (Hunsrück),"Bereich des ehemaligen Schlosses der Herren von Schöneberg (Nr. 5, 16. Jahrhundert); von der übrigen Ortsbebauung durch den Friedhof getrennte frühe Urzelle der Besiedlung mit heute sechs um einen Hofraum gruppierten Hofanlagen, vom 16. Jahrhundert bis zum ersten Viertel des 20. Jahrhunderts"
Denkmalzone Jüdischer Friedhof[1],Schöneberg (Hunsrück),Areal mit fünf Grabsteinen des 19. und vom Anfang des 20. Jahrhunderts
Hauptstraße 23,Schöneberg (Hunsrück),"Hofanlage; herrschaftlicher spätklassizistischer Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1843; streckhofartige Anfügung von Stall und Scheune; weiteres langgestrecktes Nebengebäude, 19. Jahrhundert"
(an) Hauptstraße 37,Schöneberg (Hunsrück),"Spolie, Renaissance-Portalsturz, bezeichnet 1568"
(bei) Hauptstraße 52,Schöneberg (Hunsrück),"Wegekreuz, spätbarock, zweite Hälfte des 18. Jahrhunderts"
Schlossstraße 1,Schöneberg (Hunsrück),"katholische Kirche zur Kreuzauffindung; neuspätromanische Halle, Bruchstein, 1895, Architekten Carl Rüdell und Richard Odenthal"
(bei) Schlossstraße 3,Schöneberg (Hunsrück),"Dorfbrunnen, 18. oder 19. Jahrhundert, Instandsetzung wohl in den 1920er Jahren"
Schlossstraße 4,Schöneberg (Hunsrück),"Wohnhaus, Toranlage, barockes Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1688"
Schlossstraße 5,Schöneberg (Hunsrück),"ehemaliges Burghaus; Krüppelwalmdachbau, wohl 1539, Umbau wohl 1686, Ringmauerreste"
"an der L 240, nordwestlich des Ortes",Schöneberg (Hunsrück),"Forsthaus Neupfalz; Baugruppe im Heimatstil, um 1905"
