Denkmalzone Jüdischer Friedhof[1],Staudernheim,Areal mit 54 Grabsteinen von 1853 bis 1968
Am Wolfsgang 3,Staudernheim,"ehemalige Synagoge; spätgründerzeitlicher Sandsteinquaderbau, bezeichnet 1896"
Bergstraße 15,Staudernheim,"Villa; teilverschieferter spätklassizistischer Walmdachbau, um 1910"
Hauptstraße 9,Staudernheim,"Bruchsteinbau, im Kern um 1600, im 18./19. Jahrhundert überformt"
(an) Hauptstraße 19,Staudernheim,"barocker Torbogen, um 1748"
(an) Hauptstraße 24,Staudernheim,"Architekturteile, Türsturz mit Engelskopf, bezeichnet 1764; spätbarocker Fenstersturz"
Hauptstraße 32,Staudernheim,"barockes Doppelwohnhaus, Fachwerk, verputzt und verkleidet, 17./18. Jahrhundert"
Hauptstraße 42,Staudernheim,"Einfirstanlage, Fachwerk, verputzt, bezeichnet 1817"
Hauptstraße 44,Staudernheim,"klassizistischer Mansarddachbau, erste Hälfte des 19. Jahrhunderts, rückwärtig barockes Fachwerkhaus, teilweise massiv, um 1700"
Im Winkel 26,Staudernheim,"barockes Fachwerkhaus, teilweise massiv oder verkleidet, 18. Jahrhundert"
Kirchgasse,Staudernheim,"Evangelische Pfarrkirche; neugotischer Sandsteinquaderbau, 1870"
Kirchgasse 5,Staudernheim,"spätbarocker Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1776"
Odernheimer Straße 16,Staudernheim,"Rathaus; neugotischer Walmdachbau, um 1900"
(an) Schulstraße 2,Staudernheim,"ehemaliger Torbogenschlussstein mit Wappenschild, bezeichnet 1575; Stichbogenpforte, 16. Jahrhundert, nachträglich bezeichnet 1712"
(an) Schulstraße 8,Staudernheim,"barocker ehemaliger Türsturz mit Engelsrelief, 18. Jahrhundert"
Schulstraße 10,Staudernheim,"ehemaliges katholisches Küsterhaus; spätbarockes Fachwerkhaus, verputzt und verschiefert, bezeichnet 1772"
Schulstraße 12,Staudernheim,"katholisches Pfarrhaus; spätbarocker Mansardwalmdachbau, 1768–70, Architekt Johann Thomas Petri; Bruchstein-Wirtschaftsgebäude, Gartenhaus"
Schulstraße 15,Staudernheim,"Katholische Pfarrkirche St. Johann Baptist; spätbarocker Saalbau, 1768–70, Architekt Johann Thomas Petri; auf dem Kirchhof zwei gründerzeitliche Außenaltäre sowie barockes Grabkreuz, 18. Jahrhundert"
Sobernheimer Straße,Staudernheim,"Brücke über die Nahe, fünfbogige Sandsteinquaderbrücke, 1846–50, nach Kriegszerstörung 1945 erneuert"
Sobernheimer Straße 22,Staudernheim,"Dreiseithof, zweite Hälfte des 19. Jahrhunderts; spätklassizistischer Sandsteinbau"
an der Nahe,Staudernheim,"ehemalige Gerberei Grimm; Anlage mit dreieinhalbgeschossigem Gerbereigebäude, Schornstein, Verwalterbau und Trafo-Turm"
an der Nahe,Staudernheim,"ehemalige Klostermühle; stattliche Hofanlage, zweite Hälfte des 19. Jahrhunderts"
