(neben) Im Neudorf 1,Brauneberg,"Teil eines Fachwerkhauses des 18. Jahrhunderts, ansonsten durch Neubau um 1920/30 ersetzt (Im Neudorf 1); davor barocker Bildstock",49.906745,6.979586
Im Neudorf 2,Brauneberg,"Winzerhofanlage; villenartiges späthistoristisches Wohnhaus, polygonaler Eckturm, Mischformen aus Neuspätgotik und Neufrührenaissance, bezeichnet 1906",49.906965,6.979856
(bei) Im Neudorf 7,Brauneberg,"barocker Bildstock mit Pietà-Relief, bezeichnet 1770",49.907557,6.979236
Moselweinstraße,Brauneberg,"Simultanpfarrkirche St. Remigius; Saalbau, 1776/77, Hofbaumeister Franz Wilhelm Rabaliatti; Gesamtanlage mit katholischem Pfarrhaus (Moselweinstraße 167): Krüppelwalmdachbau, 18. Jahrhundert; Kriegerdenkmal 1914/18, betender Soldaten vor Arkadenmauer",49.90045,6.970217
Moselweinstraße 87,Brauneberg,"Quereinhaus; späthistoristischer Bruchsteinbau, um 1900",49.887056,6.953544
Moselweinstraße 90,Brauneberg,"Mansarddachbau, bezeichnet 1778",49.887538,6.953589
Moselweinstraße 105,Brauneberg,"Quereinhaus; Mansarddachbau, zweite Hälfte des 18. Jahrhunderts",49.90848,6.983629
(an) Moselweinstraße 108,Brauneberg,"barockes Türblatt, bezeichnet 1747",49.908509,6.984258
Moselweinstraße 118,Brauneberg,"schmales Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.908706,6.984859
Moselweinstraße 122,Brauneberg,"Fachwerkhaus, teilweise massiv, Mansarddach, bezeichnet 1761",49.908729,6.984976
Moselweinstraße 123,Brauneberg,"Quereinhaus; kleiner Mansarddachbau, bezeichnet 1766, Seitenflügel wohl jünger",49.908955,6.985488
Moselweinstraße 130,Brauneberg,"Gasthof Zur Grafschaft; Mansarddachbau, teilweise mit Zierfachwerk, angeblich von 1714, 1905 erweitert",49.908915,6.985875
Moselweinstraße 131,Brauneberg,"Massivbau, bezeichnet 1730",49.909066,6.986153
Moselweinstraße 134,Brauneberg,"Wohnhaus, Mansarddachbau, bezeichnet 1773",49.908984,6.986225
Moselweinstraße 135,Brauneberg,"Wohnhaus, Massivbau, verschieferte Fachwerkgiebel, bezeichnet 1732",49.909164,6.986521
Moselweinstraße 136,Brauneberg,"Fachwerkhaus, teilweise massiv, bezeichnet 1750, eventuell älter",49.909019,6.986342
Moselweinstraße 147,Brauneberg,"zwei hintereinanderliegende Fachwerkhäuser, teilweise massiv, bezeichnet 1725",49.909396,6.987492
Moselweinstraße 150,Brauneberg,"Fachwerkhaus, teilweise massiv, bezeichnet 1721, im 19. und 20. Jahrhundert überformt",49.909396,6.988102
Moselweinstraße 156,Brauneberg,"Wohnhaus, kubischer Zeltdachbau, bezeichnet 1869",49.909588,6.988884
Nussbaumallee 7,Brauneberg,"Wohnhaus, barocker Mansarddachbau, zweite Hälfte des 18. Jahrhunderts",49.909216,6.9853
Nussbaumallee 8,Brauneberg,"Wohnhaus, barocker Mansarddachbau, teilweise Fachwerk, 18. Jahrhundert",49.909675,6.987545
"Im Kloster 1–10, Lindenstraße 5",Brauneberg,"ehemaliges Franziskanerinnenkloster; vierachsiger Saalbau über tonnengewölbter Gruft, 1712–20",49.902086,6.971304
Moselweinstraße 10,Brauneberg,"Quereinhaus; stattlicher Krüppelwalmdachbau, Bruchstein, um 1870/80",49.901808,6.972283
(bei) Moselweinstraße 22,Brauneberg,"Kreuzigungsbildstock, bezeichnet 1827",49.902649,6.974196
Moselweinstraße 23,Brauneberg,"Fachwerkhaus, teilweise massiv, verputzt, im Kern eventuell noch aus dem 17. Jahrhundert",49.902127,6.973047
