Auf der Katz,Bruch (Eifel),"ehemaliger Krugbackofen, Anfang des 19. Jahrhunderts",49.962066,6.784805
Auf der Katz 17,Bruch (Eifel),"Fachwerkhaus, teilweise massiv, bezeichnet 1747, im Kern wohl vom Anfang des 17. Jahrhunderts",49.958369,6.784059
Burgstraße 2,Bruch (Eifel),"zum Winkelhof erweitertes Quereinhaus, wohl aus der Mitte des 19. Jahrhunderts",51.511376,7.166526
Burgstraße 9,Bruch (Eifel),"sogenannte Hübgesburg; Massivbau mit Treppengiebel und Aborterker, teilweise Fachwerk, erste Hälfte des 16. Jahrhunderts; Gesamtanlage mit Scheune und Bruchsteineinfriedung",51.511875,7.166095
(gegenüber) Burgstraße 13,Bruch (Eifel),"barocker Kreuzigungsbildstock, Rotsandstein, bezeichnet 1704",51.512245,7.165843
In der Burg,Bruch (Eifel),"Burg Bruch; ehemalige Wasserburg, 1211 genannt; zweiteilige Anlage; von der Kernburg erhalten Ringmauer und Bergfried, 13. Jahrhundert und um 1300 (dendrodatiert), spätgotisches Kegeldach, 1449 (dendrodatiert); große Teile der Ringmauer der Vorburg, Eckturm, Bergfried, Torhaus, 13. Jahrhundert; Herrenhaus, Mansarddachbau, 1738",49.953292,6.786053
In der Huf 3,Bruch (Eifel),"Katholische Pfarrkirche St. Rochus; Saalbau, 1807, 1872 erweitert; Pfeilerkreuz, bezeichnet 1822, Abschlusskreuz um 1900",49.956596,6.785335
Salmstraße 17,Bruch (Eifel),"Wohnteil eines ehemaligen Quereinhauses, um 1800",49.955547,6.785757
Salmstraße 19,Bruch (Eifel),"spätbarockes Wohnhaus, bezeichnet 1757",49.955396,6.785892
Schulstraße 1,Bruch (Eifel),"ehemalige Ölmühle; eingeschossiger Putzbau, um 1900, im Kern älter (?)",53.326509,8.889602
nordöstlich der Ortslage an der Straße nach Bergweiler,Bruch (Eifel),"Wegekreuz; Balkenkreuz, bezeichnet 1838","",""
