"Denkmalzone Freie Reichsstraße 50–54 und 56–58, Bergstraße 1",Dreis,"gut erhaltene, massive Wohnhäuser und Wirtschaftsgebäude, im Erscheinungsbild des 19. Jahrhunderts, zumindest einige im Kern wohl älter","",""
Bergstraße,Dreis,"Schaftkreuz, bezeichnet 1683",49.944476,6.818168
Freie Reichsstraße 20,Dreis,"Wohnhaus, bezeichnet 1749",49.940986,6.817072
Freie Reichsstraße 22,Dreis,"Quereinhaus, bezeichnet 1840",49.941078,6.817342
Freie Reichsstraße 52,Dreis,"Wohnhaus, bezeichnet 1835, im Kern sicher älter",49.941368,6.817845
Freie Reichsstraße 54,Dreis,"Hofanlage; Putzbau, bezeichnet 1827; Gesamtanlage mit Nebengebäude und Scheune",49.941206,6.817333
Freie Reichsstraße 82,Dreis,"Fachwerkhaus, teilweise massiv",49.94058,6.814997
(bei) Kirchstraße 1,Dreis,"sogenanntes Prangerkreuz; barockes Nischenkreuz, bezeichnet 1910 (erneuert)",49.940707,6.814647
(an) Kirchstraße 10,Dreis,"Türeinfassung, Rotsandstein, bezeichnet 1619",49.940945,6.814386
Kirchstraße 20,Dreis,"Katholische Pfarrkirche St. Martin; dreiachsiger Saalbau, 1755/56; Kriegerdenkmal 1914/18; Pfarrergrabmal, 19. Jahrhundert (angeblich von 1833); neugotisches Friedhofskreuz, bezeichnet 1859",49.942006,6.813587
Mühlenstraße 22,Dreis,"barocker Walmdachbau, wohl aus der Mitte des 18. Jahrhunderts",49.93989,6.810146
(bei) Mühlenstraße 25,Dreis,"Kreuzigungsbildstock, bezeichnet 1708",49.939959,6.811682
(bei) Salmstraße 18,Dreis,"Bildstock, bezeichnet 1723",49.939206,6.813793
Schloßstraße 13,Dreis,"Schloss Dreis; zweieinhalbgeschossige mehrflügelige Anlage, 1774, Architekt P. Mungenast (?)",49.941809,6.814548
Talstraße,Dreis,"Schaftkreuz, Rotsandstein, bezeichnet 1665",49.938151,6.820665
nordöstlich der Ortslage am Schorbach in der Nähe des Lindenhofs,Dreis,"sogenannte Schorbachkapelle; Wegekapelle; Putzbau, 18. Jahrhundert; innen Kapitell und Kruzifix eines ehemaligen Kreuzigungsbildstocks, bezeichnet 1650","",""
nordöstlich der Ortslage neben der Straße nach Wittlich am Schorbach,Dreis,"Wegekreuz; Schaftkreuz, Rotsandstein, bezeichnet 1748 und 1888","",""
südlich der Ortslage an der Straße nach Dörbach,Dreis,"Bildstock; Rokokoform, Rotsandstein, wohl aus dem 19. Jahrhundert",51.9335,12.225388
südlich der Ortslage im Wald,Dreis,"Wegekreuz; Schaftkreuz, bezeichnet 1746",51.9335,12.225388
südöstlich der Ortslage an der Straße nach Salmtal,Dreis,"Bildstock; Rotsandstein, bezeichnet 1887","",""
