Hauptstraße 39,Graach an der Mosel,"Fachwerkhaus, teilweise massiv oder verschiefert, bezeichnet 1809, Zierfachwerk wohl aus dem 17. Jahrhundert",47.540377,8.823244
Hauptstraße 52,Graach an der Mosel,"Fachwerkhaus, teilweise massiv, bezeichnet 1737, Maskenkonsolen bezeichnet 1561 und 1777",47.546988,8.844579
(an) Hauptstraße 55,Graach an der Mosel,"spätgotischer Oberlichteingang, bezeichnet 1585",47.09193,7.455253
Hauptstraße 59,Graach an der Mosel,"Katholische Pfarrkirche St. Simon und Juda; zweischiffige Halle, um 1500, Erweiterung durch neugotische Stufenhalle, Westturm von 1601; Bildstock, bezeichnet 1648",47.498096,9.025032
Hauptstraße 65,Graach an der Mosel,"Frühmessnerhaus; villenartiger Schieferbau, Neurenaissance, bezeichnet 1888",47.498327,9.024817
Hauptstraße 73,Graach an der Mosel,"Wohnhaus; Mansardwalmdachbau, Fachwerk wohl aus dem 18. Jahrhundert, massives Erdgeschoss, wohl um 1910/20",47.499185,9.022679
(bei) Hauptstraße 77,Graach an der Mosel,"Wegekreuz; Schaftkreuz, wohl aus dem 18. Jahrhundert",47.499435,9.022122
Hauptstraße 79,Graach an der Mosel,"Wohnhaus; Fachwerkhaus, teilweise Bruchstein, bezeichnet 1826, Zierfachwerk, bezeichnet 1708",47.863387,16.377267
Hauptstraße 90/92,Graach an der Mosel,"Weingut; fünfachsiger spätklassizistischer Bruchsteinbau, bezeichnet 1867, erweitert 1874",47.863145,16.376602
(an) Hauptstraße 126,Graach an der Mosel,"Spätrenaissanceportal, bezeichnet 1615 (?)",50.693237,7.179596
Kirchstraße 8,Graach an der Mosel,"Fachwerkhaus, teilweise massiv",49.935269,7.062537
Kirchstraße 11,Graach an der Mosel,"Mattheiserhof; ehemaliger Hof der Abtei St. Matthias in Trier; Zweiflügelbau, 1723, als dritter Flügel das katholische Pfarrhaus",49.935049,7.062213
Weingartenstraße 2,Graach an der Mosel,"winkelförmiger Mansarddachbau, 18. Jahrhundert",49.933999,7.06472
Weingartenstraße 11/11a,Graach an der Mosel,"ehemaliger Zehnthof; Walmdachbau, wohl vom Ende des 18. Jahrhunderts",49.933877,7.065268
Weingartenstraße 13,Graach an der Mosel,"Winzerhofanlage; Krüppelwalmdachbau, Wirtschaftsgebäude, bezeichnet 1748",49.933657,7.065492
"nordöstlich der Ortslage, am Weg von der Pfarrkirche zum sogenannten Schunken-Heiligenhäuschen",Graach an der Mosel,"Kreuzweg; 14 neugotische Stationsbilder, teilweise bezeichnet 1877","",""
"nordöstlich der Ortslage, an der Straße nach Graacher Schäferei",Graach an der Mosel,"sogenanntes Schunken-Heiligenhäuschen; Wegekapelle; Putzbau, Zeltdach, bezeichnet 1707 und 1893 (Renovierung)","",""
nordwestlich der Ortslage,Graach an der Mosel,"Josephshof; Massivbau über tiefen gewölbten Kellern, Kapellenanbau, bezeichnet 1672 und 1712",49.934457,7.0641
"südöstlich der Ortslage, am alten Weg nach Bernkastel in den Weinbergen",Graach an der Mosel,"Wegekreuz; barocker Kreuzigungsbildstock, bezeichnet 1704","",""
