Am Klausbach 5,Heidweiler,"stattliches Quereinhaus, bezeichnet 1859",49.906757,6.744893
In der Gaß,Heidweiler,"Schaftkreuz, bezeichnet 1668",49.910951,6.747677
Kirchstraße,Heidweiler,"Katholische Pfarrkirche St. Vincentius; dreiachsiger Saalbau, heutiges Erscheinungsbild wohl von 1776, im Kern eventuell älter, Chor von 1905; von Bruchsteinmauer umfriedeter Friedhof; neugotisches Kirchhofskreuz, zweite Hälfte des 19. Jahrhunderts",49.906055,6.745665
Kirchstraße 2,Heidweiler,"Wohnteil des ehemaligen Pfarrhofs, bezeichnet 1756",49.905097,6.745207
Mühlenstraße,Heidweiler,"barockes Schaftkreuz, bezeichnet 1758",49.907134,6.750157
Mühlenstraße,Heidweiler,"Balkenkreuz, angeblich von 1946",49.907134,6.750157
Unterdorfstraße 17,Heidweiler,"ehemaliges Försterhaus; stattliches Quereinhaus, um 1820/30",47.837465,8.700516
Wittlicher Straße,Heidweiler,"barockes Schaftkreuz, bezeichnet 1703",49.911781,6.747704
Wittlicher Straße,Heidweiler,"Schaftkreuz, bezeichnet 1665",49.911781,6.747704
Im Wohnsweg,Heidweiler,"Wegekreuz; barockisierendes Schaftkreuz, bezeichnet 1946",49.910899,6.745809
nördlich der Ortslage an einem Feldweg,Heidweiler,"Wegekreuz; nachbarockes Schaftkreuz, bezeichnet 1814",52.866262,14.057547
östlich der Ortslage am Bendersbach,Heidweiler,"Heidweilermühle; Quereinhaus, 19. Jahrhundert",48.730297,8.295717
östlich der Ortslage am Bendersbach,Heidweiler,"ehemaliges Waschhaus; von Bruchsteintonne überdeckter Waschplatz, bezeichnet 1884",48.730297,8.295717
östlich der Ortslage am Bendersbach,Heidweiler,"ehemaliges Waschhaus, sogenanntes Gerberhäuschen; von Bruchsteintonne überdeckter Waschplatz, bezeichnet 1785",48.730297,8.295717
östlich der Ortslage am Bendersbach,Heidweiler,"Wegekapelle; Putzbau, bezeichnet 1735",48.730297,8.295717
"südlich der Ortslage an der L 49 nach Dierscheid, bei der Abzweigung mehrerer Waldwege",Heidweiler,"Wegekreuz; Schaftkreuz, bezeichnet 1681","",""
südwestlich der Ortslage an einem Feldweg (Distrikt ‚Am Bildchen‘),Heidweiler,"Heiligenhäuschen; romanisierender Rotsandsteinbau, bezeichnet 1888",51.165109,14.421293
