Bahnhofstraße 6,Hetzerath (Eifel),"ehemalige Bürgermeisterei; Bruchsteinbau, 1898",49.877925,6.798818
Bahnhofstraße 84,Hetzerath (Eifel),"ehemaliger Bahnhof; Bruchstein-, Putz- und Fachwerkflächen, Anfang des 20. Jahrhunderts",49.877925,6.798818
Kirchstraße,Hetzerath (Eifel),"Brunnenhäuschen; Sandsteinquaderbau, 19. Jahrhundert",49.87486,6.814099
Kirchstraße,Hetzerath (Eifel),"Katholische Pfarrkirche St. Hubertus; spätgotischer Chor und Reste des barocken Saalbaus, 1772, in neufrühklassizistischer Stufenhalle, 1912/13",49.87486,6.814099
Kirchstraße 34,Hetzerath (Eifel),"stattliches Hofanlage, wohl aus der zweiten Hälfte des 19. Jahrhunderts; Krüppelwalmdachbau, Bruchsteinscheune",49.874599,6.812437
Zuckerberg 8,Hetzerath (Eifel),"Wohnhaus, bezeichnet 1753",49.874065,6.815473
südwestlich der Ortslage an der Straße nach Föhren,Hetzerath (Eifel),Heiligenhäuschen; flachbogig geschlossener Mauerblock,51.165109,14.421293
Viktoriastraße 21,Hetzerath (Eifel),"sogenannter Burghof; stattlicher Krüppelwalmdachbau, zweite Hälfte des 18. Jahrhunderts oder um 1800",49.888658,6.789584
Viktoriastraße 28,Hetzerath (Eifel),"stattlicher Krüppelwalmdachbau, um 1800, im Kern eventuell älter",49.889349,6.789512
Zimmergasse 5,Hetzerath (Eifel),"Katholische Filialkirche; kleiner Bruchsteinbau, wohl nach 1945",49.889436,6.791704
