Dauner Straße 7,Hontheim,"Quereinhaus, teilweise (verputztes) Fachwerk, bezeichnet 1844",50.069609,6.991714
Kirchstraße 8,Hontheim,"Katholische Pfarrkirche St. Margaretha; sechsachsiger Saalbau, 1856–58, mit Resten des barocken Vorgängerbaus an spätestgotischem Chor, bezeichnet 1578",50.067366,6.991157
Wittlicher Straße,Hontheim,"Wegekapelle; Putzbau, 18. oder 19. Jahrhundert; Rotsandsteinskulptur",50.063827,6.990654
östlich der Ortslage an der Straße nach Bad Bertrich,Hontheim,"Wegekapelle; Putzbau, wohl aus dem 19. Jahrhundert; innen Pietàrelief",49.998092,8.659454
westlich der Ortslage im Feld,Hontheim,"Wegekapelle; Putzbau, 18. oder 19. Jahrhundert",48.723159,8.29216
südwestlich der Ortslage an der Straße nach Wispelt,Hontheim,"Wegekapelle; Putzbau, eventuell noch aus dem 18. Jahrhundert; innen Pietàrelief",51.165109,14.421293
nordöstlich des Ortes,Hontheim,"Entersburg; bauliche Gesamtanlage mit Aussichtsturm, davor mehrere Terrassen mit verschiedenen Mauerresten der 1138 zerstörten Nentirsburg",50.065776,6.993187
Krinkhof 28,Hontheim,"Katholische Filialkirche; dreiachsiger Saalbau, wohl um 1900",50.052237,7.010318
"südlich der Ortslage, am Hochbehälter",Hontheim,"Wegekapelle; Putzbau, 1882; neugotischer Altar",51.9335,12.225388
nördlich der Ortslage an der Straße nach Hontheim,Hontheim,"Wegekapelle; Putzbau, bezeichnet 1884",52.866262,14.057547
nördlich unweit der Ortslage an der Straße nach Hontheim,Hontheim,"Wegekapelle; Putzbau, 19. Jahrhundert","",""
