Denkmalzone Ortskern,Klausen (Eifel),"aus dem ehemaligen Augustinerchorherrenkloster Eberhardsklausen hervorgegangener Ortskern: von der ehemaligen Klosteranlage neben der bedeutenden spätgotischen Wallfahrtskirche das ehemalige Brauhaus (Mitte des 18. Jahrhunderts), die ehemalige Remise und Pferdestall (18. Jahrhundert), die ehemalige Fremdenherberge (Anfang des 18. Jahrhunderts), der Abtsgarten sowie Teile der Klostermauer erhalten",46.907589,15.889688
Augustinerplatz 3,Klausen (Eifel),"ehemaliges Remisengebäude; Mansardwalmdachbau, Bruchstein, 18. Jahrhundert",49.90432,6.882559
Augustinerplatz 8,Klausen (Eifel),"langgestreckter Mansarddachbau auf unregelmäßigem Grundriss, Treppenturm, teilweise Fachwerk",49.904697,6.882407
Augustinerplatz 9,Klausen (Eifel),"ehemaliges Brauhaus; siebenachsiger Mansardwalmdachbau, Mitte des 18. Jahrhunderts",49.904859,6.882469
Bernkasteler Straße 1,Klausen (Eifel),"Dominikanerinnenkloster Mater Dolorosa; langgestreckter Krüppelwalmdachbau, erste Hälfte des 19. Jahrhunderts (?), um 1920/30 erweitert",49.905567,6.883565
Eberhardstraße 1a,Klausen (Eifel),"Katholische Pfarr- und Wallfahrtskirche St. Maria; unregelmäßig zweischiffige, spätgotische Anlage, 1449 geweiht; Augustinerplatz: 14 neuromanische Kreuzwegstationen, Ende des 19. Jahrhunderts; Kreuzigungsbildstock, bezeichnet 1807 (?); drei Grabmäler (?), Rotsandstein, 19. Jahrhundert",49.905237,6.882802
Eberhardstraße 6/8,Klausen (Eifel),"ehemalige Fremdenherberge; siebenachsiger Krüppelwalmdachbau, Anfang des 18. Jahrhunderts",49.905364,6.882434
Escher Straße,Klausen (Eifel),"Wegekapelle; Walmdachbau, Bruchstein, zweite Hälfte des 19. Jahrhunderts; Wegekreuz, Rotsandstein, 19. Jahrhundert",49.901262,6.874205
Reulweg 1,Klausen (Eifel),"Katholische Kirche St. Thomas; neuspätromanischer Saalbau, 1900, von Bruchsteinmauer umfriedeter Kirchhof; Gesamtanlage",49.899156,6.877628
Trierer Straße,Klausen (Eifel),"Altarkreuz, Rotsandstein, bezeichnet 1826",49.904941,6.880565
südlich der Ortslage am Thomasberg,Klausen (Eifel),"Wegekreuz; Schaftkreuz, bezeichnet 1699",51.9335,12.225388
Wittlicher Straße 49,Klausen (Eifel),"Gasthaus Maes; Bruchstein-Quereinhaus, teilweise mit Zierfachwerk, Krüppelwalmdach, Anfang des 20. Jahrhunderts",49.912517,6.876181
Wittlicher Straße 71,Klausen (Eifel),"Katholische Filialkirche St. Margaretha; neugotischer Saalbau, 1889/90",49.914095,6.874735
(bei) Zum Rosenthälchen 3/3a,Klausen (Eifel),"Schaftkreuz, Rotsandstein, 19. Jahrhundert",49.914495,6.876056
nordöstlich der Ortslage an einem Wirtschaftsweg,Klausen (Eifel),"Wegekreuz; Schaftkreuz, Rotsandstein, 19. Jahrhundert, jüngeres Abschlusskreuz",46.907589,15.889688
östlich der Ortslage am Waldrand,Klausen (Eifel),"Heiligenhäuschen; rund geschlossener Mauerblock, Pietà, 18. oder 19. Jahrhundert",48.730297,8.295717
