Hauptstraße 8,Kleinich,"stattliches Fachwerk-Quereinhaus, teilweise massiv, bezeichnet 1825",47.539507,8.821914
Hauptstraße 10,Kleinich,"Pfarrhaus; stattlicher Putzbau, Anfang des 20. Jahrhunderts",47.539525,8.822049
Hauptstraße 21,Kleinich,"Streckhof; Fachwerkhaus und Stallscheune, teilweise massiv, 19. Jahrhundert",47.544914,8.841192
Hauptstraße 22,Kleinich,"Streckhof; Fachwerkhaus, teilweise massiv oder verschiefert, 19. Jahrhundert",47.540285,8.824286
Hauptstraße 55,Kleinich,"Wohnhaus einer Hofanlage; repräsentativer Mansardwalmdachbau, Bruchstein, teilweise verschiefert, Anfang des 20. Jahrhunderts",47.09193,7.455253
Ortsstraße 1,Kleinich,"Evangelische Kirche; frühklassizistischer Zentralbau, 1789–90, herzoglich zweibrückischer Baumeister Friedrich Gerhard Wahl, Turm im Kern frühromanisch",49.888675,7.186163
Emmeroth 2,Kleinich,"Quereinhaus, im verschieferten Ober- und Dachgeschoss wohl Fachwerk, Mitte des 19. Jahrhunderts",49.893318,7.160265
Fronhofen 1,Kleinich,"Fachwerk-Quereinhaus, teilweise massiv oder verschiefert, 19. Jahrhundert",49.902486,7.172005
Fronhofen 2,Kleinich,"Quereinhaus, teilweise verschiefert, 19. Jahrhundert",49.902626,7.171511
Fronhofen 24a,Kleinich,"Evangelische Kirche; kleiner Bruchsteinsaal, 19. Jahrhundert",49.901837,7.168475
"Denkmalzone Ortskern (Nr. 8, 9, 15, 16, 18, 19 und 20)",Kleinich,"ungewöhnliche Dichte historischer Hofanlagen, überwiegend aus dem 19. Jahrhundert",49.893388,7.186864
(zwischen) Thalkleinich 1 und 2,Kleinich,"Backhaus; kleiner Bruchsteinbau, 19. Jahrhundert",49.893388,7.186864
Thalkleinich 8,Kleinich,"Hofanlage; Fachwerkhaus, teilweise massiv, Mansarddach, bezeichnet 1912, Fachwerk-Stallscheune",49.893388,7.186864
Thalkleinich 9,Kleinich,"Hofanlage; Fachwerkhaus, teilweise massiv oder verschiefert, Mansarddach, bezeichnet 1912, Fachwerkscheune, Stall",49.893388,7.186864
Thalkleinich 16,Kleinich,"Quereinhaus, teilweise verkleidet oder verschiefert, bezeichnet 1886, altes Hofpflaster",49.893388,7.186864
Thalkleinich 18,Kleinich,"Hofanlage; zweieinhalbgeschossiges, fünfachsiges spätklassizistisches Wohnhaus, bezeichnet 188(5), Fachwerk-Wirtschaftstrakt, teilweise massiv",49.893388,7.186864
Thalkleinich 20,Kleinich,"Quereinhaus, teilweise verschiefert, Ende des 19. Jahrhunderts",49.893388,7.186864
