Ehrenmalstraße,Kröv,"ehemalige Grabkapelle der Grafen von Kesselstatt; kleiner Rechteckbau, 1662, Renaissanceportal",49.982564,7.091651
(bei) Gilgenkordel 11,Kröv,"Kreuzigungsbildstock, 17. oder 18. Jahrhundert",49.981029,7.086863
Karolingerstraße 1,Kröv,"sogenanntes Dreigiebelhaus; reicher Fachwerkbau, bezeichnet 1658",49.978359,7.088067
"Moselweinstraße 22/24, Robert-Schuman-Straße 19/21/21a/27",Kröv,"ehemaliger Echternacher Hof (Zehnthof der Abtei); Dreiflügelanlage mit langgestreckter Moselfront, 1764",49.981707,7.090852
Reißstraße 2,Kröv,"ehemalige Schule (?); Zweiflügelanlage, Mansarddächer, Reformarchitektur, nach 1920",49.979089,7.088417
Reißstraße 3,Kröv,"ehemaliges Hofhaus der Ritter von Kröv, auch als Ahrhof bezeichnet; Massivbau, quadratischer Treppenturm, Hoftorbogen bezeichnet 1627",49.978915,7.088462
Reißstraße 9,Kröv,"sogenannter Karolingerhof; großer, eingeschossiger Wohnbau, spätes 18. oder frühes 19. Jahrhundert",49.979355,7.087169
"Ritter-Götz-Straße 14, 18",Kröv,"winkelförmiges Fachwerkhaus, teilweise massiv, Quertrakt verputzt mit polygonalem Haubenerker, bezeichnet 1616",49.980137,7.088462
Robert-Schuman-Straße,Kröv,Kriegerdenkmal 1914/18,49.979494,7.085273
"Robert-Schuman-Straße 16, Ehrenmalstraße 1",Kröv,"ehemaliger Hof der Grauen Schwestern; Wohnhaus: massives Erdgeschoss um 1900, Zierfachwerk aus dem 17. Jahrhundert; Mansarddach-Scheune, teilweise Fachwerk, wohl noch aus dem 18. Jahrhundert",49.982344,7.091292
Robert-Schuman-Straße 41,Kröv,"ehemalige Niederlassung der Abtei Echternach; unregelmäßig dreiflüglige Anlage, im Kern wohl aus dem 16. Jahrhundert oder älter (bezeichnet 1593)",49.980966,7.089702
Robert-Schuman-Straße 42,Kröv,"Katholische Pfarrkirche St. Remigius; Saalbau, 1725, Turm aus dem 16. Jahrhundert, 1749 erhöht",49.981116,7.089729
Robert-Schuman-Straße 52,Kröv,"Wohnhaus; massives Erdgeschoss, bezeichnet 1824, Zierfachwerk aus dem 17. oder 18. Jahrhundert",49.980647,7.088723
(an) Robert-Schuman-Straße 56,Kröv,"reich geschnitzter erkerartiger Vorbau, 17. Jahrhundert",49.98052,7.088399
Robert-Schuman-Straße 57,Kröv,"Hotel Reichsschenke, ehemaliges Wohnhaus; Massivbau, heutiges Erscheinungsbild vom Anfang des 18. Jahrhunderts, im Kern eventuell älter; Torbogen bezeichnet 1731",49.980207,7.087869
Robert-Schuman-Straße 64/66 (teilweise),Kröv,"dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1608",49.980444,7.087923
Robert-Schuman-Straße 65,Kröv,"Rathaus; stattliche spätklassizistischer Massivbau, um 1860/70",49.979767,7.087025
Robert-Schuman-Straße 100/102,Kröv,"stattliches Wohnhaus mit rundem Treppenturm, teilweise mit reichem Zierfachwerk, 17. Jahrhundert",49.979535,7.085552
Robert-Schuman-Straße 101 /103,Kröv,"stattlicher Massivbau, bezeichnet 1680, teilweise mit Zierfachwerk, bezeichnet 166[.]",49.978938,7.084105
Robert-Schuman-Straße 109,Kröv,"Streckhof; kleiner verputzter Fachwerkbau, teilweise massiv, rückwärtig Mansarddachbau, bezeichnet 1717, Mansarddach-Scheune",49.978568,7.083593
"Robert-Schuman-Straße 117, Pommerstraße 43",Kröv,"stattliches Fachwerkhaus, teilweise massiv oder verputzt, bezeichnet 1618",49.978237,7.083396
Robert-Schuman-Straße 163,Kröv,"Wohnhaus, angeblich der ehemalige Jesuitenhof; abgewalmter Mansarddachbau, 18. Jahrhundert",49.976899,7.081015
Robert-Schuman-Straße 208,Kröv,"ehemaliger Staffelter Hof (Hof des Klosters Stablo); Walmdachbau, bezeichnet 1715, nach Westen erweitert",49.976615,7.07956
nordöstlich oberhalb der Ortslage an der K 63,Kröv,"Herz-Jesu-Kapelle; dreiachsiger gotisierender Saalbau, 1880 ff.","",""
Kirchstraße 23,Kröv,"eingeschossiger Mansarddachbau, Bruchstein, bezeichnet 1777",49.982315,7.118547
Kirchstraße 24,Kröv,"Katholische Filialkirche St. Michael; Eingangsseite und eine Achse des Vorgängerbaus, bezeichnet 1788, Schiff nach 1945; Kreuzigungsbildstock, bezeichnet 1721",49.982246,7.118385
Moselstraße 4,Kröv,"verschiefertes Fachwerkhaus eines mehrphasigen Baukomplexes, teilweise massiv, wohl aus dem 17. oder frühen 18. Jahrhundert",49.983039,7.118286
"nordwestlich oberhalb der Ortslage am Waldrand, am alten Kröver Weg",Kröv,Heiligenhäuschen,"",""
